states,right 1,left 1,right 2,left 2,right 3,left 3
"(0, 0)",-17.32103590134676,-17.489769701338094,-17.50719682299389,-17.5381245004697,-16.348689550790382,-17.370729249854733
"(0, 1)",-9.807925340760347,-9.841385024329178,-9.807581377168834,-9.849825196863215,-9.798784845602665,-9.807001982157802
"(0, 2)",-13.783413193560996,-13.808273617532864,-13.53496996673228,-13.613821407549775,-13.502607936696197,-13.776237562161068
"(0, 3)",-12.734058504619789,-12.41809018734674,-12.50098021468408,-12.725153656083286,-12.44256580329915,-12.569985034656964
"(0, 4)",-9.037689757789934,-9.03479171308997,-9.013729939132258,-9.015809679938446,-8.986229007045287,-9.063053774441851
"(0, 5)",-4.638000704337909,-4.749528681935526,-4.7227570144996385,-4.587480999799061,-4.57702341120134,-4.643611914337743
"(0, 6)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 7)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 8)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 9)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 10)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 11)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 12)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 13)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 14)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 15)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 16)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 17)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 18)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 19)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 0)",-16.899448307101455,-16.846514354533813,-16.837685594030855,-16.87087027621188,-16.57033961579405,-16.945078188311214
"(1, 1)",-17.14488657497128,-17.19141378726881,-17.250132604566087,-17.452372829335907,-16.713713939701574,-17.283663134477322
"(1, 2)",-16.570232593225512,-17.498776438343867,-16.771681176954427,-17.341909139483665,-16.940490170332083,-17.260398126849104
"(1, 3)",-17.26640348588862,-17.25499887977407,-17.25609516711773,-17.386083539218266,-17.102630731898966,-17.319932939046254
"(1, 4)",-16.852460572659183,-16.564996131628043,-17.06666940149709,-16.86642138775877,-16.99484635785969,-17.586438369731468
"(1, 5)",-14.03647903207438,-13.843738079274683,-14.10030159856892,-13.921739179822124,-14.015600980091673,-14.091332916822797
"(1, 6)",-12.510606441344413,-12.412650028834761,-12.351990695175633,-12.541868484014802,-12.704016514386272,-12.758945946216262
"(1, 7)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 8)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 9)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 10)",0.0,0.0,0.0,0.0,0.0,0.0
