states,right 1,left 1,right 2,left 2,right 3,left 3
"(0, 0)",-16.429366894786707,-17.379713279959322,-17.352828634839348,-17.40049065879103,-17.38685131627988,-17.063111912797567
"(0, 1)",-6.4556714108977875,-6.609733677674186,-6.460231107618769,-6.548991804644259,-6.380963787472799,-6.460797015845674
"(0, 2)",-15.84620031242705,-15.855433394884143,-15.927010755886446,-15.899659891036238,-15.85079471571586,-15.832682900517163
"(0, 3)",-12.740939416181163,-12.692346388457814,-12.697738947435392,-12.766571879743848,-12.708458841993133,-12.835070331666213
"(0, 4)",-5.515651252716923,-5.504095014680867,-5.573365378557882,-5.601305643218794,-5.521210821724052,-5.503298487931585
"(0, 5)",-4.327726631851831,-4.349216596318717,-4.3922858200797,-4.318036519766404,-4.237376916663358,-4.498982342520132
"(0, 6)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 7)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 8)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 9)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 10)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 11)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 12)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 13)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 14)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 15)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 16)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 17)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 18)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 19)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 0)",-16.927685299786777,-16.861421294192954,-16.875895594438376,-16.883704521367484,-16.561655687827557,-16.893339404547206
"(1, 1)",-17.028022695130023,-17.442850666773147,-16.555671686619277,-17.074585279935075,-16.974354037499467,-17.266897564354892
"(1, 2)",-16.58415343422113,-17.396920760247998,-16.69729084318857,-17.403548416046174,-16.54903072945999,-17.2658821233059
"(1, 3)",-16.775142455085938,-16.729116414503636,-16.557065573152766,-17.421227530934537,-17.23611157260747,-17.46480647110107
"(1, 4)",-16.555198655009676,-16.596267672804466,-17.192778648742095,-16.811050864685562,-16.760339205483916,-17.47994734667358
"(1, 5)",-15.454442792267669,-15.35989216293429,-15.429250151076012,-15.333611885135364,-15.3079039868007,-15.419844091468686
"(1, 6)",-12.83738372874944,-12.873805570096408,-12.643899879693146,-12.901037910750096,-12.832505241212301,-12.632610982423602
"(1, 7)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 8)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 9)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 10)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 12)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 13)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 14)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 15)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 16)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 17)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 18)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 19)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 0)",-16.336130405587557,-16.33491432933221,-16.293314047553885,-16.282549137582862,-16.222879078262796,-16.224402549178777
"(2, 1)",-16.290888694404714,-16.21344818971444,-16.218807645418458,-16.60768335935023,-15.71069371367347,-16.253069102851647
"(2, 2)",-16.399083842255,-17.01179224261026,-16.60265895794166,-17.17720477340805,-15.880362331515599,-17.10866549780572
