states,right 1,left 1,right 2,left 2,right 3,left 3
"(0, 0)",-9.516662636319477,-10.18681478296328,-9.607011688295954,-10.191258977419245,-8.642232546165785,-9.81016105878397
"(0, 1)",-10.131830525047924,-10.135044647247485,-10.12591349591542,-10.12428013641403,-10.123566788136602,-10.120439596336322
"(0, 2)",-9.36498073910004,-9.43149805700289,-9.381032252284623,-9.444981161765812,-9.364798543219162,-9.424544682352009
"(0, 3)",-9.350821700109762,-9.338229624950792,-9.343456964138582,-9.335950288651683,-9.352319311791835,-9.4001677061402
"(0, 4)",-9.28184741760378,-9.317677468392484,-9.299626223990796,-9.293115484888338,-9.278093591547732,-9.295543186978126
"(0, 5)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 6)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 7)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 8)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 9)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 10)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 11)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 12)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 13)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 14)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 15)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 16)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 17)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 18)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 19)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 0)",-8.883486130526885,-9.016757751005292,-8.881574108810618,-8.886472389684863,-8.927552054732002,-8.988786767201768
"(1, 1)",-8.620284793889942,-8.780885803078682,-8.67131349323277,-8.719070537980006,-8.301328717795302,-8.78003913052775
"(1, 2)",-8.67156129425857,-8.696484042126972,-8.528070735641466,-8.813013129730168,-8.671455572836175,-8.778659333899762
"(1, 3)",-2.0524644748074756,-2.0202743616649577,-1.6360990250003544,-2.283113450888904,-1.9393340955337182,-2.0482296946851277
"(1, 4)",-5.342917902304459,-5.366878852208876,-5.362515055307692,-5.256604049141187,-5.121250752354273,-5.6826208744728515
"(1, 5)",-2.6762081376787745,-2.3781299472344846,-2.1430910052460415,-2.6007871337684247,-2.070530275551746,-2.1360537422668577
"(1, 6)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 7)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 8)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 9)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 10)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 12)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 13)",0.0,0.0,0.0,0.0,0.0,0.0
