states,right 1,left 1,right 2,left 2,right 3,left 3
"(0, 0)",-7.698266244828624,-7.693711502561638,-7.58520167948516,-7.77689280425486,-6.874756249137925,-7.750962990290585
"(0, 1)",-7.725621876348702,-7.63008188736548,-7.715620213622979,-7.715743819275721,-7.715988007015844,-7.716774147049809
"(0, 2)",-7.665058980197525,-7.686814915736309,-7.670485974042269,-7.66921867757423,-7.6658011976815645,-7.669525073890109
"(0, 3)",-6.792054176266567,-6.846024441835942,-6.9162955821353815,-6.814256092421444,-6.79164663619591,-6.869475438971038
"(0, 4)",-6.800389458081398,-6.797975919272572,-6.791287323365595,-6.87668692441745,-6.791087595165921,-6.878064140472703
"(0, 5)",-6.751138745064224,-6.749671611536217,-6.75071045836091,-6.850660006786868,-6.747677483416291,-6.767364845590992
"(0, 6)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 7)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 8)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 9)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 10)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 11)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 12)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 13)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 14)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 15)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 16)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 17)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 18)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 19)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 0)",-6.014025553648689,-6.066251193030868,-5.981166557531299,-6.012349139336886,-6.012973775941743,-6.147203408621224
"(1, 1)",-5.6798442544319645,-5.698603950415552,-5.664132216329625,-5.690894816149243,-5.637003518054855,-5.73721882382102
"(1, 2)",-5.069699218218464,-5.051201494905424,-5.0521859944236445,-5.024623490110124,-5.014111871142634,-5.253505392449604
"(1, 3)",-4.130374441980562,-4.702748706922156,-4.788625388512268,-4.8046969345322665,-4.7138783999499445,-4.828801711530699
"(1, 4)",-3.0751576416216415,-2.8776582549672827,-3.087495166486122,-2.833702383451096,-2.8416308140272144,-2.9991983688618076
"(1, 5)",-2.0568564837359062,-1.9949523786549228,-1.660220052087979,-2.124129930459113,-1.7306016195842049,-1.7199060537123008
"(1, 6)",-1.9042490152039824,-1.955541807993881,-1.8333009315086057,-1.8201016063160924,-1.741054487285301,-2.1634692405246576
"(1, 7)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 8)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 9)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 10)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 12)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 13)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 14)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 15)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 16)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 17)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 18)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 19)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 0)",-6.346505707114257,-6.257255401522762,-6.200641977894324,-6.22058449743237,-6.179869106539361,-6.161496698642501
"(2, 1)",-5.517230000852747,-5.600151692216498,-5.575470635470352,-5.572028104603667,-5.541110284784242,-5.476323727781225
"(2, 2)",-5.895157577384371,-6.100816300944745,-5.8229091657943854,-5.826360642737928,-5.819418829571525,-5.971492431905592
"(2, 3)",-5.047284536213542,-5.068845166022887,-5.013776617409119,-5.119480392134865,-4.094220917396532,-5.0642051892295
"(2, 4)",-4.607287991497321,-4.777598581694409,-4.684475956603966,-4.590394947793643,-3.614013553801788,-4.6344278971032296
"(2, 5)",-2.0166508958932146,-1.9858801856915336,-2.0392769131639232,-2.127277869027291,-2.1622330058812893,-2.1082859245157874
"(2, 6)",-2.7248597902942526,-2.6909669818301047,-2.6513625840558745,-2.467144014294027,-2.4551402953759287,-2.4613322586203448
"(2, 7)",-2.4493189878477732,-2.3406197312880552,-2.3817698176616826,-2.4083310535707696,-2.3287009690607254,-2.3475077606009975
"(2, 8)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 9)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 10)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 11)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 12)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 13)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 14)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 15)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 16)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 17)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 18)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 19)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 0)",-6.631194036144835,-6.550045785266398,-6.477444866107175,-6.503301735844629,-6.498540112882254,-6.539892154696723
"(3, 1)",-6.898826551197372,-6.8572484610203635,-6.8255631267251236,-6.832057424802692,-6.767638914962391,-6.819176343538121
"(3, 2)",-7.0064572533296845,-7.01428532487812,-6.796774162918647,-6.866772770923775,-6.871372643241111,-6.8546551854591495
"(3, 3)",-6.803516274354872,-7.562892877629683,-7.124526084322684,-7.33434586119503,-6.793449298812013,-7.105198423923969
"(3, 4)",-6.796862880784179,-7.7254991410005704,-6.793172209508396,-8.575826918983623,-5.861676601502347,-8.587578368325964
"(3, 5)",-6.781529801426672,-6.781937001600217,-6.78179231016495,-6.867009946358734,-6.781189448635418,-6.792037233995632
"(3, 6)",-5.858320123788638,-6.381611476701464,-6.22674670378941,-6.408871078576886,-5.851985059899988,-6.9674983213680175
"(3, 7)",-5.896767422154416,-5.922734773156853,-5.851985059877548,-5.868519801191986,-5.851985059877442,-5.973547801541223
"(3, 8)",-5.8427875421598445,-5.8437978902113175,-5.8430785035713155,-5.932076049392812,-5.842812492811754,-5.882723356753757
"(3, 9)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 10)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 11)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 12)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 13)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 14)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 15)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 16)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 17)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 18)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 19)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 0)",-5.954157277690648,-6.024375690215921,-5.948660762931325,-5.974426912751101,-6.024168940330134,-5.97075414375751
"(4, 1)",-5.645624077842413,-5.5703825852256035,-5.663907650100416,-5.571620699940188,-5.620458300710524,-5.681548231337356
"(4, 2)",-5.782550888066848,-5.78772125030256,-5.766958203621608,-5.7417504256265595,-5.739528558934902,-5.778115722679923
"(4, 3)",-5.931976078123484,-6.321120833086343,-5.8567258414962975,-6.169103982491135,-5.852012515013553,-5.9793036876366
"(4, 4)",-5.204501533200737,-5.205971345870711,-5.208198713878294,-5.208909832617875,-5.155770319673898,-5.261747937744817
"(4, 5)",-5.124489598451978,-5.038115173380192,-4.982472437809642,-4.958102445664007,-4.90825605295345,-5.033123902885371
"(4, 6)",-5.210293224671703,-5.457666874129455,-4.906750638490704,-5.481569110873877,-4.900998834637866,-5.08942741524501
"(4, 7)",-3.8325497973472755,-3.771405112349711,-3.8335963102606145,-3.7309436139721273,-3.7777231006436796,-3.924042697881778
"(4, 8)",-2.2015762998735924,-2.119140742527327,-2.148341497133834,-2.307850264261025,-2.0996670448444785,-2.022095483403877
"(4, 9)",-1.948766912390654,-1.8486938326552518,-1.7492359783348361,-2.030407784753279,-1.6626231663755733,-2.0628044567391957
"(4, 10)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 11)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 12)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 13)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 14)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 15)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 16)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 17)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 18)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 19)",0.0,0.0,0.0,0.0,0.0,0.0
"(5, 0)",-5.905532918206022,-5.913583366893588,-5.880897081163004,-5.904831121779532,-5.663614809556361,-5.92692028142619
"(5, 1)",-5.509434734003999,-5.462486406855772,-5.419477770010549,-5.518125724526994,-5.431867382171914,-5.455020658803583
"(5, 2)",-5.56227238143288,-5.454514785461495,-5.511068560935988,-5.465736658111831,-5.510338145052061,-5.5448348738372975
"(5, 3)",-6.1412060553435115,-5.912886443021877,-6.1580181030606695,-6.030245500838192,-5.852204800846299,-6.321253511563958
"(5, 4)",-5.523761541359019,-5.585090191637973,-5.469180643254895,-5.459800057877918,-5.36315675933857,-5.543388838461474
"(5, 5)",-5.429937312200224,-5.1663031356507885,-5.413233625382062,-5.446498042332455,-5.399867094021145,-5.467475772829041
"(5, 6)",-5.354553212105728,-5.891534550749131,-5.300767168712768,-4.989328598321548,-4.901041151076254,-5.034625337879783
"(5, 7)",-4.457993265002234,-4.49326844222782,-4.361409677443504,-4.420846122897409,-4.114303019661116,-4.375556929473489
"(5, 8)",-3.642537489947344,-3.506950556464843,-3.6100475625035364,-3.694251771404708,-3.6029657044820182,-3.523038126632239
"(5, 9)",-2.698927747919458,-2.6334406509960093,-2.7479009368052743,-2.8492102053106056,-2.5728488165876726,-2.76656697819087
"(5, 10)",-2.007621018115183,-2.0128962118398137,-1.8791886058390614,-2.249732801574741,-1.888743268836093,-1.8852930328360538
