states,right 1,left 1,right 2,left 2,right 3,left 3
"(0, 0)",-9.452562565072771,-9.503033783190787,-8.999361588985646,-9.299188261996491,-8.118499301758247,-9.268810537319542
"(0, 1)",-9.810361103179398,-9.824699869398591,-9.854920550273071,-9.156211540204025,-9.795982602742477,-9.800595664670821
"(0, 2)",-9.989907964199674,-9.978457658986347,-9.985364644421802,-10.029533624843184,-9.248621402376092,-10.020134222002506
"(0, 3)",-9.39973534988379,-9.900468789980764,-9.901278579778976,-9.998680702071791,-9.878264796704977,-9.906900131056076
"(0, 4)",-9.246814327528057,-9.28328147120384,-9.275262434294861,-9.220865106879849,-9.219161036187181,-9.33661442309716
"(0, 5)",-9.009376603321176,-8.073198874584333,-9.116446043294081,-8.944208407023098,-9.004735051567716,-8.944831276723798
"(0, 6)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 7)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 8)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 9)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 10)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 11)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 12)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 13)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 14)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 15)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 16)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 17)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 18)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 19)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 0)",-10.008021513598003,-10.044659918325488,-10.010624572244726,-10.004966457116403,-10.05524013442317,-9.311134540236049
"(1, 1)",-10.687369720890985,-10.633555668267224,-10.128442028068873,-10.649408426340287,-10.645803178981826,-10.637611883928587
"(1, 2)",-9.828340277223553,-10.584046749388543,-10.573468276144924,-10.609338412173866,-10.590315403172365,-10.572338540137467
"(1, 3)",-10.374153861374932,-10.491803851926974,-10.43886582340255,-10.601444727642425,-10.451914176609487,-9.434261181325352
"(1, 4)",-10.290409309275109,-8.753825390111851,-10.207202327635816,-10.236502163745193,-10.20905793004655,-11.168794939358595
"(1, 5)",-9.545493420434699,-9.592560573358785,-9.51544731966775,-9.500358518497382,-9.509417334562704,-9.590583045157715
"(1, 6)",-9.176479744345066,-9.156878905639994,-9.199965270236618,-9.154150960128202,-9.13700587153841,-9.078965621182256
"(1, 7)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 8)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 9)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 10)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 12)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 13)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 14)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 15)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 16)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 17)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 18)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 19)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 0)",-9.263766954123835,-9.34452087836361,-9.245444721305518,-9.34522966883972,-9.250721755908248,-9.37022250029725
"(2, 1)",-8.690553034197826,-8.636576547799766,-8.73898800257459,-8.630103219280942,-8.035556446646847,-8.91786022284873
"(2, 2)",-9.421616413630305,-10.302723141054207,-9.999145564342347,-9.968521681503141,-10.072582568857847,-9.974531208086274
"(2, 3)",-7.839535523268492,-10.081939718708405,-9.999452450684446,-10.613203722394477,-9.800881616718073,-10.21383927993169
"(2, 4)",-10.089875175018456,-10.070376371074323,-10.07954361363609,-10.093152386116763,-9.995297199219019,-10.178922726946162
"(2, 5)",-10.005841066773021,-9.976790923141175,-10.04818917191521,-9.816042240462881,-9.980324578810748,-10.001289269572693
"(2, 6)",-10.287066344338825,-10.067697252979466,-10.039546653136036,-10.067387356874365,-10.105181250365252,-9.677051401820991
"(2, 7)",-10.242304498452699,-9.810370861952745,-10.232376694723403,-9.97549259065228,-10.52472069689348,-9.328263645162984
"(2, 8)",-9.697186709575695,-9.699459547202242,-9.715432220202771,-9.768293705218262,-9.729361158409635,-9.783409641301661
"(2, 9)",-9.687625782416118,-9.704826502054573,-9.72277806893019,-9.757638126379574,-9.759796757333586,-9.684070734628067
"(2, 10)",-9.683127120139469,-9.653606117223072,-9.616017759799439,-9.597967599088992,-9.634107726426034,-9.613707553718378
"(2, 11)",-9.665250189179682,-9.717165279574466,-9.700728219756984,-9.735438780814272,-9.65229256965554,-9.688889616858988
"(2, 12)",-9.709440661932737,-9.709730575642814,-9.646542597595769,-9.675046552127666,-9.62496642188061,-9.683573493630908
"(2, 13)",-9.696038048132113,-9.6293375657845,-9.653848153198387,-9.646583391045326,-9.657209854326586,-9.698579666924926
"(2, 14)",-9.651411699722699,-9.644688316908564,-9.699210300603962,-9.713172945689386,-9.676843572794471,-9.665394752465385
"(2, 15)",-9.698482387971818,-9.647562901662496,-9.647369660539459,-9.6211572246493,-9.60799258090493,-9.663920236348108
"(2, 16)",-9.687571284526072,-9.680658167527483,-9.703620824442604,-9.7401005122908,-9.747341379060245,-9.676564856905207
"(2, 17)",-9.633231779143332,-9.619120161406817,-9.672046040860694,-9.638942962674651,-9.607832248589956,-9.690595645317156
"(2, 18)",-9.635588408734215,-9.558456027936968,-9.602315139116929,-9.598263669984608,-9.556887535911295,-9.619212522153
"(2, 19)",-9.960109127059313,-9.937678012472263,-9.948285390740166,-9.914779066348913,-9.967836134129696,-9.943481870901529
"(3, 0)",-9.468498987823331,-9.497582369176039,-9.446173943875868,-9.452979536443362,-9.161410826336382,-9.502645459899725
"(3, 1)",-9.798223083389939,-9.631768076109395,-9.762953778255007,-9.741621988406388,-9.72535258667136,-9.73905904890651
"(3, 2)",-9.650732709406851,-9.813500359559484,-8.019580135330763,-9.778703222302347,-9.512118722961114,-9.726967466049402
"(3, 3)",-7.873187341410467,-9.778552604421764,-9.687784721725706,-10.329005981086341,-9.80379214623457,-10.027755426686035
"(3, 4)",-8.410201438080609,-9.130965243765822,-8.520057810880113,-10.42689761440416,-7.039127961614002,-10.31582358111537
"(3, 5)",-9.363976411292278,-10.366422569683234,-10.380932712547786,-10.256450289607727,-10.362254680677037,-10.320620121968116
"(3, 6)",-10.14061327690927,-10.133915063496955,-9.990174162831362,-8.177850358091012,-10.146760107640484,-10.100797248892688
"(3, 7)",-10.416764293502661,-8.214880260500527,-10.570843047220185,-10.429113727931679,-10.777814841710713,-9.954322513222282
"(3, 8)",-9.810358186647031,-9.812423659355622,-9.781500584459092,-9.44958692236439,-9.782336839537173,-9.84969543338348
"(3, 9)",-9.959760333268466,-9.929011246119282,-9.978501708744629,-10.017985774748698,-9.985002314321953,-9.725582701491465
"(3, 10)",-10.162639391812178,-10.151364518422234,-10.155937771355084,-10.126902704916073,-10.11104902368927,-10.157972633613191
"(3, 11)",-9.975196705565624,-10.009977158576447,-10.02335793030313,-10.044640523393216,-10.03079291617583,-10.010281857652135
"(3, 12)",-10.070948221356442,-10.069781451133128,-10.010932472666342,-10.050416768827269,-10.036267134404584,-10.018388889851062
