states,right 1,left 1,right 2,left 2,right 3,left 3
"(0, 0)",-9.604083627082423,-10.021798903276892,-9.555082763435605,-10.070388541491171,-9.364482625899724,-9.95298295312251
"(0, 1)",-10.278987063993783,-9.994658346887435,-10.2734884991594,-10.277285220169002,-10.27714759136175,-10.273177854377037
"(0, 2)",-9.499238086890717,-9.513722978373863,-9.504297550196604,-9.528941161370481,-9.504599150165555,-9.56987442655556
"(0, 3)",-9.45030999230884,-9.473262518671147,-9.458930442617028,-9.449356739302692,-9.452942625961807,-9.475925132162171
"(0, 4)",-9.429596504049925,-9.424997086319117,-9.419825516824273,-9.425913410620183,-9.415291208800985,-9.458153733957586
"(0, 5)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 6)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 7)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 8)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 9)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 10)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 11)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 12)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 13)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 14)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 15)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 16)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 17)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 18)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 19)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 0)",-8.778068395486104,-9.099359913440173,-8.99417948050291,-9.040466823656784,-9.004315602160503,-9.077680812645916
"(1, 1)",-8.634787681136467,-8.695936646897318,-8.168160631338411,-8.698667533723087,-8.015935634744462,-8.606793779187592
"(1, 2)",-8.729168985223371,-8.719624275883437,-8.65690428164344,-8.890824995087574,-8.657602859810783,-8.830404239299597
"(1, 3)",-3.1838991123375338,-3.212372934207085,-2.7602810008520318,-2.635822592601076,-2.8307177412090203,-3.373791747428137
"(1, 4)",-4.913089962512791,-5.166394012857067,-4.974779101705628,-5.0362661543061,-4.977421940413313,-5.065091816818871
"(1, 5)",-4.903608303819041,-4.516585057293861,-4.604605099827114,-4.628883454665659,-4.527652215519909,-4.601376682338113
"(1, 6)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 7)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 8)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 9)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 10)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 12)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 13)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 14)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 15)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 16)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 17)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 18)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 19)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 0)",-9.119747494815421,-9.035795278325923,-8.976409644438345,-8.90400570316701,-8.909372896544783,-8.952253883298262
"(2, 1)",-9.450527465314938,-9.49623680114045,-9.451325207559037,-9.458607890196134,-9.41561657190524,-9.556863251023895
"(2, 2)",-9.349315934797021,-9.944341060967659,-9.23886923480494,-10.051342418723173,-8.762795695822708,-10.016538158468634
"(2, 3)",-9.41706984765732,-9.644734541287145,-8.771653541489831,-10.985803746521057,-8.648275251635937,-10.28776829414127
"(2, 4)",-8.806698306948796,-9.557080719578293,-8.648275403899325,-9.65700530477915,-8.648275251635937,-11.059310044822388
"(2, 5)",-8.648638549116306,-8.71186008637143,-8.680971792527009,-8.723097855673048,-8.734755490171477,-8.674545472565484
"(2, 6)",-8.648677417010138,-8.82963981320673,-8.838406665652311,-8.874676710271272,-8.909529404880729,-8.82998412251191
"(2, 7)",-8.562463657434446,-8.554726183892095,-8.731792393789974,-8.58803047849871,-8.609598834767347,-8.574232268090489
"(2, 8)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 9)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 10)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 11)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 12)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 13)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 14)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 15)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 16)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 17)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 18)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 19)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 0)",-8.595980517622927,-8.621765905721837,-8.64323890018553,-8.64053050893113,-8.616589272375363,-8.580961992438965
"(3, 1)",-8.469392175538772,-8.449815437752171,-8.480732146932834,-8.472585304267636,-8.438084858399701,-8.42640470657173
"(3, 2)",-8.79532013582255,-8.707999911569232,-8.660217906837746,-8.68320721588039,-8.65726480379838,-8.677038746414823
"(3, 3)",-8.654473580790903,-9.339701011396796,-8.680500967552014,-9.112896578307035,-8.68549120241629,-9.18013183021924
"(3, 4)",-8.283593881307208,-8.73332817618649,-7.805982695112767,-8.668403260254127,-7.7304058321210345,-8.447446407749887
"(3, 5)",-7.780937380825623,-8.272924794349777,-7.736661470199762,-8.601545120033073,-7.788478416568962,-8.268941424868752
"(3, 6)",-7.746926980167596,-7.82419619984295,-7.790762971206994,-8.065434987725174,-7.780986442100349,-7.933183004280147
"(3, 7)",-5.459979896354703,-5.67735673677912,-5.468395648181835,-5.569815883051215,-5.632380164810915,-5.7251080958412315
"(3, 8)",-4.344652270184828,-4.470638437429449,-4.453992675737434,-4.193137675995153,-4.263708380308631,-4.187893654039879
"(3, 9)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 10)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 11)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 12)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 13)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 14)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 15)",0.0,0.0,0.0,0.0,0.0,0.0
