right 1,left 1,right 2,left 2,right 3,left 3
-2.778337938593792,-2.824908043397832,-2.755382778411333,-2.7407468672038133,-2.6502393824798385,-2.7934728660158448
-5.192027941581379,-5.233523754149028,-5.169152350047899,-5.210997487020273,-5.162127370505244,-5.1946964367225075
-7.125812757169292,-7.122021164967027,-7.2077327835217595,-7.114821053427875,-7.189136874211879,-7.151874708923719
-8.572928376507425,-8.587805103775645,-8.332294878374581,-8.589889542153605,-8.589930169374774,-8.611010246708167
-9.834806378196754,-9.891310402073225,-9.836922672976357,-9.850882799559992,-9.856254425522192,-9.88217287948128
-11.374805289383962,-11.32592954824295,-11.343561462484363,-11.37121859942974,-10.621630348984832,-11.327720243397426
-12.095545665139484,-12.032844197430082,-12.105370500375223,-12.02977081338839,-11.947700674331072,-12.035847874131177
-12.77065536391654,-12.75909480057483,-12.806637753565905,-12.818343326243255,-12.801388583344643,-12.824365911703836
-13.470183992243914,-13.454584176213357,-13.464741234487857,-13.494208191821478,-13.350826712948201,-13.432767710103931
-13.816654693531927,-13.821967025338624,-13.554920486810131,-13.753466136376382,-13.804228453989099,-13.778517582052137
-14.804834541555422,-14.807767874110702,-14.803304533431943,-14.83999688197152,-13.815954627402027,-14.79416772451421
-14.948279936928891,-15.232877963915335,-15.225947184215494,-15.225138362065216,-15.223069441898758,-15.211613790965066
-14.373680450648386,-15.740210883372743,-15.690108380550145,-15.671460129028679,-15.71715823735256,-15.73772964603519
-16.234442894034373,-16.30228937419357,-16.261308015767977,-16.259991957337352,-16.257934939069706,-16.289164531825723
-16.5214725904326,-16.55634374057255,-16.536680188135822,-16.546106896907897,-16.557826551170564,-16.540045989434677
-17.004219152649465,-16.999875608450115,-13.632322077800469,-17.008137881371443,-16.9935893493056,-17.047181650840688
-17.018761664180705,-16.999875608450115,-16.324091287545773,-17.008137881371443,-16.9935893493056,-17.047181650840688
-17.339654627424594,-17.34122928148695,-17.366856002756844,-17.3396077105577,-15.990073089754693,-17.378495539055553
-17.456026133281334,-17.465698264129962,-17.445327457729128,-17.48866181871374,-16.321278094216794,-17.47844716487713
-17.708681169443086,-17.713053648966664,-17.7272927683286,-17.735948381754397,-17.726087115059443,-17.803006980428066
-17.794964828127227,-17.795340595317697,-17.778018791610187,-17.720529300551526,-16.89537845256529,-17.803006980428066
-17.31765743931748,-17.994215406771794,-17.923222521815404,-17.967120956517245,-17.919713879956795,-17.96731876947419
-16.086806306861394,-17.781978246765483,-17.923222521815404,-17.967120956517245,-17.919713879956795,-17.96731876947419
-15.80376906969763,-17.781978246765483,-17.923222521815404,-17.967120956517245,-17.919713879956795,-17.96731876947419
-17.077683518422948,-17.781978246765483,-17.923222521815404,-17.967120956517245,-17.919713879956795,-17.96731876947419
-16.806237091272546,-17.781978246765483,-17.923222521815404,-17.967120956517245,-17.919713879956795,-17.96731876947419
-17.29136373549256,-17.781978246765483,-17.93330879414731,-17.967120956517245,-17.919713879956795,-17.96731876947419
-14.48801494885709,-17.781978246765483,-17.93330879414731,-17.967120956517245,-17.939011611849896,-17.96731876947419
-14.880177147698074,-17.781978246765483,-17.93330879414731,-17.854177205730608,-17.956542105984994,-17.72953683975342
-15.892165985186871,-17.618003333694542,-17.942407144313684,-17.854177205730608,-17.97251618295818,-17.72953683975342
-15.579067359510791,-17.618003333694542,-17.951425962393913,-17.854177205730608,-17.97251618295818,-17.72953683975342
-15.975045437947088,-17.618003333694542,-17.951425962393913,-17.854177205730608,-17.97251618295818,-17.37494181003279
-16.46520667877132,-17.60469573837823,-17.951425962393913,-17.854177205730608,-17.97251618295818,-17.37494181003279
-16.206306058986993,-17.60469573837823,-17.951425962393913,-17.854177205730608,-17.97251618295818,-17.37494181003279
-15.889537187874232,-17.60469573837823,-17.951425962393913,-17.854177205730608,-17.97251618295818,-17.37494181003279
-16.466010582497496,-17.60469573837823,-17.951425962393913,-17.854177205730608,-17.97251618295818,-17.37494181003279
-15.523603087051942,-17.60469573837823,-17.951425962393913,-17.854177205730608,-17.97251618295818,-17.37494181003279
-14.924913385852964,-17.60469573837823,-17.951425962393913,-17.854177205730608,-17.98693972104861,-17.183626031201264
-16.146144279691384,-17.60469573837823,-17.951425962393913,-17.854177205730608,-17.98693972104861,-17.304988259113706
-17.198479810163548,-17.62729197513285,-17.951425962393913,-17.854177205730608,-15.83384439736236,-17.304988259113706
-17.223273177460342,-17.653560064574325,-17.951425962393913,-17.854177205730608,-15.055415543275545,-17.18509280225731
-16.69507418542719,-17.653560064574325,-17.951425962393913,-17.854177205730608,-17.316546195623978,-17.362297223997977
-17.326090987659015,-17.653560064574325,-17.951425962393913,-17.854177205730608,-14.634843443223502,-17.38334983455549
-16.86529920750795,-17.653560064574325,-17.951425962393913,-17.854177205730608,-17.339307302913827,-17.38334983455549
-17.204330891056205,-17.653560064574325,-17.951425962393913,-17.773240886785267,-17.339307302913827,-17.38334983455549
-14.900605304810101,-17.653560064574325,-17.951425962393913,-17.773240886785267,-17.339307302913827,-17.38334983455549
-16.662187079124386,-17.569668474392504,-17.951425962393913,-17.773240886785267,-17.345957878530335,-17.17959018326731
-17.382266552086257,-17.569668474392504,-17.91452716112712,-17.773240886785267,-16.393237217192826,-17.319470927805828
-17.382266552086257,-17.425526637064827,-17.91452716112712,-17.773240886785267,-16.121157296904006,-17.319470927805828
-17.382266552086257,-17.425526637064827,-17.91452716112712,-17.773240886785267,-15.888757114855565,-17.278617826651846
-17.382266552086257,-17.425526637064827,-17.91452716112712,-17.773240886785267,-15.03066345399095,-17.278617826651846
-17.382266552086257,-17.425526637064827,-17.91452716112712,-17.773240886785267,-16.372876007887463,-17.361339208825193
-17.382266552086257,-17.425526637064827,-17.786609035141705,-17.7168315228876,-17.10892310730087,-17.361339208825193
-17.38296329160161,-17.425526637064827,-17.786609035141705,-17.7168315228876,-16.245266065426605,-17.361339208825193
-17.38296329160161,-17.425526637064827,-16.727517616281798,-17.7168315228876,-15.792128623046553,-17.361339208825193
-17.38296329160161,-17.425526637064827,-17.096555716565277,-17.7168315228876,-16.17246743703533,-17.361339208825193
-17.38296329160161,-17.425526637064827,-16.044282609261234,-17.7168315228876,-17.205725666269164,-17.361339208825193
-17.38296329160161,-17.374913671375882,-15.35089118612358,-17.7168315228876,-17.229310170244734,-17.361339208825193
-17.38296329160161,-17.374913671375882,-15.898108702046652,-17.7168315228876,-17.247237680060415,-17.361339208825193
-17.38539756676257,-17.374913671375882,-14.996174544892595,-17.7168315228876,-17.247237680060415,-17.361339208825193
-17.38539756676257,-17.374913671375882,-15.626020871199568,-17.7168315228876,-17.247237680060415,-17.361339208825193
-17.38539756676257,-17.374913671375882,-17.332670058878147,-17.7168315228876,-16.610898924068096,-17.361339208825193
-17.38539756676257,-17.374913671375882,-17.332670058878147,-17.7168315228876,-15.599815606373879,-17.361339208825193
-17.38539756676257,-17.374913671375882,-17.33914081538172,-17.7168315228876,-16.74222464802951,-17.361339208825193
-17.38539756676257,-17.374913671375882,-17.06569354522472,-17.7168315228876,-17.358286553358308,-17.361339208825193
-17.38539756676257,-17.374913671375882,-14.894925403814824,-17.7168315228876,-17.358286553358308,-17.409404539577594
-17.38539756676257,-17.374913671375882,-16.28320516550597,-17.7168315228876,-17.358286553358308,-17.409404539577594
-17.38539756676257,-17.374913671375882,-16.917868007749217,-17.7168315228876,-17.358286553358308,-17.409404539577594
-17.38539756676257,-17.374913671375882,-16.608904422002926,-17.7168315228876,-17.358286553358308,-17.409404539577594
-17.38539756676257,-17.374913671375882,-16.42597852264097,-17.7168315228876,-17.358286553358308,-17.409404539577594
-17.38539756676257,-17.374913671375882,-15.96423148028692,-17.7168315228876,-17.358286553358308,-17.409610603633503
-17.38539756676257,-17.374913671375882,-16.793916521895447,-17.7168315228876,-17.358286553358308,-17.427715817549398
-17.38539756676257,-17.374913671375882,-16.060452834684426,-17.7168315228876,-17.364573191257335,-17.427715817549398
-17.38539756676257,-17.374913671375882,-16.739013047649543,-17.7168315228876,-17.364573191257335,-17.427715817549398
-17.38539756676257,-17.374913671375882,-16.267590861005395,-17.7168315228876,-17.364573191257335,-17.427715817549398
-17.38539756676257,-17.061112452360483,-17.053593250215776,-17.7168315228876,-17.364573191257335,-17.427715817549398
-17.38539756676257,-17.39284942667587,-17.111723699170053,-17.7168315228876,-17.364573191257335,-17.427715817549398
-17.38539756676257,-17.39284942667587,-16.382681883693174,-17.7168315228876,-16.658504300482456,-17.427715817549398
-17.38539756676257,-17.39284942667587,-16.170814461710144,-17.7168315228876,-17.199837763027823,-17.419631231313073
-17.38539756676257,-17.39284942667587,-17.313926202829432,-17.7168315228876,-15.470517159825864,-17.309607908380315
-17.38539756676257,-17.39284942667587,-17.332961222189752,-17.7168315228876,-16.86831786273374,-17.31481155965938
-17.38539756676257,-17.39284942667587,-17.332961222189752,-17.7168315228876,-15.42827441368093,-17.31481155965938
-17.38539756676257,-17.39284942667587,-17.332961222189752,-17.7168315228876,-16.908400725413095,-17.31481155965938
-17.38539756676257,-17.312198414153585,-17.340950908406384,-17.7168315228876,-16.703561208711548,-17.31481155965938
-17.38539756676257,-17.247201337264734,-17.340950908406384,-17.7168315228876,-16.543543799465283,-17.31481155965938
-17.38718642711183,-17.247201337264734,-17.340950908406384,-17.7168315228876,-16.955133659219303,-17.31481155965938
