right 1,left 1,right 2,left 2,right 3,left 3
-7.262943715072539,-7.315568740519607,-7.27138169987317,-7.270020743305244,-6.896433015841092,-7.293591560753603
-11.582189485046166,-11.617884142062398,-11.594780520983011,-11.588368677519854,-11.631497893572648,-11.580532946797872
-13.709719297104028,-13.754259834851494,-13.706540224606243,-13.712053564470912,-13.725159742548088,-13.701861176023387
-15.54659020964685,-15.579167902719158,-15.5551955034748,-15.580151815819463,-14.241205423713652,-15.507689996616877
-16.776949723725117,-16.774786473676603,-16.801358720047944,-16.761435328210567,-16.74743170005236,-16.76860402634837
-17.501738511964675,-17.583933453164153,-17.545970771001063,-17.58875925232373,-15.129263641409302,-17.55690708522566
-17.51972217680849,-17.439259200480837,-17.545970771001063,-17.58875925232373,-15.177098398386567,-17.55690708522566
-17.51972217680849,-17.360605098291984,-17.567737611536998,-17.50603965246825,-16.936662770322556,-17.553080939578326
-17.51972217680849,-17.36543759834594,-17.567737611536998,-17.39087073094587,-16.130421138551736,-17.553080939578326
-17.51972217680849,-17.362141328692452,-17.567737611536998,-17.39087073094587,-15.131886218557668,-17.553080939578326
-17.51972217680849,-17.362141328692452,-17.567737611536998,-17.342668308318895,-16.29270004224954,-17.553080939578326
-17.51972217680849,-17.301952310475848,-17.567737611536998,-17.342668308318895,-16.757389731007844,-17.30035472231284
-17.527222407833975,-17.467265707807208,-17.567737611536998,-17.425325640010577,-17.297872321457508,-17.297770419422907
-17.527222407833975,-17.467265707807208,-17.567737611536998,-17.425325640010577,-15.937828415277323,-17.366604956671697
-17.527222407833975,-17.467265707807208,-17.567737611536998,-17.425325640010577,-17.19129894598294,-17.366604956671697
-17.224296357084093,-17.467265707807208,-17.567737611536998,-17.425325640010577,-17.091818714410778,-17.366604956671697
-17.297731265085147,-17.467265707807208,-17.552530317289673,-17.425325640010577,-16.733492649010802,-17.41613510426032
-17.31809759559446,-17.467265707807208,-17.53852768895499,-17.425325640010577,-16.96108691170618,-17.3414781943079
-17.31809759559446,-17.467265707807208,-17.323462166206525,-17.3024600137354,-15.698789426493258,-17.3414781943079
-17.335034411307632,-17.407161384444287,-17.33298214182137,-17.3024600137354,-16.40646017568341,-17.3414781943079
-17.412995862606056,-17.407161384444287,-15.792279923954826,-17.4137932503851,-17.350263264256085,-17.42413671611359
-17.412995862606056,-17.448347035842982,-15.813655345550297,-17.4137932503851,-17.389164854900674,-17.42413671611359
-17.414043777909146,-17.448347035842982,-17.350238498388126,-17.4137932503851,-17.389164854900674,-17.42413671611359
-17.414043777909146,-17.448347035842982,-16.094275915520633,-17.358329821626356,-17.395221178900556,-17.42413671611359
-17.414043777909146,-17.448347035842982,-15.47184336756951,-17.369367910575356,-17.404645975525455,-17.42413671611359
-17.46603481871659,-17.448347035842982,-16.96719084178785,-17.298614295494108,-17.406944322528503,-17.42413671611359
-17.46603481871659,-17.448347035842982,-17.220670417838644,-17.298614295494108,-16.227994360862294,-17.261807898619114
