right 1,left 1,right 2,left 2,right 3,left 3
-3.103005978658089,-3.0528013434614514,-3.0491031690250803,-3.0872953719235134,-2.5789091955336683,-3.10770727752065
-5.08936616006397,-5.1184545124916845,-5.049435336366027,-5.081484249246021,-4.146334516364372,-5.121852548117517
-7.292580814011742,-7.294399777367081,-7.218380801768752,-7.2880607457377415,-7.2249470484119325,-7.280212960441631
-8.507091213058583,-8.492367991080254,-8.481910161491964,-8.552280992405628,-7.149151470849276,-8.478364500250422
-10.157658984541285,-10.21545351144961,-9.784690835333349,-10.192997125491058,-10.16798688368656,-10.198114057695236
-11.28610782625796,-11.331149677558432,-11.281516438973213,-11.325126713367693,-10.968238707517555,-11.28726430498998
-11.944926215381676,-11.949972684266964,-11.76927313179689,-11.999163900692109,-11.965331622878669,-11.994487195658873
-12.298121961830649,-12.309931232599297,-12.3181694040396,-12.26290249448257,-10.382145064611851,-12.311421476518548
-13.618067261859348,-13.69791197770142,-13.644184291835927,-13.656216576345805,-13.640158320716033,-13.617582632497014
-14.153777929538785,-14.128560259522146,-14.112392574572928,-14.119014808595413,-13.79427863102554,-14.16026780062368
-14.95909772515191,-14.962724559617158,-14.980003058294987,-14.973970303880686,-14.496004117578057,-14.992490713938825
-15.48439092048646,-15.529354518950289,-15.48632716661137,-15.504606948322843,-14.111869093930853,-15.499446538159898
-15.636080482995034,-15.613825164431338,-15.647501320786562,-15.673513239033145,-14.936617492563466,-15.680133119310305
-16.30308567031925,-16.319855092936212,-16.328485633299497,-16.345768707876697,-16.346799295315382,-16.352335814098037
-16.548131891704983,-16.4858432005202,-16.48429468793256,-16.55015911606677,-16.542969380246344,-16.519547494805654
-17.1544448207407,-17.15162272947712,-17.171347017482415,-17.15593116445405,-17.156139229975757,-17.204830985027577
-17.328017409597887,-17.343798838700135,-17.342486823710097,-17.320378935678313,-16.671985893417087,-17.370338527888507
-17.691567533466785,-17.69195532515075,-17.67416207644173,-17.688566104013255,-16.7724583292737,-17.70036172624414
-17.733488886972044,-17.7742633698256,-17.20349229176772,-17.770877537909243,-17.740970893567564,-17.782661364517896
-17.733488886972044,-17.7742633698256,-17.441294903866396,-17.697914958688443,-17.779337462301044,-17.782661364517896
-17.781000910915257,-17.70902978062083,-16.23570201099245,-17.780217043729756,-17.779337462301044,-17.782661364517896
-17.823997191494875,-17.70902978062083,-17.11868961309564,-17.780217043729756,-17.779337462301044,-17.782661364517896
-17.823997191494875,-17.70902978062083,-16.659685552397832,-17.634812244635082,-17.779337462301044,-17.768262644073435
-17.823997191494875,-17.70902978062083,-17.113139326712403,-17.634812244635082,-17.779337462301044,-17.768262644073435
-17.823997191494875,-17.70902978062083,-15.608514523760972,-17.634812244635082,-17.779337462301044,-17.768262644073435
-17.823997191494875,-17.70902978062083,-16.19516532747973,-17.634812244635082,-17.779337462301044,-17.768262644073435
