right 1,left 1,right 2,left 2,right 3,left 3
-13.803287815574972,-13.825318112861012,-13.773494731960504,-13.79803801388731,-10.762686841123841,-13.45226925735696
-17.775377144921436,-17.600671894520723,-17.78182755294239,-17.754021779611104,-17.551766201789274,-17.77048599536086
-17.79943751296756,-17.326722960672424,-17.21136543772824,-17.546726240046087,-15.868082860997145,-17.687093125452215
-17.79943751296756,-17.40939623771175,-17.371083989736317,-17.422032212922808,-16.467649233696427,-17.634226104877797
-17.784697374872064,-17.39810766593255,-17.410269280893715,-17.48190396890561,-16.611048364294973,-17.492829431907303
-17.360136912635284,-17.365635854492808,-17.410476446442438,-17.379590815732556,-13.966284263078576,-17.391953998430726
-17.297929856689713,-17.397747805471774,-16.19107444929072,-17.42128254324598,-17.295723579644296,-17.391953998430726
-16.60528151239255,-17.379394376395872,-17.35947216535894,-17.42128254324598,-17.34441047973216,-17.416962952361644
-17.37959567502791,-17.36199788797152,-16.651038594678997,-17.468691718444234,-17.37681817543286,-17.4313892367687
-17.384596823826577,-17.382204892493263,-16.555492709171407,-17.506408029491883,-17.39105633745435,-17.4313892367687
-17.384596823826577,-17.388781132707468,-16.197428635984394,-17.506408029491883,-17.398220601736504,-17.381970370761913
-17.314912554817905,-17.391155151639627,-14.620288706151701,-17.459220347288436,-17.317110477667526,-17.357594126653673
-16.567250173119305,-17.42244829107855,-17.362428981838605,-17.37063921849578,-17.36643069238763,-17.41040721499091
-15.12197177125368,-17.35390057803835,-17.362428981838605,-17.306545260888186,-17.380123075700165,-17.445819226916658
-17.264771136717634,-17.4908351041286,-17.403095008844083,-17.281583932401883,-17.392368759462364,-17.445819226916658
-16.98438083109357,-17.2313835695192,-17.40811979516321,-17.394206759603733,-15.27981859173769,-17.306135714156678
-17.411754139681765,-17.547952293301275,-17.40811979516321,-17.508305674499315,-15.923965263132981,-17.438057954498085
-17.42441436484602,-17.58763991988936,-16.88754394764347,-17.368432629761223,-17.36234088296298,-17.439349187576852
-17.32169547472873,-17.32415490323253,-16.74619917633561,-17.368843886621086,-17.36234088296298,-17.375924845638902
-16.83111209402053,-17.293559767223297,-17.303807922305154,-17.523196738726178,-17.408687722608256,-17.481842893439826
-15.712122004441346,-17.388956104247043,-17.3834818740974,-17.410869939523625,-17.411964257059285,-17.610562533526352
-17.248932224703086,-17.296570996927677,-17.393327629877085,-17.2623823925963,-16.672685556079948,-17.48716898828844
-16.454051417813194,-17.37927442593075,-17.40248382998227,-17.336067935766724,-17.3184169834648,-17.429991033760643
-16.519060863306546,-17.408150323014734,-17.408183956354428,-17.352989729073112,-17.345098673526362,-17.342050133953915
-17.11354731505864,-17.123597612813505,-17.409131366371042,-17.441786349977487,-17.35233227524745,-17.405433434610572
-17.365649803250133,-17.422541643697464,-17.409634448867088,-17.441786349977487,-16.826171395606128,-17.42042696537401
-17.412207620827466,-17.368867706808924,-17.410494246678304,-17.4650624836837,-16.21424016449703,-17.422349811953385
-17.412207620827466,-17.368867706808924,-17.410283850030083,-17.371554947182034,-16.737169885667893,-17.411943501448206
-17.199161096569643,-17.358923770345697,-17.412496533105053,-17.46804868808032,-17.194235017899466,-17.371150941973017
-17.33206296023509,-17.34237169876967,-17.411770748417478,-17.41507000195275,-17.26369272140336,-17.31708644881988
-17.385734370008535,-17.417653605788527,-17.411770748417478,-17.416089567805862,-15.161182885839226,-17.375578284265096
-16.651207442342095,-17.417653605788527,-17.19163279765625,-17.466225793404142,-17.28198464087789,-17.279847739055455
-17.362759585044312,-17.46718386704116,-17.370107624806273,-17.40116981944868,-15.028538167226943,-17.307398819062552
-17.371475097650606,-17.45102428309439,-17.343691783313297,-17.40116981944868,-17.07364887704031,-17.417708999558883
-16.02114726269318,-17.510455626151682,-17.34979241782592,-17.498637612622105,-17.35313723752571,-17.375349364258287
-17.37912995039726,-17.37312831094516,-17.38265803223129,-17.567526392733374,-17.00794160387574,-17.457974014894027
-17.384013122573798,-17.292673511564935,-17.38868681060309,-17.288089874440555,-16.13985873858891,-17.457974014894027
-17.39604660891179,-17.45957408174481,-16.862049926039436,-17.571281629141936,-17.401317995810615,-17.426363845259708
-17.01256834878023,-17.473238294547997,-17.409224336290883,-17.577901632874326,-17.39833873418481,-17.407656211421518
-16.816586501409965,-17.407922739563297,-17.416315302729217,-17.48488566592606,-16.40622876450034,-17.485552959160053
-17.408788052617304,-17.376190500702016,-17.416315302729217,-17.4107803956014,-16.186752967212268,-17.447629403841844
-17.41290341789404,-17.39646437575318,-17.373674125776315,-17.4107803956014,-16.257010121765624,-17.373074163681334
-17.415975799819968,-17.459307747882324,-17.376543249401077,-17.411418221140043,-15.961086336191315,-17.43234648322334
-17.419700123111923,-17.459307747882324,-16.65172170716546,-16.83188061397671,-16.837991295766724,-16.961251687060685
