right 1,left 1,right 2,left 2,right 3,left 3
-5.008778035296121,-5.045613875005477,-5.037426065053903,-5.057529241244877,-5.026285472533197,-5.045425207588021
-6.1589960432449935,-6.178820362058804,-5.518943073598667,-6.1801572436753744,-6.156201835068115,-6.197456083480957
-6.874351390284981,-6.849211535647717,-6.855826882339493,-6.912396882220212,-6.299712329191934,-6.904048729064224
-6.874351390284981,-6.849211535647717,-6.855826882339493,-6.912396882220212,-6.173149849727849,-6.804197367830977
-6.874351390284981,-6.849211535647717,-6.890682068003645,-6.912396882220212,-5.791465244168629,-6.775592183088796
-6.9099777314241715,-6.826597843105925,-6.925100180678177,-6.912396882220212,-5.643265586946995,-6.775592183088796
-6.943748239357082,-6.826597843105925,-6.925100180678177,-6.912396882220212,-5.913783790798275,-6.775592183088796
-6.974474232225722,-6.969748065073217,-6.9586567931133745,-7.001207868973578,-6.658136069066352,-6.961947774314802
-7.00618324241754,-6.969748065073217,-6.861127223188927,-7.001207868973578,-6.699222864028906,-6.838044457455374
-7.03542733532307,-6.969748065073217,-6.852268677550197,-6.847688084001905,-6.707225022152509,-6.857379134925196
-7.062736575576171,-6.969748065073217,-6.852268677550197,-6.847688084001905,-6.466286604051014,-6.857379134925196
-7.062736575576171,-6.969748065073217,-6.852268677550197,-6.847688084001905,-6.178526003021469,-6.857379134925196
-7.1148766302134865,-6.969748065073217,-6.704230074854371,-6.827059219545021,-6.557452620284968,-6.852112012339731
-7.1387070682644245,-6.969748065073217,-6.774398353216359,-6.827059219545021,-6.503308944493985,-6.891847796629269
-7.162985619473078,-6.969748065073217,-6.827319074688143,-6.909003667012818,-6.060708154862605,-6.9735254824238275
-7.185870678042411,-7.078833396076382,-6.795370837011084,-6.909003667012818,-6.590728288520895,-6.9735254824238275
-7.185870678042411,-7.078833396076382,-6.869158967228763,-6.909003667012818,-6.454712376284653,-7.020633305249062
-7.206790182088951,-7.095944672822782,-6.789052695501954,-6.909003667012818,-6.520199047602887,-7.020633305249062
-7.206790182088951,-7.095944672822782,-6.789052695501954,-6.909003667012818,-6.288190682376541,-7.069209772474339
-7.206790182088951,-7.095944672822782,-6.77655815510599,-6.971580056421307,-6.539502437457711,-7.069209772474339
-7.226773468681168,-6.77784018545495,-6.950165043749035,-6.971580056421307,-6.583314653359091,-7.069209772474339
-7.226773468681168,-7.19080254159351,-7.158834222909452,-7.1575438678885215,-6.777866912856264,-7.1598517880105454
-7.226773468681168,-7.19080254159351,-7.158834222909452,-7.0933189541837605,-6.084426559581809,-7.1598517880105454
-7.226773468681168,-7.19080254159351,-7.158834222909452,-7.0933189541837605,-6.438705910752389,-7.1598517880105454
-7.01195699171152,-7.231749838445587,-7.158834222909452,-7.0933189541837605,-6.5733024095582255,-7.1598517880105454
