right 1,left 1,right 2,left 2,right 3,left 3
-6.69804074813793,-6.7607757871397585,-6.71168165278106,-6.739220177464693,-6.088627305458241,-6.702429732890675
-8.473379077794254,-8.516467128338393,-7.412587037653073,-8.473050907887927,-8.451330868603215,-8.4304094780786
-8.597870687704097,-9.330014218454021,-9.341728343509464,-9.392588385479174,-9.337888851615894,-9.37764057264479
-9.659591084136343,-9.701556196232852,-9.653808238403272,-9.700283401480673,-9.192088239729907,-9.694706269615244
-9.688528707735216,-9.970187440850468,-9.93047986293034,-9.947489086489128,-9.917912340778358,-9.976810154874109
-9.973966010774257,-10.080458495796336,-9.958857553987327,-10.07737857596143,-10.05671541296559,-10.066833344719235
-10.193236481459108,-10.27724911615568,-10.195068696683665,-10.21739583259008,-9.424418711140076,-10.291709773220038
-10.34477621017928,-10.424702090810335,-9.778465696914495,-10.418599436614755,-10.345026997924547,-10.353404449136143
-10.41498006124985,-10.672284684558534,-10.59159757950637,-10.606767258333612,-10.380794674962667,-10.483822488087869
-10.850431568423767,-10.850850787474101,-10.808758459373808,-10.86629780768628,-9.93061230125549,-10.839513731223267
-10.850431568423767,-10.871636066086316,-10.808758459373808,-10.711940192102778,-10.24391964515434,-10.870095714867382
-10.909584495455867,-10.960764430020228,-10.891243004575447,-10.666555542556758,-10.22050966376423,-10.915385821399846
-10.911980769681097,-10.882028942822197,-10.89201680336813,-10.568330413824313,-9.981300125768339,-10.764256008855588
-10.904435386165618,-10.832234511616008,-10.653205343790553,-10.568330413824313,-10.03758303849681,-10.764256008855588
-10.885841508996608,-10.815677286506471,-10.669313536022186,-10.738134734121662,-9.89285290271402,-10.804100640021057
-10.870944030062995,-10.763363477112502,-10.683515145417891,-10.743713698078183,-10.399381209246583,-10.558674972927601
-10.836140834545537,-10.752098764806783,-10.197628337860738,-10.766489238626068,-10.075761703824163,-10.64031949726838
-10.846013876963898,-10.682269960219202,-10.559638069379874,-10.49443538447998,-10.138932189285137,-10.640915977986287
-10.833116226458671,-10.681378709955997,-10.714403668744136,-10.72716919084096,-10.074686353870074,-10.433283440768463
-10.833116226458671,-10.681378709955997,-10.711456568137034,-10.815574542181434,-10.355756173574715,-10.638555664095996
-10.822676830122958,-10.681378709955997,-10.395463552668925,-10.815574542181434,-9.889359906464588,-10.507725862605096
-10.366274430410613,-10.704728516015349,-10.629168786454542,-10.755922423438815,-9.800128909726109,-10.66283106522744
-10.706233491108863,-10.805777252413906,-10.730881266733126,-10.755922423438815,-10.271952640718876,-10.781943366486296
-10.837947849892194,-10.896209374258651,-10.841904711315161,-10.904450274989587,-10.83433891181208,-10.860549556521546
-10.014569361959275,-10.637000364946426,-10.932567803260385,-10.90961516877266,-10.957403447161713,-10.934240478260653
-10.100002894339548,-10.993916542851464,-10.954732122237123,-11.016097818439572,-11.019056396300533,-11.11605859543035
-11.274523892993965,-11.21901519067584,-11.210318146428358,-11.141061189108896,-10.578677564877871,-11.19279350791377
-10.845137160510024,-11.251943165476433,-11.222349093399396,-11.075827627505834,-10.100953514203121,-11.080930222658935
-10.845137160510024,-11.251943165476433,-11.22587340139081,-10.862520234382071,-10.222198759747268,-11.089234623535564
