right 1,left 1,right 2,left 2,right 3,left 3
-12.854851538269807,-12.834006819324214,-12.85189150107384,-12.889584048080449,-12.815039603301281,-12.85581962903446
-16.50888464863923,-16.58504120139,-16.541031958500763,-16.562194623027104,-16.513051056192744,-16.563605942211314
-16.95777440475015,-17.128377710069262,-14.563226309488684,-17.126239593882183,-17.096247170474182,-16.99440104599365
-16.96799312138656,-17.00411785613267,-16.35945392310964,-16.797726377446864,-17.124355624019614,-16.620326508149997
-16.96799312138656,-16.578917455428,-15.0061160107757,-16.7339038448565,-16.944180472627068,-16.92253177186488
-16.658149911483505,-16.844231544722835,-13.10567524071429,-16.647548609951155,-16.811064046485278,-16.91331226747711
-16.775765859320064,-16.844231544722835,-15.48871707555807,-16.78726738532871,-16.706699932913597,-16.91331226747711
-16.61117618252722,-16.844231544722835,-15.277008558561755,-16.78726738532871,-16.809790583158374,-16.91331226747711
-15.469643717592577,-16.636937557099422,-16.37478984812185,-16.655077576372353,-16.524891140875113,-16.861865128682318
-15.335604618716136,-16.828842841788596,-16.881225577639672,-16.835264085092746,-16.821828395714455,-16.861865128682318
-14.99879479981118,-16.6320282607444,-16.881225577639672,-16.835264085092746,-16.843820904911254,-16.744587380113618
-16.835605206545026,-16.805112726088336,-14.560008842840983,-16.91842882100765,-16.802480753910878,-16.83189294841332
-16.869148718978902,-16.776777782082544,-16.194161364203232,-16.880333649657913,-16.6988767308735,-16.736807771907138
-16.156915443988293,-16.776777782082544,-16.72483933762746,-16.880333649657913,-16.77049559231593,-16.72174923634374
-16.804915602204606,-16.858886060520554,-16.825253458159185,-16.839588979289825,-16.029198218262604,-16.86501983283337
-16.703231354049436,-16.651135158146733,-16.846647040356142,-16.716583297048096,-15.712606780255053,-16.86501983283337
-16.718256715125747,-16.779406844996085,-16.871928749986893,-16.713901084987672,-15.918425512667971,-16.86501983283337
-16.93710552498136,-16.82457411627375,-16.903452714616318,-16.81851376692984,-15.592019441049123,-16.859758880122293
-16.974712935135297,-16.77401542857919,-16.934207559990828,-16.71725430375441,-15.554773786664576,-16.859758880122293
-16.9763935569681,-16.85724141315061,-16.934207559990828,-16.883736512401203,-16.28758916306831,-16.75515183564083
-17.01733048355704,-17.02344378756572,-17.020013311583853,-16.86265686408886,-16.6297504115486,-17.10679249939292
-16.816833218381923,-17.01880737424535,-16.07641552600339,-16.837084387116256,-16.830141597881667,-16.724616993185684
-16.82322526865941,-17.05990332155235,-16.654909378026723,-16.83042455261659,-15.14725394039166,-16.85764800236463
-16.82322526865941,-17.05990332155235,-16.762832149964964,-16.83042455261659,-15.758080002191036,-16.782066355228363
-16.828665349866665,-16.871496005966442,-16.861945592835514,-16.8474011119671,-15.677933338049197,-16.838656369168522
-16.929923986886987,-16.748043718397938,-16.875102838923414,-16.704651593831873,-16.412990355108857,-16.77966164587137
-16.62307508202556,-16.70877922892511,-16.875102838923414,-16.687402703756213,-14.987247142943447,-16.358526446495286
-16.59774314856437,-16.729277968577886,-16.770478891028045,-16.572678124066023,-16.003659907131066,-16.692590826350237
-16.85590686804336,-16.87614192221775,-16.840749900417173,-16.89918165527504,-15.548373672200436,-16.888419764222597
-16.420265969023387,-16.724457190906335,-16.86066840986227,-16.772004745580546,-14.356906012509167,-16.820004574373765
-16.670618211287838,-16.77005076362501,-16.85711705985746,-16.912623940459223,-16.675237408025374,-16.820004574373765
-16.74009345523378,-16.7496533458722,-16.861459529449377,-16.833958044445193,-16.74260127563098,-16.728479351267442
-16.30855003677103,-16.78784740103817,-16.89236954365723,-16.925952875444658,-16.886636340170163,-16.822860676438854
-16.916447434284525,-16.954188494083496,-16.907836111058455,-16.954063316899717,-16.114670278038894,-16.946181054369127
-16.916447434284525,-16.820456770679925,-15.721017131454769,-16.468283804021176,-16.647533808696018,-16.869105176999465
-16.919067363523247,-16.470180483761418,-14.612913792218608,-16.657362371219865,-16.588948871718024,-16.87080762839599
-16.931034096736756,-16.800089647311253,-15.804144302515645,-16.723574908234042,-16.733998887809822,-16.748998703092138
-16.511887111859398,-16.800089647311253,-14.634728886082963,-16.723574908234042,-16.733998887809822,-16.733557457052786
-16.833306527421456,-16.800089647311253,-15.396284945533614,-16.340424502691132,-16.758389313350694,-16.816823899595732
-16.833306527421456,-16.66255112137379,-16.786841404932908,-16.64606044186481,-14.688099359414714,-16.74855351489195
-16.832638568687248,-16.72090697930848,-16.763468552253457,-16.79335148796185,-14.93721584090909,-16.831804961377056
-16.435370344526007,-16.515721704243138,-16.763468552253457,-16.690053774927804,-14.359574061204407,-16.732719202228818
-16.71556388951481,-16.710395038855257,-16.710477903058663,-16.696890946096012,-15.592780291172561,-16.732719202228818
-16.71556388951481,-16.682275328115445,-16.731256018347587,-16.559549738269787,-15.359116664212111,-16.732719202228818
-16.7942281413308,-16.72318188679912,-16.731256018347587,-16.76721950709254,-16.269174996810886,-16.68535507458942
-16.819209261391105,-16.72318188679912,-16.731256018347587,-16.771262828235013,-15.238727597521788,-16.714861912967535
-16.598937831574602,-16.570218814837354,-16.651868135949886,-16.771262828235013,-15.245891673204806,-16.65812299346326
-16.77036729903764,-16.820257952479068,-15.191317002992461,-16.824680882927773,-16.74911707093036,-16.755587878650324
-16.075105620287605,-16.813492616354793,-16.531429928902014,-16.732262551783236,-16.290124803666185,-16.755587878650324
-16.694101379044593,-16.838489195906053,-16.652022962603596,-16.58635110422191,-16.058900264789198,-16.755587878650324
-16.78826302175229,-16.889380004045247,-16.790048953380612,-16.82716109197698,-16.48731627729492,-16.80905446372119
-16.871989592141407,-16.889380004045247,-15.84792914110034,-16.81789247410791,-16.806816003483398,-16.697297651256488
-16.02997215131018,-16.874226660558307,-16.587061744320245,-16.600503111895307,-16.615733742237346,-16.697297651256488
-16.690316926099253,-16.87983933795441,-16.114796843572933,-16.710578502662237,-16.499378550527066,-16.639308399287682
-16.766622894082165,-16.87983933795441,-16.73740875678132,-16.745031119074838,-16.372155897490014,-16.76886884944512
-16.869636609704862,-16.742614856279438,-15.131182179862146,-16.865607584905533,-16.89002883958222,-16.73847960372363
-16.803978149666538,-16.82587224142316,-15.188790159457673,-16.787984049527864,-16.913105194715076,-16.821929834676066
-16.81113967644507,-16.837865865494727,-14.702544255465316,-16.82639124620355,-16.623712926261724,-16.909864624549517
-16.81113967644507,-16.750194244215063,-16.732235518693457,-16.801167400499452,-15.288297334479681,-16.897132234938198
-16.71352137615235,-16.699312840000097,-16.732235518693457,-16.698370513835272,-16.15929712196838,-16.76499417087294
-16.766142019205144,-16.7826135271601,-15.81192410584008,-16.787564060169775,-16.760817068337104,-16.784154022612334
-16.826354002300963,-16.865830913632937,-15.949866194280235,-16.870776496109606,-16.802175387758144,-16.80148399619766
-16.826354002300963,-16.841847437280776,-15.816993699133528,-16.68969448571268,-16.828502689742237,-15.984242709020375
-16.826354002300963,-16.805309655780725,-16.501572685676337,-16.698303223042554,-16.843716644661264,-16.679731411325886
-16.837122749747223,-16.8016338909175,-14.853936132941053,-16.78160491981951,-16.850617119958237,-16.80375636057992
-16.40815986098511,-16.718420217254177,-14.535798688415703,-16.85386472126571,-16.341038027371052,-16.80375636057992
-16.564523268450248,-16.637019214379908,-16.729415352582638,-16.707185690285733,-15.735975539188985,-16.81925827692295
-16.753493781685975,-16.78722110561307,-15.550874203744508,-16.813179151905047,-16.757514435169764,-16.765675253633614
-16.72785771597752,-16.620671787119967,-14.611894707271988,-16.874408337729797,-16.83037740374094,-16.769491512590154
-16.640848129584136,-16.787347064217514,-15.673788007646209,-16.780709161899168,-16.841159738777506,-16.80040042076159
-16.079586165249967,-16.787347064217514,-16.71920221453538,-16.780709161899168,-16.841159738777506,-16.694100647322962
-15.286730204981726,-16.635131902697683,-16.77065168389826,-16.780709161899168,-16.851248881960803,-16.82980651434193
-16.569326591023987,-16.682349169826544,-16.77065168389826,-16.39384973262521,-14.763204949125722,-16.795572173766985
-16.675266917413513,-16.682349169826544,-16.257295361743548,-16.635715927043346,-16.640880338752993,-16.695115031992962
-16.058258236812534,-16.789360932239763,-16.70279500273884,-16.877041477834627,-16.653067474405645,-16.873059937331995
-16.830485197698426,-16.79042239943043,-16.714218902911814,-16.846066589888306,-15.604563255863923,-16.897638465395705
-15.964524759715447,-16.86756126391942,-16.833999492698638,-16.846066589888306,-16.86592486485285,-16.678451616155936
-15.40756148206041,-16.93488187024961,-16.921698211950794,-16.93287223142222,-16.915757857384232,-16.822682387131593
-16.0585073962939,-16.824793070650625,-16.78418166631102,-16.957873449233993,-16.915757857384232,-16.822682387131593
-16.13373404985778,-16.824793070650625,-16.732133459853607,-16.905619006834673,-16.801241065535308,-16.59991568324238
-16.571089869745318,-16.795296657919796,-15.662848467943023,-16.799017358953783,-16.801241065535308,-16.828797689060714
-16.679920618485205,-16.753626644605877,-16.625195530994695,-16.83264877464184,-15.167988890035044,-16.571881278019955
-16.82770720864945,-16.734582943874564,-16.763529423221087,-16.881381847584862,-15.47415532522268,-16.78477744642807
-16.841791539076223,-16.844241811109878,-15.979693416978407,-16.886360000242245,-16.808754844489762,-16.867992668981643
-16.860450977088938,-16.878222827884528,-16.86017778727176,-16.619117562068997,-16.16578635872758,-16.783652208607162
-16.860450977088938,-16.79674075919822,-16.611227239140646,-16.66604912532761,-15.245460731683021,-16.61669254761237
-16.88376904181355,-16.61451614544642,-16.657297411573587,-16.556746137538973,-15.726847321818303,-16.61669254761237
-16.413276877455676,-16.81409333445655,-16.77070748995574,-16.805745701016562,-16.77058830397298,-16.783375779209692
-16.849015822193508,-16.897279241122096,-16.846531024180756,-16.893106701755936,-15.011270959287382,-16.842674754114586
-16.875229655732262,-16.303456633172814,-16.86650127498644,-16.893106701755936,-15.941614839966954,-16.509498111527368
-16.875229655732262,-16.60833468349069,-14.96800088264584,-16.72977536899145,-16.59835611605783,-16.61474995377483
-16.875229655732262,-16.75291589883576,-16.781236573503033,-16.81304559362246,-15.187971516120296,-16.743417682043756
-16.88482546311347,-16.79269277560826,-16.796149244256643,-16.81304559362246,-13.883836798558272,-16.566674951539575
-16.588384823888816,-16.84051844133498,-16.80327168615082,-16.709322490615737,-16.327246021229286,-16.68574593954968
-15.580730127192123,-16.652048170864713,-16.8063377299297,-16.732671529169757,-16.689886622218765,-16.68574593954968
-15.148843886230285,-16.937953602231225,-16.940654370229616,-16.922538671156133,-16.88453501285555,-16.920326719331435
-16.669301233316503,-16.669495818857737,-16.21150369952632,-16.781868619371387,-16.88453501285555,-16.871952753483175
-16.78901323332011,-16.85842921987018,-16.058272000472183,-16.79872230248016,-16.91332449726231,-16.885342839755104
-15.611035935428063,-16.92636719892334,-16.76242447748085,-16.85820214068082,-16.808664901425175,-16.885342839755104
-15.55144778058172,-16.80586714613536,-16.84494243831946,-16.795593876342746,-16.90236021123438,-16.827227615982867
-15.946713120716984,-16.948637380183712,-16.886984459372563,-16.884918718865922,-16.926650865395818,-16.871748080690548
-15.947941042178627,-16.40306848055996,-16.872991732322273,-16.783329794258414,-16.639100121968486,-16.871748080690548
-15.83296714680851,-16.695550927451137,-16.908723011930302,-16.783329794258414,-16.7317963827976,-16.82021561245343
-16.69175073734137,-16.769174443909794,-16.831267867926606,-16.78897501911183,-16.806327066998964,-16.765864644592444
-16.367575332346455,-16.760643861305336,-16.84895750588737,-16.749449494405887,-16.746254825245522,-16.758260002766733
-16.88654130000407,-16.386490316642195,-14.29206772299994,-16.625329941834302,-16.880773176018657,-16.874682475648648
-16.88654130000407,-16.599807605360922,-15.03686915685876,-16.503771252984485,-16.880773176018657,-16.874682475648648
-16.874024939638016,-16.692863790657867,-16.268536701882446,-16.690048318605456,-16.901935384511077,-16.803157178763737
-16.014002244423583,-16.86028981262332,-16.847621058196285,-16.89030502190535,-16.910919151963206,-16.90331393491225
-16.545083904288585,-16.763579584049133,-16.556304357728507,-16.77048496529498,-16.52390303147323,-16.951727121996097
-16.745739821828906,-16.814178676211,-16.54385363570635,-16.76219997897547,-16.75420395834955,-16.842757717462277
-15.11355148967148,-16.645418710965924,-16.789352676613884,-16.773133761793343,-16.825538414881528,-16.855448802320854
-15.907876356588691,-16.768302283031147,-16.700567366006037,-16.813669229652945,-16.825538414881528,-16.811536329843108
-16.816701029006996,-16.851533980748115,-15.253284922156547,-16.76648487537682,-16.825538414881528,-16.788312076163137
-16.069317083455772,-16.56062742632313,-15.163591616364629,-16.64094412157812,-16.855104091391166,-16.78954250616976
-15.600062057884504,-16.73576977732311,-16.722622907714822,-16.78557175975706,-16.88047936253857,-16.787724971104566
-15.275140543719626,-16.715633798030186,-16.722622907714822,-16.358574533804415,-16.900600802370285,-16.724208229720997
-16.738676575774218,-16.785653212761307,-15.285074221779338,-16.70478785681899,-16.741336895399215,-16.765171640180903
