right 1,left 1,right 2,left 2,right 3,left 3
-0.875,-0.9975,-0.875,-1.30875,-0.9375,-1.24625
-1.6921875,-1.9554984375000002,-1.616796875,-1.7680203125,-1.726787109375,-1.74001875
-1.93266875,-1.9554984375000002,-1.77294921875,-2.184324609375,-1.7965185546875,-1.74001875
-1.93266875,-1.9554984375000002,-1.819599609375,-2.184324609375,-1.7965185546875,-2.23131865625
-2.1602625,-1.9554984375000002,-1.819599609375,-2.184324609375,-1.6457592773437502,-2.23131865625
-2.1602625,-1.9554984375000002,-1.819599609375,-2.184324609375,-1.6941296386718752,-2.23131865625
-2.1602625,-1.9554984375000002,-1.819599609375,-2.184324609375,-1.7183148193359377,-2.23131865625
-2.1602625,-1.9554984375000002,-1.9963748046875,-2.184324609375,-1.852919909667969,-2.23131865625
-2.512864390625,-2.9334923405859374,-2.5186090581054685,-2.6734029863281252,-2.6219025220104983,-2.687611490299072
-2.7161389378124996,-2.9334923405859374,-2.5186090581054685,-2.6734029863281252,-2.6219025220104983,-2.687611490299072
-2.9133769381250003,-2.9334923405859374,-2.977363335500586,-3.1600359713964847,-2.9745655420481873,-3.1741734328475766
-3.172668028419333,-3.418824878883008,-2.977363335500586,-3.1600359713964847,-3.0729120839928434,-3.1741734328475766
-3.5669645905782703,-3.418824878883008,-3.3767471763255372,-3.644235791539502,-3.2473172457464217,-3.6583025656833383
-3.5669645905782703,-3.418824878883008,-3.6322687100246407,-3.644235791539502,-3.5230002409628947,-3.6583025656833383
-4.0128428471368345,-3.901730754488593,-3.8902600654998434,-4.1260146125818045,-3.805188058912858,-4.140011052854922
-4.0128428471368345,-4.382222100716151,-4.088000972653773,-4.1260146125818045,-4.042788852812135,-4.140011052854922
-4.265037865219852,-4.382222100716151,-4.088000972653773,-4.1260146125818045,-4.042788852812135,-4.140011052854922
-4.643312941357807,-4.382222100716151,-4.464882881098026,-4.605384539518895,-4.4467636792632526,-4.619310997590647
-4.915394318646219,-4.86031099021257,-4.714074616264632,-5.082357616821301,-4.758989586754916,-5.096214442602694
-4.915394318646219,-4.86031099021257,-4.851117555353569,-5.082357616821301,-4.758989586754916,-5.096214442602694
-4.915394318646219,-4.86031099021257,-4.94789642064721,-5.082357616821301,-4.9870030967998975,-5.096214442602694
-5.19160280595133,-5.3360094352615075,-4.94789642064721,-5.082357616821301,-4.9870030967998975,-5.096214442602694
-5.416278305110891,-5.3360094352615075,-5.206292950008339,-5.556945828737194,-5.283639755006151,-5.57073337038968
-5.416278305110891,-5.3360094352615075,-5.464379716410463,-5.556945828737194,-5.506055250360254,-5.57073337038968
-5.6208451395055725,-5.8093293880851995,-5.528062307030417,-5.556945828737194,-5.506055250360254,-5.57073337038968
