states,right 1,left 1,right 2,left 2,right 3,left 3
"(0, 0)",-58.45926972127168,-58.52327825605145,-57.97346803183885,-58.58979015118715,-58.422413426346886,-58.53434174539234
"(0, 1)",-58.2344181199476,-58.0210801787983,-58.00050160832423,-58.14641705682257,-58.07008807257997,-58.15284923733476
"(0, 2)",-57.07589833207991,-56.79419324251924,-56.85619799804989,-57.551304113537824,-56.99809214805158,-57.27562191227898
"(0, 3)",-58.220095285988165,-58.14540977546528,-58.27843671867184,-58.25463569304719,-58.19754151762645,-58.189189383245896
"(0, 4)",-57.98200704904948,-57.98257749094577,-58.0515432694714,-58.15911714867455,-58.18130471395219,-57.8209210314637
"(0, 5)",-58.174963186750524,-57.874683336227605,-58.03016466154975,-58.13544994019446,-57.99465635950229,-58.19744587850636
"(0, 6)",-58.213496258077996,-58.158156314674315,-58.10824412678511,-58.10339127970123,-58.08581319703782,-58.30007998264204
"(0, 7)",-58.21978343295706,-58.23869592752434,-58.15973199062999,-58.166197298177224,-58.10873898961009,-58.05310150625462
"(0, 8)",-58.23243377802773,-58.12447292231131,-58.0965687539519,-58.18528912797563,-58.23037667924885,-58.04857329934419
"(0, 9)",-58.22663054604508,-58.175897384549486,-58.11580586054009,-58.248757402823244,-58.260945813402934,-58.10136257941214
"(0, 10)",-58.214973473974155,-58.2618944642787,-58.101999194406375,-58.12653020998194,-58.22913518052694,-58.139131674358296
"(0, 11)",-58.12926565475752,-58.23603660925029,-58.265888771030056,-58.124602150825154,-58.051203782152655,-58.229099970186255
"(0, 12)",-58.27773838656093,-58.24820644386767,-58.15915873370166,-58.207670495095314,-58.214906223948006,-58.305720510832074
"(1, 0)",-58.20457059810782,-58.18563464080893,-58.234133825055096,-58.259034301180904,-57.92551847748024,-58.20103831300692
"(1, 1)",-58.169153264300746,-58.247840065263944,-58.275666698548704,-58.33391227696163,-58.17169753846644,-58.43814180020773
"(1, 2)",-58.21732089280803,-58.272117709137014,-58.22521063818375,-58.18626574778305,-58.1749323558323,-58.12953907164825
"(1, 3)",-57.18857704387194,-56.772960133449644,-56.948357175945404,-56.811972382404704,-57.23992881245583,-56.93242733616638
"(1, 4)",-58.12409981985323,-58.06914087032554,-58.02682305035596,-57.98666890013864,-58.01696326964968,-58.09426595345208
"(1, 5)",-58.02676536463444,-57.943508833355736,-57.937548241921945,-58.01210281855742,-58.067163790416274,-57.94965880983082
"(1, 6)",-58.008603123561635,-58.055999810265874,-58.02580627331207,-57.99291585934578,-57.90783645122481,-58.13086061012163
"(1, 7)",-58.06053180062177,-57.982401772244785,-57.95901582210983,-57.95752989892408,-58.02948435506545,-58.08997110214753
"(1, 8)",-58.00684847877787,-58.05060883130112,-57.93174672276891,-58.04688935878468,-58.07206220985411,-57.96195227145353
"(1, 9)",-58.048461650429786,-57.99731899160478,-58.07168410510394,-58.02057325927723,-58.02481113402773,-58.074421319781145
"(1, 10)",-58.00657806513618,-58.09353215910754,-58.00244934818171,-58.06374502091539,-58.11064770925874,-57.93470396173421
"(1, 11)",-57.87789752067106,-58.09212654427559,-58.04187171670205,-58.06114454348351,-57.90231913167928,-57.894219893491154
"(1, 12)",-58.07915426630224,-57.98767078979817,-58.10202385518599,-58.14984981065946,-58.18352920396751,-58.105045800556795
"(2, 0)",-57.069057724189,-56.99431833199081,-57.19280255573895,-57.19446648824817,-57.11555141919539,-57.131153990321074
"(2, 1)",-58.155326479237836,-57.98177136817783,-57.9541412806211,-58.17459731467869,-57.607298638676525,-58.2245412679846
"(2, 2)",-58.164557376972624,-58.234638571041266,-57.83058842499079,-58.21289587823186,-58.20517909065643,-58.26564710286213
"(2, 3)",-57.84214671902382,-58.02986199863825,-58.06194497044803,-58.082977051708625,-58.095877852542074,-58.20545233689381
"(2, 4)",-57.60828359459469,-57.13102101861263,-57.05551182973488,-57.055875708504345,-57.225539360280266,-56.99534566224869
"(2, 5)",-57.91390281548903,-58.0733990307815,-57.971932309755914,-57.93219965504031,-58.0188876095546,-58.21918838063304
"(2, 6)",-58.027142264955145,-57.85327820561152,-57.93804153948608,-57.89893625651504,-57.879054722886934,-57.911092622025485
"(2, 7)",-57.888925843623895,-57.92687551311928,-57.85603582467849,-58.07607677010806,-58.028144319891254,-57.85640491847201
"(2, 8)",-57.88270353639968,-57.910002759905694,-57.97820636516073,-57.920689428350784,-57.87414689178307,-57.952070415853996
"(2, 9)",-58.05165209727043,-57.92168781704888,-57.974794768137556,-57.873106509125755,-57.87797301182278,-57.97925602753675
"(2, 10)",-58.05438206670548,-57.98147342806108,-57.994350299241646,-57.86835107892999,-58.11226324706696,-58.026995337176366
"(2, 11)",-58.08726189217491,-57.83710518227564,-57.93999253635009,-58.00810143777468,-57.986102174254775,-58.044880937683295
"(2, 12)",-58.17876370693148,-58.08617783061696,-58.078039255905075,-58.130541552702866,-58.085900626778184,-58.027290116491415
"(3, 0)",-58.026290184007266,-58.039810340220484,-58.16232536640237,-58.065186881612696,-57.94526709472411,-57.889881318617654
"(3, 1)",-56.64340086978073,-56.605306290309684,-56.995679691041886,-56.806043257840464,-56.60195609560945,-56.64793246769713
"(3, 2)",-58.022329954752394,-57.983914744295475,-57.784019752187106,-57.93689377857193,-57.47803760113939,-57.86403126063816
"(3, 3)",-57.725136068768286,-58.06936336767775,-58.02065382208586,-58.11294537096445,-58.012432733662294,-58.10096613930097
"(3, 4)",-57.98021456430875,-58.18897460431304,-57.88523745749727,-57.934577064068435,-57.84405634190283,-57.91817042253932
"(3, 5)",-56.72121806700365,-56.572247827640616,-57.09340661231552,-56.59693766784382,-57.078447258760505,-56.81002120601443
"(3, 6)",-57.67544096853234,-57.805136590595595,-57.79526549323957,-57.539748875883504,-57.76340768097916,-57.968463083092615
"(3, 7)",-57.83023035959417,-57.627875548292124,-57.67010512790554,-57.35042174707837,-57.7531749226548,-57.78160941371689
"(3, 8)",-57.70446898906213,-57.79997902527505,-57.69742706513539,-57.78729408328536,-57.76453362983101,-57.367309000660526
"(3, 9)",-57.856508435834016,-57.68417523135186,-57.71912262587823,-57.65362809531706,-57.844027572560194,-57.75070417780253
"(3, 10)",-57.81765309877777,-57.69670070740577,-57.94177536214457,-57.74577207561953,-57.78784697117422,-57.74863169222539
"(3, 11)",-57.72089020946839,-57.789472853021365,-57.82773715125276,-57.840003160094824,-57.681972801172066,-57.83119282656022
"(3, 12)",-57.92377393092835,-57.960390804396795,-57.88147121769407,-57.83608358671496,-57.885378412426505,-57.828802082911366
"(4, 0)",-58.11214651700238,-58.190630199648425,-57.987436758254105,-58.18356838293711,-58.01908602718247,-58.07616319384108
"(4, 1)",-58.07739253239507,-57.93025370714348,-58.09635653867714,-57.86955261959842,-57.97747948116364,-58.08527726128392
"(4, 2)",-56.76377530636789,-57.25072806199702,-56.97848507033607,-56.8750778403445,-56.61424909339623,-56.705235204136464
"(4, 3)",-57.85526558148729,-58.06551139709204,-56.76327759469819,-57.871425215071284,-57.78691699180657,-58.06735849950095
