states,right 1,left 1,right 2,left 2,right 3,left 3
"(0, 0)",-89.73669925846885,-89.68588603223523,-89.1262931178587,-89.88093409675827,-89.64784249313276,-89.85085504525614
"(0, 1)",-89.54342986046896,-89.77101793247559,-89.75456583161127,-89.71914041619203,-89.71775027536387,-89.70589719657173
"(0, 2)",-89.37336300115675,-89.03527480815796,-89.4009421058041,-89.40475978284687,-89.37837639371804,-89.41412247921403
"(0, 3)",-89.77564280147956,-89.80269524422664,-89.77957456942003,-89.46824522047905,-89.79073474836125,-89.77959758677773
"(0, 4)",-89.75508826173237,-89.77884679686807,-89.74168111801441,-89.74776222477573,-89.72506296773076,-89.7375714446176
"(0, 5)",-89.72543638766386,-89.74584536234394,-89.75650918301142,-89.72856972766368,-89.73430110301112,-89.69502348263052
"(0, 6)",-89.75367121541073,-89.71345701783733,-89.73804686862744,-89.73167116536303,-89.76616937627887,-89.76354297112373
"(0, 7)",-89.72869598958783,-89.73208961985458,-89.74694588000108,-89.74266604966694,-89.74293434963695,-89.75937079380628
"(0, 8)",-89.7511199885057,-89.74406342916168,-89.74356043548005,-89.77501334279145,-89.73275329588873,-89.73193595664875
"(0, 9)",-89.7540091496912,-89.75076100202466,-89.75878943672122,-89.73703897284572,-89.71983154603552,-89.75726595899799
"(0, 10)",-89.75113077869372,-89.72442710519549,-89.74291129622966,-89.74970397984222,-89.7450488722375,-89.73846797970552
"(0, 11)",-89.76829185615102,-89.74413911490025,-89.74121824344888,-89.74522654631139,-89.75495784197759,-89.78235543765351
"(0, 12)",-89.75417206266633,-89.76547926069728,-89.74948421773718,-89.73112453967313,-89.76289685282399,-89.73887401421601
"(0, 13)",-89.74209146119009,-89.74670809087928,-89.76925054195831,-89.78208822347493,-89.72934341486814,-89.75286187242097
"(0, 14)",-89.75672028143228,-89.78130802676515,-89.75199710128385,-89.75324844132658,-89.73873448328784,-89.73883663983909
"(0, 15)",-89.78097936240776,-89.74687410110124,-89.7596480144241,-89.72610180778847,-89.76708416767856,-89.7576041334977
"(0, 16)",-89.74837821842416,-89.77791416093369,-89.75534924869825,-89.78702807022921,-89.74478255571631,-89.76806302817178
"(0, 17)",-89.74620994003988,-89.76348734239885,-89.77498838447728,-89.74367817904263,-89.7522237315095,-89.75655270798143
"(0, 18)",-89.78379425926434,-89.75098380258672,-89.7321686811755,-89.77807366163827,-89.76286420981293,-89.73098016917939
"(0, 19)",-89.78089466914128,-89.78962648460626,-89.75993717849728,-89.77717521797572,-89.75537442664837,-89.77264945455379
"(1, 0)",-89.7536385931497,-89.77500436585596,-89.6786052519782,-89.77272954988989,-89.73420741774939,-89.77797497112493
"(1, 1)",-89.80523632505667,-89.84105799534353,-89.82219644431163,-89.88695882271284,-89.10432968313688,-89.84888418736469
"(1, 2)",-89.81197505631947,-89.80287124169303,-88.87067979235677,-89.77876824577304,-89.78363936316242,-89.77666136491888
"(1, 3)",-88.6384440430087,-88.41785661170906,-88.8001833912287,-88.65255457395943,-88.63539297367358,-88.92939341791389
"(1, 4)",-89.73532428147186,-89.72902820737141,-89.76102776431802,-89.25933055011444,-89.72499013387205,-89.73707795829125
"(1, 5)",-89.75099607417796,-89.74265582423686,-89.75009008816538,-89.72348912020288,-89.7324007837976,-89.75612756750375
"(1, 6)",-89.74365663862555,-89.74919573324215,-89.7239482360934,-89.7222925552761,-89.71297780926709,-89.74615456947046
"(1, 7)",-89.7337607553527,-89.6991690335316,-89.71879646122373,-89.73036351787347,-89.69599652754856,-89.60718318769659
"(1, 8)",-89.72073849501595,-89.72441668566559,-89.71429680805808,-89.73966674682542,-89.72894352999465,-89.71360693475671
"(1, 9)",-89.70179129865116,-89.7194421749887,-89.70507569340455,-89.72927380119202,-89.69246898085396,-89.71881092093707
"(1, 10)",-89.70260756862658,-89.7007978345487,-89.69568898450994,-89.71913826882619,-89.71211351606388,-89.68768470656579
"(1, 11)",-89.70516824617887,-89.72248122271515,-89.72756057272855,-89.70432376435397,-89.70877677234495,-89.71500705533248
"(1, 12)",-89.70844189604418,-89.72223742159039,-89.73507794414684,-89.69188000674546,-89.69773060607542,-89.73268425634967
"(1, 13)",-89.71655891753345,-89.73844489762541,-89.73140647882923,-89.7094822480692,-89.73465299066439,-89.69827389883542
