states,right 1,left 1,right 2,left 2,right 3,left 3
"(0, 0)",-5.228861510252544,-9.666203441700796,-9.41537823044058,-8.520979436952224,-9.575150726468529,-9.571932196163917
"(0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 2)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 3)",-9.085513030128531,-9.27287720101432,-9.299794796381292,-9.004198202594946,-9.233645375338,-9.165796120422502
"(0, 4)",-8.823044927111987,-9.09938968163689,-8.83553331740049,-9.145021406328645,-8.94029311085691,-8.83517432536658
"(0, 5)",-8.982489562919444,-9.201636114469416,-8.8353778027681,-9.267566915775232,-9.049362428791966,-8.889116780771882
"(0, 6)",-9.217615339094351,-9.097109818344459,-8.908224264790807,-8.881006602220914,-9.157851697880073,-9.125494771888611
"(0, 7)",-9.233641285825602,-8.91949484217888,-8.928723512237442,-9.216818892098352,-8.8169050032898,-8.961510168499732
"(0, 8)",-9.220577359313754,-9.265096183001845,-9.089949651050546,-9.1379178594619,-8.959502776657857,-8.915857843274186
"(0, 9)",-8.914260169564947,-9.082456132930691,-9.103575427234407,-8.94777933332373,-8.945977486871229,-9.22331118744717
"(0, 10)",-8.899545811704241,-8.887951293502391,-9.194173891123004,-9.210231620963981,-8.768426543443347,-8.94495343290508
"(0, 11)",-9.183749812942821,-8.853626694212405,-9.098250557237883,-8.730060713325685,-8.880570027215917,-9.08330403966794
"(0, 12)",-9.08437384174697,-9.184002105995877,-9.31280506325012,-9.280835933925154,-9.08437384174697,-9.165865527004378
"(1, 0)",-8.73893058968503,-8.320120346847494,-8.359010131085126,-8.223583660022907,-8.142123434694003,-8.124298244466777
"(1, 1)",-8.657410424108463,-8.770528032477618,-8.657410424107974,-8.83724533596132,-8.996344229619755,-8.699456088430942
"(1, 2)",-8.653585299429293,-8.996825991090823,-8.894447920239084,-8.950365423733087,-8.738414675628501,-8.811357778402845
"(1, 3)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 4)",-8.625029122061765,-8.445072354881116,-8.347223873027986,-8.448562061278686,-8.644460830162753,-8.940559454960852
"(1, 5)",-8.565057116886631,-8.695765397050796,-8.467835166679265,-8.25651783282884,-8.178866489324928,-8.35010777810053
"(1, 6)",-8.574193289820162,-8.103456552729146,-8.318740067380645,-8.618217644418733,-8.330449909783324,-8.34272374770237
"(1, 7)",-8.429412553906145,-8.554340825247415,-8.419740960130639,-8.630507853016226,-8.584660556657624,-8.314400366673967
"(1, 8)",-8.209027400937149,-8.234888826691904,-8.217632091727815,-8.324075480045035,-8.370914051502371,-8.531152353264934
"(1, 9)",-8.113094178028945,-8.235085630831414,-8.469657413947878,-8.429288845180874,-8.613458793946625,-8.42406283105929
"(1, 10)",-8.145791666387014,-8.399932552743927,-8.41214482571191,-8.513772869246042,-8.148412492655522,-8.60680442022561
"(1, 11)",-8.071412387198786,-8.467563584969714,-8.245697747427041,-8.025125237298678,-8.490792567414209,-8.24592757658726
"(1, 12)",-8.572135531302223,-8.428885387854573,-8.658079865264513,-8.543650657223726,-8.745372195464462,-8.597450937953472
"(2, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 1)",-8.131729591731602,-8.02217219462511,-7.734554588257751,-8.326223012141911,-7.734377961907264,-8.217954982532529
