states,right 1,left 1,right 2,left 2,right 3,left 3
"(0, 0)",-9.166318736868693,-8.239171301002825,-9.18183113612691,-9.026038112169573,-9.252055214964303,-8.718310756561545
"(0, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 2)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 3)",-9.226669572580246,-9.005303562298865,-10.120916314940956,-8.65068199810377,-9.91709562196549,-9.083071033300971
"(0, 4)",-10.376957538776134,-9.768116276846829,-10.28870762815096,-9.123864666207297,-10.36640164521852,-8.561222311741295
"(0, 5)",-10.16081609659693,-9.344390409839924,-10.366802967687457,-9.28764450907309,-11.351233886343238,-9.283025143983828
"(0, 6)",-10.481976296512233,-9.990132502089335,-11.289880719110489,-9.569637113135611,-11.836461669253426,-8.705314779278787
"(0, 7)",-11.118069775743653,-10.058172976499527,-11.270237312561719,-10.04904202443075,-11.442356900848843,-9.327142231336111
"(0, 8)",-11.35996438876921,-10.266640625274844,-11.86527501382905,-10.6154938418601,-12.116644585315985,-10.190041241228837
"(0, 9)",-11.920416337955146,-11.217203928951804,-12.16546500188452,-10.274935822221877,-12.528378844332995,-10.285412012361327
"(0, 10)",-12.091932036688167,-11.81739416923583,-12.559879967466852,-11.209775801775304,-12.712999954966952,-10.312274576680451
"(0, 11)",-12.708628525576568,-11.784940561336892,-12.706759049781695,-11.33029777289766,-12.635542282897731,-11.30666854160824
"(0, 12)",-12.753539256237815,-12.16844534093483,-12.711266461017123,-11.465625322551073,-12.720009223975566,-11.558968112443972
"(1, 0)",-9.002446365807877,-8.801649509594,-8.647180705946635,-8.005503629646945,-8.492087037303316,-8.74596227540539
"(1, 1)",-8.5128181820749,-8.798741598774766,-8.615610787878879,-9.131799208005608,-9.200014486547591,-8.628094902893588
"(1, 2)",-8.490064660556312,-9.129189278502887,-8.880644156131979,-8.555318331709199,-9.299556230564647,-8.269789776206492
"(1, 3)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 4)",-9.276120548156673,-8.479498994432326,-9.270388740548622,-8.469100222343474,-9.270133155626677,-8.81507602925069
"(1, 5)",-9.282134184710003,-8.891842352178902,-9.329691688240473,-8.579864996715413,-10.475044633302947,-8.657410166222954
"(1, 6)",-9.254875685881004,-9.33158436733887,-10.353397448585905,-9.394703629276716,-10.475124881752512,-8.322960218467095
"(1, 7)",-10.35071956241586,-9.406955813591061,-10.3534466550411,-9.412125257186036,-10.86315884119269,-8.26986621013184
"(1, 8)",-10.475127783783915,-9.319555552733046,-11.368599368316138,-9.325015323305639,-11.370001499208055,-9.340517129970056
"(1, 9)",-11.079714447876295,-10.393925473464089,-11.37020497789092,-9.412430871596527,-11.330221217209095,-9.32334321405094
"(1, 10)",-11.37006051657936,-10.394007018514,-11.330221746726487,-10.350698333192607,-11.330221689982839,-9.889847600081346
"(1, 11)",-11.370370381246591,-11.366054308473151,-11.370373285188315,-10.475127729642765,-11.370368963613537,-10.416234572127246
"(1, 12)",-11.330221749021984,-11.370225053027829,-11.330221694635984,-10.863191274693829,-11.370376544250668,-10.394007045040716
"(2, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 1)",-8.602829939066403,-8.433026178316162,-7.734758004152271,-8.710948155931911,-7.734758004152271,-8.602150496326573
"(2, 2)",-7.734758004152271,-9.121837517309757,-7.734758004152271,-8.784161138687768,-8.657410424110747,-8.74175808330586
"(2, 3)",-7.734758004152271,-8.653519886607238,-8.657410424110747,-8.755582010537935,-8.657410424110747,-8.41463906857195
"(2, 4)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 5)",-8.657410424110747,-7.734758004152271,-8.657410424110747,-7.734758004152271,-9.57083631875983,-8.309937697288035
"(2, 6)",-8.657410424110747,-8.657410424074827,-9.570836288535261,-7.734758004152271,-9.570836319869638,-7.734758004152271
"(2, 7)",-9.570836291979594,-8.657410424110747,-9.570836319869638,-8.657410424110747,-9.570836319869638,-7.734758004152271
"(2, 8)",-9.570836319869638,-8.657410424110747,-9.570836319869638,-8.657410424110747,-10.47512727692276,-8.65741042404917
"(2, 9)",-9.570836319869638,-9.570836319498392,-10.475127866091238,-8.657410424110747,-10.475127956670942,-8.657410424110747
"(2, 10)",-10.475127663101855,-9.570836319869638,-10.475127956670942,-9.570836304796437,-10.475127956670942,-8.657410424110747
"(2, 11)",-10.475127956670942,-9.570836319869638,-10.475127956668064,-9.570836319869638,-10.475127956670931,-9.570836231718804
"(2, 12)",-10.475127956670942,-10.47512785982973,-10.475127956670942,-9.570836319869638,-10.475127956670942,-9.570836319869638
"(3, 0)",-8.598997445077286,-8.657410424110747,-8.571516299717114,-8.657410424110747,-7.734758004152271,-8.657410424110747
"(3, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 2)",-7.734758004152271,-8.6298179007683,-6.8027858627800715,-8.657410424110413,-6.8027858627800715,-8.657410424110747
"(3, 3)",-6.8027858627800715,-8.632335295462454,-6.8027858627800715,-8.601948244339393,-7.734758004152271,-8.657410424110747
"(3, 4)",-6.8027858627800715,-7.734758004152271,-7.734758004152271,-8.462392850688714,-7.734758004152269,-8.544878181018934
"(3, 5)",0.0,0.0,0.0,0.0,0.0,0.0
"(3, 6)",-7.734758004152269,-6.8027858627800715,-7.734758004152269,-6.8027858627800715,-8.657410424110747,-7.734758004152271
"(3, 7)",-7.734758004152269,-7.734758004152271,-8.657410424110747,-6.8027858627800715,-8.657410424110747,-6.80278586278007
"(3, 8)",-8.657410424110747,-7.734758004152269,-8.657410424110747,-7.734758004152271,-8.657410424110747,-6.80278586278007
"(3, 9)",-8.657410424110747,-7.734758004152269,-8.657410424110747,-7.734758004152269,-9.570836319869638,-7.734758004152271
"(3, 10)",-8.657410424110747,-8.657410424110747,-9.570836319869638,-7.734758004152269,-9.570836319869638,-7.734758004152269
"(3, 11)",-9.570836319869638,-8.657410424110747,-9.570836319869638,-8.657410424110747,-9.570836319869638,-7.734758004152269
"(3, 12)",-9.570836319869638,-8.657410424110747,-9.570836319869638,-8.657410424110747,-9.570836319869638,-8.657410424110747
"(4, 0)",-7.734758004152271,-8.657410424110747,-7.734758004152271,-8.657410424110747,-7.734758004152271,-8.657410424110747
"(4, 1)",-7.734758004152271,-8.657410424110747,-7.734758004152271,-8.657410424110747,-6.8027858627800715,-8.657410424110747
"(4, 2)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 3)",-6.80278586278007,-7.734758004152271,-5.861399861394011,-7.734758004152271,-5.861399861394011,-8.657410424110747
"(4, 4)",-5.861399861394011,-7.734758004152271,-5.861399861394011,-7.734758004152271,-6.8027858627800715,-7.734758004152271
"(4, 5)",-5.861399861394011,-6.8027858627800715,-6.8027858627800715,-7.734758004152271,-6.802785862780068,-7.734758004152271
"(4, 6)",0.0,0.0,0.0,0.0,0.0,0.0
"(4, 7)",-6.802785862780068,-5.861399861394011,-6.8027858627800715,-5.861399861394011,-7.734758004152267,-6.8027858627800715
"(4, 8)",-6.8027858627800715,-6.80278586278007,-7.734758004152267,-5.861399861394009,-7.734758004152267,-5.861399861394009
"(4, 9)",-7.734758004152267,-6.802785862780068,-7.734758004152267,-6.8027858627800715,-7.734758004152271,-5.861399861394011
"(4, 10)",-7.734758004152267,-6.8027858627800715,-7.734758004152271,-6.802785862780068,-7.734758004152271,-6.80278586278007
"(4, 11)",-7.734758004152271,-7.734758004152267,-7.734758004152271,-6.80278586278007,-7.734758004152271,-6.802785862780068
