right 1,left 1,right 2,left 2,right 3,left 3
-0.75,-0.9975,-0.75,-0.5,-0.9375,-0.5
-0.75,-0.9975,-0.75,-0.5,-0.9375,-0.75
-0.75,-0.9975,-0.75,-0.75,-0.9375,-0.75
-0.875,-0.9975,-0.75,-0.75,-0.9375,-0.75
-0.875,-0.9975,-0.75,-0.75,-0.9375,-1.2462499999999999
-0.875,-0.9975,-0.875,-0.75,-0.9375,-1.2462499999999999
-0.875,-0.9975,-0.875,-1.308125,-0.9375,-1.2462499999999999
-0.9375,-0.9975,-0.875,-1.308125,-0.9375,-1.2462499999999999
-1.231875,-1.649375,-0.96875,-1.7267187499999999,-0.96875,-1.2462499999999999
-2.3123858017578125,-1.96508544921875,-0.99951171875,-1.98056884765625,-0.99951171875,-1.9878536987304687
-2.4539840141601563,-1.9864627075195311,-0.999755859375,-1.9872796630859373,-1.1236285400390624,-1.9891008758544921
-3.0915643566137554,-2.9406271708948073,-2.5980885878562927,-2.9147164782179518,-1.977743204170838,-2.944922049468383
-2.82410830247131,-3.1145429818905472,-2.643519021964073,-2.9488323973841615,-2.3875728918620442,-3.107635702996096
-2.82410830247131,-3.1145429818905472,-2.643519021964073,-2.9488323973841615,-1.6937864459310221,-3.107635702996096
-2.82410830247131,-3.1145429818905472,-2.3012907609820363,-2.812840489427937,-2.0696705667155113,-3.107635702996096
-2.82410830247131,-3.1145429818905472,-2.3012907609820363,-2.812840489427937,-1.9988977833577557,-3.107635702996096
-2.82410830247131,-3.1145429818905472,-2.3012907609820363,-2.812840489427937,-1.9988977833577557,-2.425067851498048
-2.82410830247131,-3.1145429818905472,-2.3012907609820363,-1.9064202447139684,-1.9988977833577557,-2.425067851498048
-3.3038044882178497,-3.2895974416389375,-2.764971408995509,-2.396888143490399,-2.7096440567064923,-3.2313291904903636
-3.338503453688393,-3.4860725288891823,-2.9715696224665047,-2.884903702772947,-2.7096440567064923,-3.6477353725436226
-3.338503453688393,-3.4860725288891823,-2.9715696224665047,-2.884903702772947,-2.7096440567064923,-3.044711436271811
-3.338503453688393,-2.614286264444591,-2.9715696224665047,-2.884903702772947,-2.7096440567064923,-3.044711436271811
-3.3558529364236644,-3.2397662766991235,-3.2928807199344297,-3.9155592194045568,-3.1474179900193393,-3.390023048489122
-3.412293942481699,-4.011009715031035,-3.3732639095066173,-4.246335465886817,-3.346877915827589,-3.844237516617782
-3.500303355854437,-4.011009715031035,-3.3940110234788943,-4.246335465886817,-3.38012123679563,-3.844237516617782
-2.4976516779272186,-4.011009715031035,-3.3940110234788943,-4.246335465886817,-3.38012123679563,-3.844237516617782
-4.134542946206049,-4.7404001375895,-3.933852681498135,-4.3083381002736,-3.8665282183075234,-4.504281914089664
-4.134542946206049,-4.7404001375895,-3.933852681498135,-4.3083381002736,-4.013586188567922,-4.504281914089664
-4.134542946206049,-4.7404001375895,-4.3593725890299035,-4.3083381002736,-4.013586188567922,-4.504281914089664
-4.134542946206049,-4.7404001375895,-4.3593725890299035,-4.5602616715056845,-4.013586188567922,-4.504281914089664
-5.310317797200704,-5.229650489821269,-4.822083388682843,-4.958187319386571,-4.286344001808827,-5.238151047585138
-5.310317797200704,-5.229650489821269,-4.822083388682843,-4.958187319386571,-3.344834500904413,-5.238151047585138
-5.310317797200704,-5.229650489821269,-4.822083388682843,-4.958187319386571,-2.172417250452207,-5.238151047585138
-5.66851575225731,-6.38024560835127,-5.59985610990282,-6.150517158470254,-5.594842276949254,-6.088754367772605
-5.66851575225731,-6.38024560835127,-5.59985610990282,-6.150517158470254,-3.544921138474627,-6.088754367772605
-6.110588675011082,-6.405973583739183,-5.809777748239281,-6.40486241393908,-5.5303233903402225,-5.852872219201387
-6.230213906076639,-5.160098421335537,-5.809777748239281,-6.40486241393908,-5.5303233903402225,-5.744776530265106
-3.6151069530383193,-5.160098421335537,-5.809777748239281,-6.40486241393908,-5.5303233903402225,-5.744776530265106
-5.626826337573428,-5.634297929228859,-5.933124014893309,-5.491909148723508,-5.596503465402408,-5.744776530265106
