one,two,three
3.0,7.0,3.0
47.0,49.0,42.0
3.0,4.0,0.0
59.0,73.0,62.0
23.0,25.0,21.0
16.0,17.0,17.0
12.0,14.0,12.0
1.0,1.0,2.0
156.0,151.0,151.0
41.0,36.0,36.0
101.0,125.0,98.0
46.0,50.0,47.0
41.0,40.0,46.0
5.0,5.0,9.0
77.0,61.0,53.0
10.0,6.0,10.0
11.0,14.0,13.0
0.0,3.0,0.0
66.0,75.0,74.0
13.0,14.0,10.0
17.0,15.0,10.0
0.0,1.0,0.0
20.0,20.0,20.0
35.0,27.0,33.0
5.0,8.0,9.0
3.0,4.0,2.0
0.0,0.0,4.0
31.0,32.0,34.0
1.0,7.0,5.0
25.0,28.0,21.0
11.0,7.0,9.0
15.0,12.0,12.0
6.0,2.0,4.0
0.0,2.0,2.0
16.0,6.0,17.0
0.0,1.0,0.0
15.0,30.0,24.0
5.0,12.0,11.0
0.0,3.0,0.0
3.0,4.0,3.0
13.0,9.0,9.0
18.0,26.0,11.0
28.0,23.0,21.0
2.0,4.0,3.0
0.0,0.0,0.0
0.0,0.0,1.0
3.0,3.0,3.0
2.0,2.0,1.0
7.0,5.0,5.0
0.0,1.0,0.0
17.0,11.0,19.0
3.0,5.0,4.0
3.0,2.0,2.0
1.0,3.0,0.0
2.0,2.0,4.0
0.0,1.0,0.0
0.0,3.0,2.0
3.0,6.0,2.0
3.0,3.0,1.0
1.0,2.0,1.0
4.0,3.0,2.0
1.0,2.0,1.0
15.0,29.0,17.0
3.0,2.0,0.0
0.0,0.0,0.0
15.0,18.0,21.0
2.0,3.0,2.0
3.0,1.0,1.0
1.0,0.0,0.0
5.0,4.0,4.0
3.0,2.0,2.0
3.0,1.0,4.0
1.0,0.0,0.0
6.0,4.0,5.0
4.0,4.0,1.0
5.0,4.0,7.0
10.0,4.0,5.0
9.0,7.0,6.0
17.0,15.0,13.0
6.0,7.0,7.0
0.0,0.0,0.0
3.0,1.0,2.0
42.0,34.0,30.0
1.0,1.0,1.0
1.0,0.0,1.0
10.0,6.0,9.0
7.0,2.0,6.0
1.0,0.0,0.0
1.0,1.0,2.0
12.0,5.0,7.0
2.0,5.0,2.0
2.0,2.0,3.0
3.0,6.0,9.0
0.0,2.0,0.0
1.0,0.0,2.0
0.0,0.0,0.0
0.0,2.0,2.0
7.0,8.0,7.0
0.0,1.0,0.0
0.0,0.0,1.0
