one,two,three
209.0,228.0,211.0
17.0,31.0,15.0
301.0,298.0,285.0
7.0,3.0,7.0
7.0,5.0,12.0
15.0,26.0,27.0
19.0,12.0,14.0
88.0,58.0,69.0
64.0,49.0,45.0
396.0,396.0,361.0
36.0,38.0,32.0
484.0,530.0,473.0
229.0,248.0,275.0
26.0,28.0,32.0
106.0,124.0,108.0
65.0,71.0,79.0
11.0,25.0,24.0
11.0,15.0,18.0
394.0,346.0,381.0
98.0,101.0,112.0
14.0,9.0,8.0
30.0,28.0,36.0
321.0,309.0,320.0
139.0,128.0,159.0
275.0,283.0,277.0
29.0,15.0,21.0
328.0,288.0,293.0
30.0,29.0,38.0
29.0,35.0,32.0
20.0,18.0,15.0
251.0,235.0,241.0
9.0,4.0,10.0
14.0,17.0,13.0
325.0,348.0,338.0
12.0,8.0,10.0
177.0,189.0,174.0
155.0,145.0,145.0
12.0,11.0,8.0
110.0,102.0,114.0
52.0,49.0,44.0
8.0,4.0,6.0
95.0,87.0,110.0
40.0,32.0,35.0
2.0,2.0,0.0
96.0,85.0,92.0
23.0,20.0,24.0
11.0,6.0,6.0
97.0,92.0,113.0
64.0,58.0,51.0
60.0,65.0,61.0
14.0,15.0,18.0
0.0,0.0,0.0
76.0,90.0,94.0
61.0,46.0,65.0
52.0,47.0,51.0
67.0,67.0,68.0
77.0,100.0,94.0
63.0,63.0,57.0
5.0,5.0,3.0
1.0,1.0,3.0
86.0,104.0,95.0
37.0,43.0,46.0
64.0,52.0,63.0
5.0,1.0,0.0
33.0,44.0,34.0
42.0,48.0,40.0
8.0,11.0,5.0
21.0,16.0,15.0
1.0,0.0,0.0
114.0,93.0,96.0
31.0,23.0,26.0
19.0,9.0,22.0
183.0,180.0,168.0
29.0,28.0,22.0
23.0,16.0,27.0
1.0,0.0,0.0
22.0,33.0,18.0
21.0,30.0,21.0
20.0,19.0,15.0
46.0,41.0,41.0
45.0,39.0,52.0
7.0,8.0,9.0
93.0,106.0,95.0
1.0,0.0,0.0
26.0,18.0,16.0
87.0,79.0,85.0
58.0,62.0,51.0
4.0,7.0,3.0
144.0,144.0,148.0
19.0,23.0,23.0
219.0,195.0,204.0
44.0,48.0,64.0
31.0,40.0,44.0
31.0,48.0,38.0
13.0,8.0,13.0
13.0,16.0,15.0
55.0,49.0,46.0
1.0,5.0,6.0
1.0,0.0,0.0
0.0,0.0,0.0
1.0,0.0,0.0
6.0,10.0,10.0
15.0,19.0,15.0
11.0,11.0,7.0
11.0,7.0,4.0
32.0,34.0,23.0
7.0,4.0,5.0
18.0,14.0,25.0
7.0,4.0,7.0
22.0,20.0,28.0
14.0,9.0,8.0
7.0,7.0,9.0
48.0,41.0,36.0
6.0,10.0,2.0
9.0,5.0,6.0
18.0,17.0,19.0
5.0,5.0,0.0
9.0,11.0,9.0
7.0,11.0,3.0
11.0,12.0,10.0
28.0,33.0,33.0
17.0,10.0,8.0
11.0,9.0,12.0
43.0,47.0,48.0
77.0,66.0,78.0
35.0,34.0,54.0
3.0,0.0,1.0
27.0,22.0,20.0
18.0,11.0,20.0
2.0,2.0,3.0
35.0,51.0,60.0
7.0,6.0,5.0
16.0,17.0,9.0
6.0,9.0,12.0
24.0,26.0,29.0
23.0,22.0,20.0
12.0,12.0,9.0
24.0,24.0,20.0
66.0,57.0,69.0
6.0,6.0,7.0
23.0,27.0,22.0
0.0,0.0,0.0
1.0,2.0,4.0
10.0,14.0,12.0
51.0,54.0,51.0
50.0,41.0,48.0
2.0,2.0,4.0
6.0,4.0,3.0
7.0,3.0,7.0
23.0,13.0,16.0
5.0,4.0,4.0
2.0,4.0,1.0
8.0,5.0,6.0
14.0,9.0,12.0
50.0,49.0,40.0
65.0,66.0,65.0
32.0,28.0,33.0
79.0,80.0,84.0
0.0,0.0,1.0
49.0,57.0,60.0
29.0,18.0,19.0
35.0,46.0,43.0
8.0,6.0,4.0
4.0,2.0,2.0
50.0,52.0,64.0
8.0,1.0,7.0
8.0,6.0,3.0
14.0,11.0,20.0
3.0,1.0,5.0
6.0,8.0,8.0
9.0,7.0,9.0
5.0,7.0,6.0
13.0,7.0,18.0
13.0,8.0,14.0
26.0,17.0,19.0
9.0,5.0,9.0
4.0,8.0,7.0
14.0,12.0,11.0
46.0,55.0,71.0
38.0,38.0,31.0
0.0,0.0,0.0
5.0,3.0,5.0
11.0,21.0,15.0
11.0,11.0,10.0
83.0,84.0,75.0
2.0,5.0,6.0
9.0,14.0,6.0
5.0,7.0,5.0
4.0,0.0,6.0
6.0,4.0,8.0
7.0,5.0,7.0
6.0,2.0,2.0
0.0,0.0,0.0
2.0,5.0,5.0
0.0,2.0,0.0
19.0,14.0,11.0
12.0,12.0,9.0
8.0,4.0,13.0
14.0,15.0,13.0
14.0,8.0,5.0
11.0,13.0,6.0
3.0,4.0,4.0
11.0,7.0,12.0
6.0,4.0,4.0
1.0,1.0,1.0
1.0,3.0,2.0
28.0,25.0,27.0
1.0,6.0,2.0
8.0,12.0,3.0
4.0,7.0,7.0
3.0,1.0,1.0
6.0,7.0,1.0
5.0,3.0,2.0
30.0,28.0,30.0
19.0,21.0,16.0
7.0,7.0,6.0
22.0,30.0,19.0
16.0,24.0,15.0
37.0,43.0,45.0
15.0,21.0,13.0
0.0,0.0,0.0
6.0,8.0,12.0
4.0,4.0,3.0
8.0,8.0,10.0
6.0,2.0,3.0
5.0,8.0,9.0
0.0,0.0,0.0
8.0,2.0,2.0
14.0,20.0,16.0
7.0,11.0,9.0
1.0,5.0,3.0
3.0,0.0,2.0
4.0,2.0,0.0
4.0,3.0,2.0
9.0,14.0,15.0
8.0,7.0,2.0
4.0,0.0,3.0
4.0,2.0,4.0
23.0,32.0,17.0
4.0,5.0,2.0
2.0,5.0,4.0
56.0,56.0,51.0
13.0,11.0,12.0
9.0,1.0,4.0
3.0,12.0,7.0
7.0,2.0,2.0
1.0,4.0,3.0
2.0,3.0,4.0
17.0,9.0,20.0
4.0,7.0,4.0
9.0,10.0,6.0
1.0,4.0,1.0
0.0,0.0,0.0
5.0,7.0,10.0
3.0,4.0,5.0
3.0,3.0,2.0
5.0,2.0,3.0
3.0,2.0,0.0
2.0,4.0,9.0
2.0,7.0,3.0
53.0,51.0,62.0
17.0,15.0,17.0
21.0,17.0,23.0
11.0,11.0,10.0
28.0,27.0,26.0
1.0,0.0,4.0
24.0,30.0,29.0
5.0,4.0,4.0
9.0,4.0,5.0
8.0,4.0,9.0
1.0,5.0,1.0
5.0,3.0,7.0
0.0,0.0,0.0
4.0,4.0,1.0
2.0,6.0,10.0
2.0,4.0,2.0
