states,right 1,left 1,right 2,left 2,right 3,left 3
"(0, 0)",-1776.1578241681175,-1856.2706649612414,-1846.0919211119399,-1854.9809957337552,-1836.3282451352543,-1849.8454901957878
"(0, 1)",-1098.764511703283,-1091.7096944432838,-1095.6748278467362,-1095.6126823532184,-1094.3814363737135,-1095.8188859328623
"(0, 2)",-1678.2802620004636,-1676.1640286822208,-1681.4395929688774,-1687.7113846851164,-1673.6406589309079,-1690.9777206623876
"(0, 3)",-1281.6437774676,-1227.5152304301407,-1226.115974774837,-1268.983563474558,-1226.955705092303,-1269.9124923864126
"(0, 4)",-998.4307131883164,-999.7136237016588,-999.2458132689376,-1000.9626321825397,-998.4458533594666,-999.5944576885001
"(0, 5)",-501.614659587983,-503.15133171886475,-496.78288309962034,-502.1393673777054,-491.20052249578396,-500.86634921818137
"(0, 6)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 7)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 8)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 9)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 10)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 11)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 12)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 13)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 14)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 15)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 16)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 17)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 18)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 19)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 0)",-1762.5103019254007,-1770.9607771799535,-1757.2183695236404,-1765.6875367014452,-1764.9193929010664,-1764.1642032416878
"(1, 1)",-1766.5063708292635,-1814.4930011316387,-1808.2772093207338,-1792.4036616634094,-1800.4944870741879,-1792.6492000004432
"(1, 2)",-1831.7546571197383,-1830.6256411630711,-1826.3783073336376,-1816.4182974884186,-1747.858592198663,-1808.1884924545038
"(1, 3)",-1782.8450324995233,-1718.5618464222498,-1706.4899630221712,-1796.1214817576956,-1795.2881087520634,-1795.4737103149969
"(1, 4)",-1690.440107232821,-1776.1955396702376,-1776.2614291133857,-1713.7173734777984,-1756.7294003048596,-1758.5700545210088
"(1, 5)",-1579.5102345227656,-1582.4804749166121,-1575.8177611314775,-1586.4633202600437,-1575.2777326004139,-1574.8242133429692
