states,right 1,left 1,right 2,left 2,right 3,left 3
"(0, 0)",-1804.4675094617576,-1805.8617033193832,-1815.6040469937475,-1823.901078484041,-1773.607114001461,-1817.9837959564143
"(0, 1)",-812.1378253925287,-809.5611569290955,-806.4444177178387,-816.4014846877029,-819.022254662515,-813.79647641725
"(0, 2)",-1457.3539374298248,-1435.9850444537374,-1443.1379169833558,-1445.7452906187245,-1431.618492849751,-1431.9522652092894
"(0, 3)",-1293.8022006116075,-1298.9077777871285,-1266.3244767082358,-1260.5281235249115,-1261.4699701430143,-1283.2998084510573
"(0, 4)",-685.6778067408103,-688.3163379592568,-679.346518170681,-681.4198681933844,-679.3465180926213,-683.523778686784
"(0, 5)",-679.0541510029607,-679.0394437854541,-679.0563401270545,-694.2127656862338,-679.0563925191567,-680.4615410674028
"(0, 6)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 7)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 8)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 9)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 10)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 11)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 12)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 13)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 14)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 15)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 16)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 17)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 18)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 19)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 0)",-1732.477031090115,-1728.557893942855,-1726.795850826632,-1732.9538075252005,-1719.9942538006007,-1733.5507514651877
"(1, 1)",-1772.1603190197434,-1772.3241766714532,-1741.5270594776307,-1781.5218583569288,-1765.6712985808638,-1767.755757981357
"(1, 2)",-1725.2651062479251,-1791.3361055876398,-1722.9692626748304,-1796.120220319256,-1697.3406350898229,-1775.0976807927432
"(1, 3)",-1719.465263521235,-1749.6042300971917,-1705.217916621742,-1789.7784819698743,-1741.210196741235,-1767.1103271722816
"(1, 4)",-1689.690867528662,-1685.2904808579972,-1728.1029419881218,-1742.6673006635879,-1695.698660323744,-1783.9534165853208
"(1, 5)",-1420.3542384689067,-1403.4047176005479,-1397.2518328706244,-1411.2351465326144,-1420.9787616178576,-1423.0369674756785
"(1, 6)",-1199.913072916851,-1207.915650094998,-1244.8087054175687,-1241.3212489820103,-1216.928218212617,-1230.0067070692135
"(1, 7)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 8)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 9)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 10)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 12)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 13)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 14)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 15)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 16)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 17)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 18)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 19)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 0)",-1679.6596562382513,-1679.720168030017,-1679.859100362772,-1689.4044258949484,-1680.7695537947932,-1683.4687681232706
"(2, 1)",-1675.1243065139868,-1675.0472724715107,-1675.0178070863005,-1681.8403607573086,-1673.0073856461593,-1678.7580357696743
"(2, 2)",-1716.7393588727552,-1729.9475760555943,-1696.8487612741742,-1732.7605270032504,-1729.9162773633452,-1742.2944038409908
"(2, 3)",-1694.175506057462,-1741.7905220567625,-1706.4142815209448,-1770.4177649623616,-1618.7328751958264,-1757.8037495425338
"(2, 4)",-1702.1310426536447,-1705.0632895025155,-1624.0149812935722,-1711.7414069516813,-1700.9781805949362,-1710.2126684784669
"(2, 5)",-1597.0868175708765,-1644.2879614670544,-1628.3692649994737,-1670.2946968208707,-1721.932998453825,-1729.4916716898251
"(2, 6)",-1675.6312636170962,-1681.353077460112,-1682.2421674058346,-1660.0156358560794,-1680.2459580904099,-1677.4964604124377
"(2, 7)",-1652.847348647518,-1598.64189378749,-1652.634295928236,-1644.1145781164257,-1644.0008908221644,-1648.1443556933523
"(2, 8)",-1569.1734183211447,-1578.8427596783854,-1563.3960226485617,-1569.4599857177045,-1566.8647533705816,-1562.9088481658916
"(2, 9)",-1557.9042864133212,-1555.4374039263437,-1562.7796691108776,-1561.550360161133,-1558.4253254651326,-1559.8762045853316
"(2, 10)",-1563.5340673114188,-1564.8602524492796,-1568.1380565919771,-1565.710168445026,-1564.568330420324,-1571.4944298420867
"(2, 11)",-1568.225403948636,-1567.8355831589072,-1561.7204431741152,-1560.319663924227,-1564.7877472660148,-1566.1620983689781
"(2, 12)",-1561.2062930896614,-1566.1351814465554,-1566.1744478913806,-1568.8042665911476,-1567.3632642694708,-1561.220664021616
"(2, 13)",-1561.1927876418438,-1561.9780758123316,-1564.5039444155307,-1569.2108858438924,-1568.4828862305312,-1563.6959518549422
"(2, 14)",-1559.7013275709035,-1565.0124241125066,-1564.0824457794538,-1566.4759566877365,-1561.446284598583,-1563.3750743779528
"(2, 15)",-1558.0246755323135,-1562.8051505136714,-1558.6469047441951,-1566.23240990587,-1564.0552426746024,-1565.0949494545991
"(2, 16)",-1565.4665998875007,-1565.2454417773135,-1565.4435350022015,-1564.5845544213134,-1563.3773856893788,-1570.9788605003807
"(2, 17)",-1559.3208826696139,-1562.6138101265012,-1557.5297805615805,-1563.0193225234357,-1562.490795170424,-1561.347415390704
"(2, 18)",-1555.4279803577738,-1556.8908677267939,-1559.9731015926748,-1557.1515826050113,-1551.4114315855813,-1554.2618711936452
"(2, 19)",-1588.2383443806211,-1584.5567745606963,-1585.9024171180629,-1586.7956996661753,-1583.8110870482574,-1586.318875041707
"(3, 0)",-1623.8783963664519,-1628.7241315626977,-1628.014633335817,-1631.7277987598486,-1628.9707867900813,-1627.0331661853827
"(3, 1)",-1614.3454676240624,-1608.9477567102278,-1609.8208096247185,-1618.521474216157,-1555.3238903297101,-1611.298423326741
"(3, 2)",-1606.661262848581,-1607.5041377966136,-1554.8027757965058,-1603.977128037745,-1600.1248441551656,-1616.743954342023
"(3, 3)",-1653.592784161343,-1682.007569141884,-1675.250582637157,-1671.7389489687932,-1638.2152248171233,-1667.9861536508768
"(3, 4)",-1650.8993937146934,-1692.23411243734,-1615.598904506715,-1702.8407896591855,-1642.8562136599844,-1689.4847513055938
"(3, 5)",-1680.0474270583402,-1627.6053661477183,-1675.2133466369135,-1680.203557884156,-1681.547712546256,-1690.33914162655
"(3, 6)",-1590.1272155437148,-1564.473355743111,-1601.9942392045286,-1551.6390366798375,-1573.8513246642065,-1725.348200957937
"(3, 7)",-1681.1369776483805,-1586.432419772812,-1680.1140491619938,-1682.3347601035873,-1673.8961129395366,-1675.6180608694226
"(3, 8)",-1702.3602938806475,-1695.9204561750462,-1680.8699000481947,-1696.0947745226574,-1694.2314890103373,-1696.8669716779102
"(3, 9)",-1648.0905157762431,-1646.1352999468218,-1649.2220741303527,-1644.3888547412314,-1643.3765005638634,-1629.0471744632423
"(3, 10)",-1645.3727809127827,-1650.5623586481597,-1644.4786964173936,-1645.1795905640747,-1648.5564901988394,-1644.3551821335766
"(3, 11)",-1648.9198271756986,-1643.1692267727474,-1644.8637093733537,-1650.1576220911236,-1647.1136140272797,-1645.4979662700289
"(3, 12)",-1643.666553047673,-1649.150381569358,-1646.0652914518655,-1648.413963419928,-1641.3795901415224,-1646.086493562301
"(3, 13)",-1643.8952008721085,-1646.3559145238914,-1642.0931231481359,-1648.8380449029928,-1641.4276381422621,-1645.1545663874033
"(3, 14)",-1645.483537314189,-1641.665745803153,-1644.6431388525511,-1647.5322539777433,-1643.0709798098305,-1644.7677392968753
"(3, 15)",-1640.3605283565578,-1640.5431080406913,-1640.0084025666629,-1644.9477524840927,-1640.7359291412965,-1642.863156712829
"(3, 16)",-1641.7091024268807,-1641.4467476362745,-1643.282514732288,-1647.1495806180212,-1641.0181436860278,-1644.7605750615871
"(3, 17)",-1635.8049940250648,-1639.6442942632814,-1645.0255578876436,-1643.4305614254658,-1639.55223638959,-1642.626134388724
"(3, 18)",-1633.485230067574,-1638.1970770155358,-1637.3323067989318,-1631.1708439334784,-1629.518966426397,-1635.349672548876
"(3, 19)",-1663.7629608579919,-1664.8473626346024,-1662.6941485377263,-1667.0867807144527,-1664.7456445998791,-1662.17306876831
"(4, 0)",-1589.012792896892,-1589.9313458226386,-1592.669501342837,-1591.0065738546107,-1589.529403594596,-1590.8026504927946
"(4, 1)",-1550.0545489447913,-1555.1001907605028,-1550.7179024247014,-1559.5785374066036,-1543.2657658155852,-1557.2175350975763
"(4, 2)",-1549.1791968352725,-1549.3079878873555,-1544.1917406396458,-1550.947910149742,-1544.7309536146506,-1545.4442335969034
"(4, 3)",-1547.4864885273137,-1551.8116375538843,-1543.4824242053585,-1548.2972126925972,-1545.281559947106,-1552.4047461211119
"(4, 4)",-1493.36849502631,-1701.3924498555793,-1454.722865858116,-1629.10789060024,-1508.17458562818,-1630.0242227130377
"(4, 5)",-1452.1851669317496,-1549.3602706027873,-1501.5015045486114,-1683.7824947960873,-1484.4714834060217,-1623.5735187569364
