states,right 1,left 1,right 2,left 2,right 3,left 3
"(0, 0)",-1700.8808517500433,-1743.1592174294917,-1735.728744718314,-1737.4634325359705,-1732.0279045614748,-1741.589326523695
"(0, 1)",0.0,-313.1708719360289,-222.64093196563653,-164.8063430281441,-454.2132378773816,-184.3205767292606
"(0, 2)",-1720.628748126115,-1720.4660796051478,-1721.2205792474626,-1723.673966526605,-1719.1520485465567,-1720.4956531923547
"(0, 3)",-1253.9153391389152,-1216.6504886423395,-1217.1511261663036,-1216.621128983071,-1196.0507519851722,-1202.0133426539803
"(0, 4)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 5)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 6)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 7)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 8)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 9)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 10)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 11)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 12)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 13)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 14)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 15)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 16)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 17)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 18)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 19)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 0)",-1726.9787794517067,-1723.1830753094093,-1722.2275116340104,-1719.052676448728,-1655.260378782314,-1725.1556588228582
"(1, 1)",-1706.4368343613057,-1744.4888222160341,-1654.8639548757485,-1740.8842632924411,-1708.8326323630795,-1757.4831959421235
"(1, 2)",-1654.8629718798732,-1742.971232100816,-1657.5313182101268,-1741.9180385126435,-1657.6457532272993,-1743.2843618473162
"(1, 3)",-1663.395503772223,-1662.8601235971657,-1654.9277839930205,-1744.6273269282262,-1728.539012522698,-1736.931837689299
"(1, 4)",-1654.8679398189001,-1658.417466992352,-1730.8420635895325,-1678.8986039395738,-1724.6873426539896,-1751.3481651065106
"(1, 5)",-1649.3895212542825,-1642.3086814463052,-1648.8045006877269,-1642.552590316037,-1650.878992901725,-1643.1969328255161
"(1, 6)",-1182.068558151136,-1230.2510908806373,-1233.7981010638118,-1227.5250240301375,-1210.2891404571833,-1217.030997287956
"(1, 7)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 8)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 9)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 10)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 12)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 13)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 14)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 15)",0.0,0.0,0.0,0.0,0.0,0.0
