states,right 1,left 1,right 2,left 2,right 3,left 3
"(0, 0)",-17.41425677961809,-17.435561229573217,-17.380653899724418,-17.434825893918255,-16.333554781244107,-17.347906989115664
"(0, 1)",-7.764902545961659,-7.710968964593884,-7.706242027631219,-7.710163603054723,-7.705233544197485,-7.70995949624026
"(0, 2)",-12.544588927089665,-12.506562017823743,-12.280410599667963,-12.243639181337864,-12.158452939321839,-12.551075521903075
"(0, 3)",-8.889876756502595,-9.018289192394954,-8.41921691285641,-8.774238496979804,-8.46754417468541,-9.203797854910382
"(0, 4)",-6.842375975012324,-6.8406468979328965,-6.789705685303438,-6.859671179020692,-6.789625543654166,-6.859926942753392
"(0, 5)",-6.721807823685254,-6.723511262144202,-6.7275546821252155,-6.798134389983162,-6.726358584511088,-6.749355910812512
"(0, 6)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 7)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 8)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 9)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 10)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 11)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 12)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 13)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 14)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 15)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 16)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 17)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 18)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 19)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 0)",-16.708480558899666,-16.687181692050437,-16.680009693265465,-16.694094667393774,-16.576603458622813,-16.711523935235896
"(1, 1)",-17.251465204584147,-17.3194982622657,-17.232965140007153,-17.25122461220977,-17.13657194026634,-17.278096539863316
"(1, 2)",-16.89215385447406,-17.48725541439819,-17.02771290721125,-17.15998208336895,-16.588800088737127,-17.10524781035081
"(1, 3)",-17.027188661719478,-16.93380256354561,-16.564871473817597,-17.59713080850415,-17.167919699030243,-17.390327280661573
"(1, 4)",-16.772668596184715,-16.548638392355866,-17.146757392091406,-16.99084124603216,-17.01307857600833,-17.713303196498178
"(1, 5)",-12.49214912618289,-12.434787727219152,-12.391093850671634,-12.295233174854907,-12.645054275766995,-12.62706683988319
"(1, 6)",-8.588279030341953,-8.890338688815458,-8.506913234184271,-9.257515867182043,-8.75146056848929,-8.490873443673888
"(1, 7)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 8)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 9)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 10)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 12)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 13)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 14)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 15)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 16)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 17)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 18)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 19)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 0)",-16.291865463495053,-16.19956311442216,-16.21487778212023,-16.24274855499786,-16.151560804145728,-16.262292044642578
"(2, 1)",-16.151142631447073,-16.13697858636022,-16.018857858459715,-16.085053370116682,-16.07949822118235,-16.18004815823714
"(2, 2)",-16.69038568020863,-16.777928084226424,-16.675592722439763,-16.70496662008136,-16.054684754252996,-16.679893421720685
"(2, 3)",-16.351289967042796,-16.806397426697583,-16.09139693271198,-17.748181284504557,-15.70568518867337,-17.25660374234852
"(2, 4)",-16.500703194082973,-16.36579734989564,-16.4728983090427,-16.609798399094295,-16.575274453232247,-16.66591196966671
"(2, 5)",-15.718593809915538,-16.346219818694806,-16.418424278042067,-16.150278493689264,-16.198874158302086,-16.829041307137054
"(2, 6)",-16.535194578292934,-16.537311937275756,-16.57394494692056,-16.525801226557153,-16.583945176744596,-16.344497392780468
"(2, 7)",-16.55230235431164,-15.959388814891874,-16.587649224985086,-16.53168257354981,-16.570151688448313,-16.54456270118589
"(2, 8)",-15.722676725795738,-15.809894291672482,-15.726336183328648,-15.724062238456842,-15.711634198208788,-15.791515029333405
"(2, 9)",-15.659766802880297,-15.603339692627737,-15.627257003212467,-15.651975041709289,-15.640449897725473,-15.615825035325411
"(2, 10)",-15.659397347906525,-15.69452382615432,-15.66187437825602,-15.687386664994637,-15.691455102737269,-15.739119300230287
"(2, 11)",-15.638824322295616,-15.655408501696003,-15.705117346997564,-15.668185070306992,-15.66463861944598,-15.685148006590893
"(2, 12)",-15.67047352605153,-15.650372605464787,-15.623340998864178,-15.653479782725864,-15.65815599119626,-15.65255326718329
"(2, 13)",-15.69365616257921,-15.674412640680726,-15.699816180424554,-15.679323479935986,-15.686306877421536,-15.709243319015606
"(2, 14)",-15.641159554381197,-15.68390116623747,-15.632620580151125,-15.660965772567007,-15.675497369513042,-15.707044898385051
"(2, 15)",-15.647236931046102,-15.675731936255401,-15.634341540365549,-15.69982375938902,-15.685065997174316,-15.632192189413397
