states,right 1,left 1,right 2,left 2,right 3,left 3
"(0, 0)",-17.020094536566162,-17.369070647989403,-17.306003751689882,-17.391646768170936,-17.309303672488852,-17.316788218486714
"(0, 1)",-9.029208045416784,-9.130089582880926,-9.06008660976942,-9.0791708414355,-8.857239824636018,-9.124859304881749
"(0, 2)",-15.107143855241322,-15.145112523018339,-15.103695489348992,-15.205264723414025,-14.973465961408996,-15.14103809207428
"(0, 3)",-13.714552800920725,-13.661977702986917,-13.701580104942453,-13.996097400455305,-13.677000293718974,-13.677299760760873
"(0, 4)",-8.070272085810515,-8.202759006361989,-8.056221402125072,-8.194617560946282,-8.055037050309425,-8.398803119225242
"(0, 5)",-5.899927384565442,-5.908263813609471,-5.848921072291538,-5.914560722112347,-5.810367927515607,-5.89775149181024
"(0, 6)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 7)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 8)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 9)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 10)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 11)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 12)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 13)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 14)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 15)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 16)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 17)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 18)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 19)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 0)",-16.604092295250272,-16.589945467321613,-16.567263993476875,-16.599770525430884,-16.557452533102147,-16.599088311370554
"(1, 1)",-17.05206846447312,-17.333682565645926,-16.647668764933837,-17.342331752850754,-17.22744360808514,-17.234218357238767
"(1, 2)",-16.684224514891785,-17.40401304427432,-17.164670406545465,-17.305223305025343,-16.551446889850496,-17.429411094788914
"(1, 3)",-17.100579947153268,-16.759637798087354,-16.54862605713658,-17.50703934039049,-16.776409129497992,-17.493172241762327
"(1, 4)",-16.548623854991334,-16.61526175937,-16.708535029948823,-16.917913373998623,-17.087160112772047,-17.5766317275347
"(1, 5)",-14.837346905605324,-15.08709585361167,-14.9315007151852,-14.764949380877702,-14.921815516470371,-14.86702429559356
"(1, 6)",-13.665752057739525,-13.643194639405364,-13.750838454687278,-13.762047030592118,-13.545962036431819,-13.64681999942759
"(1, 7)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 8)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 9)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 10)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 12)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 13)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 14)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 15)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 16)",0.0,0.0,0.0,0.0,0.0,0.0
