states,right 1,left 1,right 2,left 2,right 3,left 3
"(0, 0)",-17.38479277726361,-17.528922756829594,-16.12268413144877,-17.424815932911393,-17.228796547849765,-17.39679604639654
"(0, 1)",-2.753329819863997,-2.869484463808171,-2.792075592515668,-2.5272254521315918,-3.060360510430921,-2.930176566710803
"(0, 2)",-16.83936812550622,-16.83412381903648,-16.810567487248992,-16.89241114892075,-16.81726444605408,-16.831354773061445
"(0, 3)",-13.845099257579744,-13.68696324410912,-13.54585323391914,-13.86116486615809,-13.488595204816981,-13.606545906858601
"(0, 4)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 5)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 6)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 7)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 8)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 9)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 10)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 11)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 12)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 13)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 14)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 15)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 16)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 17)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 18)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 19)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 0)",-16.775202631396382,-16.808012591976595,-16.577843889640356,-16.803703229886448,-16.764563872520505,-16.928137675083434
"(1, 1)",-17.113024110688297,-17.24175182404102,-16.944240246591775,-17.31238555419778,-17.10002197328327,-17.361996727802868
"(1, 2)",-16.570761722437382,-17.50113096434732,-16.670993135647247,-17.361383048162605,-17.059329914665298,-17.288174927001958
"(1, 3)",-16.666146988249743,-16.56194239125964,-17.091138629845872,-17.59980012250534,-17.224540638380876,-17.385944357280735
"(1, 4)",-17.059603355974808,-16.640219794198586,-17.282822448077244,-16.563312882819897,-17.05835930480052,-17.71206170181298
"(1, 5)",-16.230739505859034,-16.166458889190174,-16.158389473152948,-16.10922616214064,-16.145043741185074,-16.10655361584132
"(1, 6)",-13.611573882549765,-13.341791215711792,-13.661902922537653,-13.558578352471601,-13.32066141563797,-13.458100007212307
"(1, 7)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 8)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 9)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 10)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 12)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 13)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 14)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 15)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 16)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 17)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 18)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 19)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 0)",-16.31124661419975,-16.25859305520803,-16.251570379358245,-16.252412087746187,-16.25815634947875,-16.266655775572147
"(2, 1)",-16.123478713298383,-16.29472918055203,-16.11157848661932,-16.1248170658467,-15.731348782742074,-16.141943118865875
"(2, 2)",-16.40214558096954,-17.627877275996692,-15.716341553557069,-17.402474452079485,-16.070110349986212,-17.40200286471027
"(2, 3)",-15.730047558353116,-16.592700199073057,-15.857437811889175,-17.469051376010498,-16.000928386596183,-17.399364108950635
"(2, 4)",-16.01048637471862,-16.187219039686756,-15.97401813302439,-16.59525373537361,-16.313574903614228,-17.687015555454764
"(2, 5)",-16.564216636644367,-16.741917312217875,-16.19555768094898,-16.67446945260958,-16.69878253368381,-16.717938468196465
"(2, 6)",-16.58095932467654,-16.640769583082008,-16.72311543975579,-16.63465542281979,-16.645580756872132,-16.467147990970567
"(2, 7)",-16.61999945624577,-16.2636389054692,-16.69135398182832,-16.583856747088216,-16.68771512256738,-16.60984784770786
"(2, 8)",-16.45167006379011,-16.499247911212485,-16.485946081845377,-16.488436170829445,-16.473982209679434,-16.514056013633482
"(2, 9)",-16.337550216204804,-16.395431329493082,-16.31579464533846,-16.377614760011877,-16.360913706601767,-16.35674437686305
"(2, 10)",-16.3828730433343,-16.363120046385845,-16.41036075905611,-16.36515625485061,-16.382075184582057,-16.335609671275
"(2, 11)",-16.369560179756373,-16.3864566041442,-16.34704213793229,-16.4262103979225,-16.39546357999086,-16.432629919181668
"(2, 12)",-16.366611154988938,-16.401830624721306,-16.419690942090487,-16.401669661027388,-16.342555702806028,-16.383578058722748
"(2, 13)",-16.36099795433434,-16.413703188132306,-16.37107876321538,-16.420514124263605,-16.411314911534927,-16.364121969881385
"(2, 14)",-16.396291230605133,-16.42922077968971,-16.38045730137257,-16.38873976901832,-16.4051811521424,-16.361444124310736
"(2, 15)",-16.3586515764577,-16.4241253621728,-16.35631450199672,-16.3920520869953,-16.38745851558012,-16.36569382945893
"(2, 16)",-16.369439105046567,-16.44982041155812,-16.42136995235559,-16.420657042293886,-16.436316168955685,-16.430536697635805
"(2, 17)",-16.344278886611278,-16.412407341719458,-16.36543898356515,-16.361426302357067,-16.419458636556815,-16.3511672634713
"(2, 18)",-16.358085328280882,-16.360443669105376,-16.28648332846684,-16.307775331415044,-16.330986169545472,-16.33943080472485
"(2, 19)",-16.64745644599879,-16.64132066907673,-16.59320895736961,-16.62749055801543,-16.67313026838858,-16.632094071875354
"(3, 0)",-15.614264731227975,-15.576984264049912,-15.563135293192033,-15.589849441490117,-15.6308424701271,-15.599262971583794
"(3, 1)",-15.382588004612657,-15.443921793714145,-15.36066659383412,-15.360284881831488,-15.078093085428828,-15.529711276208698
"(3, 2)",-15.431680651730758,-15.488628190639378,-15.295892903024479,-15.324857474040165,-14.87244209080862,-15.350286773491423
"(3, 3)",-15.65671418552768,-16.5009705004972,-15.750008746641686,-16.40277645266913,-15.769813025263655,-16.584321775553146
"(3, 4)",-14.863323821735706,-16.445830147378764,-14.99559886292802,-16.578247052404407,-15.14340780861539,-16.573876065099746
"(3, 5)",-15.118061784915206,-15.432158365430794,-15.448750402741775,-16.25471295892064,-15.773875184192502,-16.608444698280465
"(3, 6)",-15.567211522725273,-15.5559443976008,-15.757759845393524,-15.531976147583501,-15.520360163286963,-16.31900074036183
"(3, 7)",-16.178733512337605,-16.24908991532927,-16.26959403099106,-16.239740998436012,-16.244998158075827,-15.344643472086139
"(3, 8)",-16.440456481295715,-16.313447985933838,-16.361733157381227,-16.371205881283668,-16.371977596300557,-16.360476648377656
"(3, 9)",-16.531614160798302,-16.467352039883306,-16.492706458338393,-16.49990819640258,-16.48181792308495,-16.315230715245427
"(3, 10)",-16.48499264055835,-16.470631016780303,-16.519408516912264,-16.489697915883955,-16.472898212006708,-16.4143875915665
"(3, 11)",-16.441397532961314,-16.51268275052035,-16.49460380338021,-16.465252326037092,-16.468164759739512,-16.47085065487991
"(3, 12)",-16.51932306798054,-16.502855377512752,-16.474448365889018,-16.459061367604956,-16.46051701494852,-16.48922614289197
"(3, 13)",-16.50612464115139,-16.47852429728098,-16.444091475994483,-16.517708055309992,-16.470061418886527,-16.487075806450033
