states,right 1,left 1,right 2,left 2,right 3,left 3
"(0, 0)",-9.374134350329603,-9.24146113993744,-9.443069203852517,-9.26260912532129,-8.027070733854632,-9.02938696505336
"(0, 1)",-7.9568391749083345,-7.746957896407382,-8.101369578676309,-7.6723822457120265,-7.708579279142693,-7.927961137598337
"(0, 2)",-9.181434866684164,-9.203868555189798,-9.182016428957148,-9.186551747210409,-9.163435236350953,-9.181414309590622
"(0, 3)",-8.039652264988478,-8.050938619088182,-8.032881639095779,-8.090936880798244,-8.010813162618586,-8.030872237447845
"(0, 4)",-6.792809092525274,-6.831040865035934,-6.790635640348295,-6.860771178340547,-6.7908059929489815,-6.826402328329521
"(0, 5)",-6.719457822051211,-6.719011821226398,-6.720958952518128,-6.813358280612882,-6.7228259463238045,-6.751793874415149
"(0, 6)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 7)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 8)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 9)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 10)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 11)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 12)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 13)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 14)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 15)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 16)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 17)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 18)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 19)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 0)",-7.778061561811251,-7.893373332834525,-7.749863693080959,-7.815795321692054,-7.7562402070056695,-7.787776754105365
"(1, 1)",-7.357827216955788,-7.445772671635847,-7.50075259827146,-7.449999380986931,-7.411341919689049,-7.534957647589823
"(1, 2)",-6.74967519380371,-6.706489737574774,-6.7504018261640395,-6.678222303158817,-6.624293096187547,-6.691546922840861
"(1, 3)",-6.660526451942349,-6.500758435258346,-6.468021908411337,-6.631902934911087,-6.566637695785616,-6.616017451974865
"(1, 4)",-4.253158377521244,-4.475174699052827,-4.378721796522086,-4.508030666097265,-4.268794684658209,-4.613099282142886
"(1, 5)",-3.9436431316391545,-3.99510351605484,-3.9537021647690276,-4.214363310424902,-3.836664884320351,-3.7939523119653478
"(1, 6)",-3.0513955425116404,-3.3851013519176996,-2.993005494621653,-3.2428183895295826,-2.974329504246684,-3.457567918885528
"(1, 7)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 8)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 9)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 10)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 12)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 13)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 14)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 15)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 16)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 17)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 18)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 19)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 0)",-7.966788816164399,-7.93422410231824,-7.865407385746799,-7.981381437626503,-7.772668128796056,-7.913895429514318
"(2, 1)",-6.912217081798407,-7.0592027152576815,-6.998602964051232,-7.0919641398071205,-6.978778045576394,-7.1563832193190375
"(2, 2)",-7.384360649953746,-7.4648139192926575,-7.342392562927765,-7.64000524245318,-7.3078930641697255,-7.521793286627011
"(2, 3)",-6.705152357716413,-6.739103123220734,-5.847926076171818,-6.926586895010763,-6.73424073191402,-6.767767451327403
"(2, 4)",-6.342674692744239,-6.3236626641891505,-6.156143580798522,-6.333622989935614,-6.030954730047473,-6.509947996326017
"(2, 5)",-4.144043599321418,-4.440038444201143,-4.087503421753791,-4.04442325303909,-4.262462446925737,-4.46189122804555
"(2, 6)",-3.5287729968288115,-3.6029100370420046,-3.563997372007217,-3.901058331227179,-3.459398524390826,-3.6242528732320425
