states,right 1,left 1,right 2,left 2,right 3,left 3
"(0, 0)",-11.471855946866938,-11.483521710260055,-11.450412213235927,-11.576311451883647,-10.52004049917228,-11.711366546687648
"(0, 1)",-6.341865054874189,-5.440310416974216,-5.899986282846129,-6.690197471712884,-5.981895457371287,-5.438324229528613
"(0, 2)",-9.160056687477912,-9.262291207507676,-9.25491147551674,-9.304686794367544,-9.18950849292498,-9.20238262169275
"(0, 3)",-9.092729702298968,-9.244290978986744,-9.12162262292016,-9.254054217053971,-9.110990064859275,-9.11297773916243
"(0, 4)",-4.960093053574769,-4.978069767226403,-4.964827787870204,-4.981496305308129,-4.931210204857015,-4.9733267583414555
"(0, 5)",-1.9759429021921264,-1.97734424154811,-1.9929816591063445,-2.006583548781726,-1.9786680237553695,-2.025271976396573
"(0, 6)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 7)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 8)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 9)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 10)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 11)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 12)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 13)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 14)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 15)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 16)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 17)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 18)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 19)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 0)",-10.486909726600128,-10.54108512760763,-10.478003410469068,-10.504601259459536,-10.464812789795278,-10.561509016416315
"(1, 1)",-10.404342387882954,-10.462779058307085,-10.390701350536427,-10.496525082408205,-10.265784227827856,-10.408960431369566
"(1, 2)",-9.987771770037112,-10.220268326668005,-9.895998827593115,-10.216397462752216,-9.898878854104396,-10.2414709165114
"(1, 3)",-9.271305558551285,-9.362256498883236,-9.237145446746014,-9.606777796300765,-8.967891434307981,-9.708542083954681
"(1, 4)",-8.232466019924233,-8.356080972118587,-8.400468629968524,-8.442606423384737,-8.25772879954455,-8.703811913540383
"(1, 5)",-7.232228424070924,-7.25992311684138,-7.1441824291361815,-7.214331330104428,-7.065476059435329,-7.184355316952559
"(1, 6)",-4.759009025901684,-4.811527899277039,-4.615185845920478,-4.757994850415933,-4.5514110162559165,-4.5686160275606005
"(1, 7)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 8)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 9)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 10)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 12)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 13)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 14)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 15)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 16)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 17)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 18)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 19)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 0)",-10.3701035403156,-10.371274652201153,-10.334834659203374,-10.474822001293997,-10.210831689087009,-10.412781423519675
"(2, 1)",-10.20379148682997,-10.256426191575112,-10.202018078994332,-10.23304062863376,-9.878361083010224,-10.26865082239122
"(2, 2)",-10.336668475113461,-10.461627048745182,-10.346439129159721,-10.679690305730638,-10.408378014935321,-10.634081493865398
"(2, 3)",-10.127796921990253,-10.464777757869152,-10.09867673433092,-10.520015318632007,-9.892705327034037,-10.671056726524915
"(2, 4)",-9.97535574781189,-10.1000622979172,-9.577009416431633,-10.403050886198344,-9.750951831894689,-10.623117471154359
"(2, 5)",-8.86960162699632,-8.957342237184776,-9.1616561524005,-9.04349108319981,-8.871683523441657,-9.325921243070152
"(2, 6)",-8.773006427674973,-8.802952167308863,-8.763975194021127,-8.835970985643163,-8.79910536911151,-8.706705126105268
"(2, 7)",-8.624775901458166,-8.6183598213462,-8.604438349876592,-8.718977493392353,-8.604683594800871,-8.618279407446211
"(2, 8)",-5.117142280970758,-5.157163713169485,-5.12138382419576,-5.114511832563699,-5.133035387285644,-5.134908519269689
"(2, 9)",-5.0922841870815025,-5.0931249661103495,-5.104613282340403,-5.095724604187742,-5.107027349582021,-5.1250741343844854
"(2, 10)",-5.10556399488605,-5.111024864419867,-5.098975300061739,-5.097550191823229,-5.086894888546107,-5.113810606856225
"(2, 11)",-5.127023033759794,-5.109785920573621,-5.120179956823076,-5.107405425414372,-5.111483047482378,-5.109624615204983
"(2, 12)",-5.121193457911738,-5.104246108705434,-5.108966695175545,-5.105941042199625,-5.098437002901519,-5.1018019397474506
"(2, 13)",-5.104359487745383,-5.105030962101543,-5.111979914775968,-5.118469483037828,-5.096449165543209,-5.119634991964967
"(2, 14)",-5.102397278414059,-5.105211501116552,-5.113908272389754,-5.108267991022809,-5.106608181620805,-5.1219820852289875
"(2, 15)",-5.1034123130052205,-5.105186309494617,-5.095657630466567,-5.113415524508455,-5.109940948852069,-5.092240174660334
"(2, 16)",-5.111254509770876,-5.121160075632383,-5.1112949044907685,-5.131580911906292,-5.105908941066425,-5.112331024950729
"(2, 17)",-5.1097304347589265,-5.087579714919446,-5.110177800661967,-5.103910173699421,-5.098212182687156,-5.0923805662651835
"(2, 18)",-5.10766886423451,-5.090704429023838,-5.096055529317821,-5.085593151559762,-5.080331220009896,-5.0803909454357035
"(2, 19)",-5.1865088039449505,-5.186269072502502,-5.1865799633130285,-5.180193339196349,-5.1865088039449505,-5.200524851261525
"(3, 0)",-10.027254691152134,-10.04124117976393,-10.047247816588598,-10.024163130496417,-10.043262892405679,-10.08587961178057
"(3, 1)",-10.021216496334471,-10.068822274866388,-10.004416622444106,-10.040444868940346,-9.867611845997008,-10.051467508506711
"(3, 2)",-10.266706199599025,-10.266193197247373,-10.07723601763292,-10.316072046277133,-10.235592480038166,-10.250615815322297
"(3, 3)",-10.30397081720694,-10.794347868801836,-10.333386460446201,-10.700679276551941,-10.331827351424941,-10.661205860735627
"(3, 4)",-10.04608130823086,-10.536265002435414,-9.85490243868439,-10.668869770480436,-9.442931980801287,-10.787390690786628
"(3, 5)",-9.71301643144966,-10.115221335529029,-10.072675603543942,-10.132165700240211,-10.058158213928472,-10.100066885332003
"(3, 6)",-9.466056183328137,-9.816095646508884,-9.764265889060876,-9.770323648187933,-9.68572553752281,-10.172214007540429
"(3, 7)",-9.386890468092076,-9.405796802593361,-9.40908694523386,-9.094251412165999,-9.36218404123286,-9.347345237898425
"(3, 8)",-9.129267972027348,-8.623019361133943,-9.111934264638617,-9.072278794254094,-9.079507792661238,-9.184453490187611
"(3, 9)",-5.458060439254535,-5.444468408021932,-5.465808269460506,-5.447954620351566,-5.455589813932553,-5.421473946344428
"(3, 10)",-5.474993186835406,-5.454387792998515,-5.468022200697842,-5.460202939177275,-5.456024418946293,-5.4648986860418205
