states,right 1,left 1,right 2,left 2,right 3,left 3
"(0, 0)",-9.667935371666061,-9.736274139768556,-9.639268761515762,-9.828253366927832,-9.341264031698485,-10.08305550705465
"(0, 1)",-10.053843299534316,-10.06445725982415,-10.05021086201077,-10.051152350644283,-10.043714477502522,-10.062149362345705
"(0, 2)",-9.326313224024252,-9.312530478427277,-9.31062491600422,-9.317073802880842,-9.295876492089658,-9.304877868718268
"(0, 3)",-9.281975812531316,-9.297751806281381,-9.266380921283062,-9.275463154309016,-9.272478740596087,-9.289899101082257
"(0, 4)",-9.204667356597378,-9.222995570876508,-9.243456345068545,-9.248204068456774,-9.201818354942708,-9.231949720614885
"(0, 5)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 6)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 7)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 8)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 9)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 10)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 11)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 12)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 13)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 14)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 15)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 16)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 17)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 18)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 19)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 0)",-9.06159113206273,-9.15484236367801,-9.057622814943135,-9.06712452630896,-9.092548637992486,-9.047695092484524
"(1, 1)",-8.648331201423193,-8.720496237634757,-8.64837348574307,-8.761432085894581,-8.320243219208729,-8.689882802871274
"(1, 2)",-8.70602341319276,-8.724052689003525,-8.262054658212483,-8.764971638528914,-8.66022982151501,-8.79303615722609
"(1, 3)",-2.1206472492187927,-2.0925707537454836,-2.1830234515958544,-2.432200019829965,-2.6071640824198603,-2.298818665789493
"(1, 4)",-4.982811535042085,-5.024905708523422,-5.014628933439992,-5.273852798601718,-5.009135976140228,-5.010002602997493
"(1, 5)",-4.318112041878848,-4.448765277683388,-4.185415524600238,-4.487622385978898,-4.148697163280273,-4.625103786898328
"(1, 6)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 7)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 8)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 9)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 10)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 12)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 13)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 14)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 15)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 16)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 17)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 18)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 19)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 0)",-9.069657587249983,-9.158812047504764,-9.061734357110378,-9.082270139018956,-9.035661118219302,-9.088452617962734
