states,right 1,left 1,right 2,left 2,right 3,left 3
"(0, 0)",-12.417789919222317,-12.757407059847191,-12.662917554182851,-12.773923530453587,-10.967156228922452,-12.706482846410161
"(0, 1)",-12.642763476865774,-12.642655455899702,-12.643190548546407,-12.694535030763626,-12.65512719780203,-12.611173560435553
"(0, 2)",-12.51931966949245,-12.484370272286522,-12.444446030685707,-12.519320183221653,-12.341275806013465,-12.524883392832464
"(0, 3)",-11.966498944921394,-11.959280303977973,-11.950874837748058,-11.99607249227413,-12.009019842138894,-12.0273542755247
"(0, 4)",-12.073974275645837,-12.016405042821203,-12.025555787637757,-12.017277088284605,-12.02381222896011,-12.005197547257852
"(0, 5)",-11.424929440926894,-11.427754030355374,-11.476915496369267,-11.39761330134887,-11.50519473403743,-11.447979188583101
"(0, 6)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 7)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 8)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 9)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 10)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 11)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 12)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 13)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 14)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 15)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 16)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 17)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 18)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 19)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 0)",-12.627366894016626,-12.621350237982373,-12.280968144794189,-12.631380577073806,-12.612039166317654,-12.653743865875958
"(1, 1)",-12.978244458142344,-13.101338746666203,-12.905377280185375,-12.997571412753587,-12.435941417174128,-13.012422858427287
"(1, 2)",-13.08881782343816,-13.30111108632022,-12.863654244403735,-13.185465391655239,-13.094887479326088,-13.182687409856804
"(1, 3)",-12.261514341628644,-12.943390019971279,-12.948874406611074,-13.417864093660537,-13.016091558686872,-12.986596307570375
"(1, 4)",-12.865292963655634,-12.08069663020289,-12.861089357377946,-12.767357242637202,-12.815153860482303,-13.360165556885088
"(1, 5)",-11.99410036056819,-12.039373398700763,-11.983025886497973,-11.990882548252877,-12.020144724697714,-12.03399643256125
"(1, 6)",-1.1128168932841616,-1.125842128796365,-1.2885730907445407,-2.1147870663227675,-2.274952455094874,-1.1182321306041714
"(1, 7)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 8)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 9)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 10)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 12)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 13)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 14)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 15)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 16)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 17)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 18)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 19)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 0)",-11.714483902249707,-11.839430517640363,-11.74954161082594,-11.81716562970377,-11.447926821581042,-12.03783648530023
"(2, 1)",-12.098279850407081,-12.094438785900216,-11.665960820802134,-12.147825135951756,-12.06545296987868,-12.07668230697594
"(2, 2)",-11.385261173272424,-13.39170371682716,-12.058079485927577,-13.092922357603012,-12.15989590174025,-13.017553697222514
"(2, 3)",-11.1251964155099,-12.524939456422228,-12.24238714377967,-13.332091391421054,-12.144792595665823,-12.768995045141208
"(2, 4)",-12.122821983518138,-12.114358500411967,-11.322768474899366,-12.492968132045512,-12.082542458559134,-13.2970960891588
"(2, 5)",-12.499222684381389,-12.026595829669688,-12.57331156669783,-12.557669481167741,-12.475062083674967,-12.512089368523618
"(2, 6)",-12.491715288601204,-12.524833744853698,-12.472891085359597,-11.867836858774151,-12.516128059501856,-12.52592828596869
"(2, 7)",-12.496232805453857,-12.46220912302397,-12.466534613114275,-12.4790285268193,-12.515907483860985,-11.988043936578178
"(2, 8)",-12.21933489229474,-12.201749448666474,-12.197618618583133,-12.20178555083025,-12.255518712581445,-12.2240929112198
"(2, 9)",-12.146717964367218,-12.14517044783878,-12.10295579948224,-12.18214647583517,-12.114077834386812,-12.118175845328377
"(2, 10)",-12.14051095324186,-12.179732494735623,-12.107420975677089,-12.135808194307373,-12.154130603467555,-12.11178872739956
"(2, 11)",-12.135004401198234,-12.199929494320047,-12.188358866924824,-12.162654958520816,-12.162827188737285,-12.160950260636932
