states,right 1,left 1,right 2,left 2,right 3,left 3
"(0, 0)",-7.419363973087082,-7.667126065446865,-7.463034007825405,-7.691897190065585,-6.796212943569918,-7.720790011477734
"(0, 1)",-7.925364188343446,-7.728246352046934,-7.725505886147712,-7.727883590072286,-7.720609676555421,-7.733170724278439
"(0, 2)",-7.725000702181755,-7.890299974715923,-7.724994912998578,-7.728388101708612,-7.724990729677482,-7.740402869321711
"(0, 3)",-6.8005612582397434,-6.886895262906541,-6.8799045090969235,-6.800643369221767,-6.793465185565772,-6.861613213206892
"(0, 4)",-6.825695609704477,-6.808873627536423,-6.79346520871132,-6.804216792459581,-6.79346520874336,-6.964165331776838
"(0, 5)",-6.793099212534617,-6.79787579157127,-6.793110018001916,-6.863638608527254,-6.793090250415379,-6.885240888616692
"(0, 6)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 7)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 8)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 9)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 10)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 11)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 12)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 13)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 14)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 15)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 16)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 17)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 18)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 19)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 0)",-6.19144375990024,-6.175953110970026,-6.201394127616995,-6.170345544565368,-6.167513162714568,-6.147155682298602
"(1, 1)",-5.84259177400328,-6.010760200185199,-5.8241291719175114,-5.827866069865068,-5.845990929151124,-5.894164369083487
"(1, 2)",-5.002474095248787,-5.060005084778538,-5.1091899878821225,-5.174893781013441,-5.009941500199977,-5.0150917705502245
"(1, 3)",-4.948434727229401,-4.936341513277158,-4.859624054724443,-4.8752120078659456,-4.371052081655774,-5.047680884766846
"(1, 4)",-2.7821915540284046,-3.063151324388928,-2.993887426665828,-3.098460255440098,-2.942033824729164,-2.977477015487168
"(1, 5)",-2.2240175514149154,-2.272756937800647,-2.0059914247104715,-1.929493064379436,-1.984295979779008,-2.18486899066839
"(1, 6)",-2.050448843031403,-2.0869183556287565,-2.0633039427407023,-2.058184944163901,-2.0628570841534972,-2.436233649049991
"(1, 7)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 8)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 9)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 10)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 12)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 13)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 14)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 15)",0.0,0.0,0.0,0.0,0.0,0.0
