right 1,left 1,right 2,left 2,right 3,left 3
-4.484209189354257,-4.497886658192232,-4.506584840790304,-4.4847840702308055,-4.323347058718733,-4.517089731438754
-6.2389439448405435,-6.2461431023339316,-5.594786410052817,-6.232663260238483,-6.237954339950982,-6.235415151360383
-7.519463386469975,-7.554241386394524,-7.037538350749102,-7.620085281732135,-7.511818290423154,-7.539620798658081
-7.445741657891153,-8.393780739569328,-8.355377342161352,-8.349342139542774,-8.361023745205763,-8.366298342857707
-8.955735644187135,-8.970558436643627,-8.946477998661265,-8.983613185079662,-8.955870853406775,-9.018988232219977
-9.387120679693329,-9.424796259884133,-9.379818950627811,-9.454913374618403,-9.38835113758471,-9.476045363360111
-9.466530781841614,-9.51914557287214,-8.351287457086677,-9.47713897521447,-9.46597170371275,-9.508641417029143
-9.466530781841614,-9.51914557287214,-8.27017338923805,-9.47713897521447,-9.475560351988637,-9.502276770760377
-9.466530781841614,-9.51914557287214,-8.100008550544942,-9.465522687140984,-9.484189637683961,-9.493269432016891
-9.466530781841614,-9.51914557287214,-8.588713325808463,-9.402673179683973,-9.491978151818655,-9.505848787199383
-8.891603568244744,-9.51914557287214,-9.4838776425529,-9.493270506504288,-9.491978151818655,-9.509696441190869
-9.495236423165117,-9.51914557287214,-9.508485721826217,-9.415496684367467,-9.131047893798584,-9.509696441190869
-9.03833485666219,-9.549105875949909,-9.529738014781428,-9.67939594092722,-9.524272729567533,-9.600186744749678
-7.867183056408351,-9.542494820799071,-9.529738014781428,-9.67939594092722,-9.529062900335243,-9.600186744749678
-8.130076154112949,-9.553814343766925,-9.529738014781428,-9.67939594092722,-9.529062900335243,-9.600186744749678
-9.536240613089332,-9.553814343766925,-9.53689084996047,-9.67939594092722,-9.191782698668636,-9.600186744749678
-9.539109852617194,-9.553814343766925,-9.540730076686478,-9.67939594092722,-9.21702781861296,-9.505418390432627
-9.539109852617194,-9.553814343766925,-9.544124509961255,-9.67939594092722,-8.346882243108848,-9.603300080155506
-9.539109852617194,-9.66151141616458,-9.547067607561045,-9.67939594092722,-8.005756524384486,-9.647988199209491
-9.539109852617194,-9.66151141616458,-9.547067607561045,-9.590925681440314,-8.811448867167213,-9.647988199209491
-9.057194656622038,-9.66151141616458,-9.547067607561045,-9.557420490910884,-8.404615368839952,-9.47050854632025
-9.305652197423356,-9.66151141616458,-9.547067607561045,-9.557420490910884,-8.27537206255142,-9.38079665742702
-9.4829090879953,-9.698371916604454,-9.250407826863203,-9.603216106311354,-8.439654691182037,-9.558237096346547
-9.491720392110507,-9.698371916604454,-9.114723134043905,-9.613187172238444,-9.452892868603337,-9.558237096346547
-8.49638704362904,-9.698371916604454,-9.523036086486169,-9.613187172238444,-9.523786884253807,-9.558237096346547
-8.700312441983172,-9.698371916604454,-9.527714141763052,-9.613187172238444,-9.528543562048835,-9.558237096346547
-9.53033317420588,-9.760530264946354,-9.44345448377182,-9.613187172238444,-9.532912307248553,-9.599930704213513
-9.533995886796845,-9.760530264946354,-8.687387524050104,-9.613187172238444,-9.532912307248553,-9.599930704213513
-9.525951034844393,-9.786884604669204,-7.982658126577487,-9.534761155299666,-9.532912307248553,-9.670195464024376
-8.95530550671884,-9.787526956476292,-9.530639587143988,-9.534761155299666,-9.53156864405386,-9.746238147959065
-9.593352292355192,-9.859685565585675,-9.110072927352489,-9.534761155299666,-9.535197998331855,-9.605734939306922
-9.593352292355192,-9.859685565585675,-9.41699763845825,-9.534761155299666,-9.535197998331855,-9.605734939306922
-9.593352292355192,-9.859685565585675,-8.38690036625182,-9.619969526862926,-9.535197998331855,-9.605734939306922
