right 1,left 1,right 2,left 2,right 3,left 3
-7.452950996730195,-7.469875600602499,-7.450315045003067,-7.512904754986408,-6.472904303950975,-7.592893430336975
-9.545050629826823,-9.545690963599586,-9.402311242811399,-9.593346771751648,-9.546752210008489,-9.617689647116526
-9.566889950116984,-9.58936436673011,-9.053519408894218,-9.593346771751648,-9.559588249455512,-9.685340286262338
-9.568367595286725,-9.593014076383561,-8.924023279600357,-9.593346771751648,-9.568434014409121,-9.55117672048654
-8.714788756525444,-9.529642085444404,-9.411664899922403,-9.583516211827666,-9.55360591078908,-9.55314618004477
-9.537722124304963,-9.532669823164067,-8.539780257414396,-9.638153001323673,-9.560470602998826,-9.54920840791564
-9.540833904405668,-9.522455846566842,-8.507633249809372,-9.539493213526178,-9.56606202046485,-9.54920840791564
-9.311405768852385,-9.59928052360002,-8.580648171789404,-9.649528748843723,-9.56606202046485,-9.603603266591517
-9.432119188298774,-9.637891103019063,-9.505628024802323,-9.693964634093714,-9.570176840759098,-9.66635922980174
-8.111769704789467,-9.637891103019063,-9.538836651274261,-9.619559673855024,-9.57307428835229,-9.654722186489979
-9.599525929371195,-9.673858983086877,-9.388459379583917,-9.44860981033468,-9.574576566214244,-9.654722186489979
-9.341661146282247,-9.673858983086877,-9.359450124775144,-9.539161200524346,-9.576319119758331,-9.708763630791207
-9.531719193549932,-9.720549909324365,-8.972991382317705,-9.621802682186553,-9.576319119758331,-9.640625102744458
-8.375740750040652,-9.720549909324365,-9.53814470223897,-9.632599599182907,-9.535040413964756,-9.551662838755586
-9.599521717036222,-9.757313117596317,-9.30278376888017,-9.67771983783534,-9.55168595329608,-9.54816421315379
-9.592755684972884,-9.6099486081063,-9.208612491683548,-9.67771983783534,-9.55168595329608,-9.60934683683123
-9.58989441139957,-9.651922663399413,-7.855935141436929,-9.609454212210375,-9.55356640977956,-9.60934683683123
-9.58989441139957,-9.694995570268588,-9.517747300171909,-9.682574606432901,-9.545146548445276,-9.647211327305468
-9.072425260518534,-9.767602836278295,-9.521529731189963,-9.57449683486058,-9.546828779232984,-9.746276247845014
-9.585602526723012,-9.767602836278295,-8.936227245979161,-9.57449683486058,-9.550062763692047,-9.804317625804819
-9.583267942548234,-9.767602836278295,-9.555119698737657,-9.657044714284517,-9.14642339758376,-9.57925047962889
-9.583267942548234,-9.83416771624605,-9.56117877243029,-9.7724333124133,-9.23096865755588,-9.651992623794456
-9.589533238770452,-9.789663949483085,-9.56428234760016,-9.649721089197717,-9.06147781087418,-9.716259213688707
-9.596130703944104,-9.855795716019667,-9.550765786062378,-9.722498758970088,-8.944643126897656,-9.760525286445883
-9.596130703944104,-9.855795716019667,-9.547169415640557,-9.668797078766229,-8.629644949879248,-9.824782641121057
-9.603308035788384,-9.88594985354755,-9.513591092282725,-9.656627480774054,-9.234068079204764,-9.939950066287832
-9.606805474907286,-9.88594985354755,-8.513330345885482,-9.493959030632459,-9.542463321602813,-9.968440967915305
-9.59760422270628,-9.88594985354755,-9.1243986107813,-9.72145554402704,-9.562384091063546,-9.657518381642912
-9.59551729131654,-9.965661173255274,-9.525889402167916,-9.760102895878768,-8.74224862827203,-9.7541836988421
-9.59551729131654,-10.01306297333003,-9.367441948950205,-9.738322132009692,-9.544478311231904,-9.927819620339397
-9.591111280757005,-10.047240787036987,-9.297971378224817,-9.794315910008807,-9.561763009943315,-9.97697846207817
-9.534668936673292,-9.924686133259488,-9.181928257766955,-9.794315910008807,-9.529572773745494,-9.752083421801473
-9.543736077833556,-9.86223351542239,-9.373660599994334,-9.845912853211008,-9.546180924154134,-9.752083421801473
-9.587688142758656,-9.912110586653716,-9.554652845685577,-9.752928788129656,-9.33738589989984,-9.62752399241893
-9.587688142758656,-9.952711554208985,-9.429369073958037,-9.780414504777747,-9.561164728602192,-9.62752399241893
-9.587688142758656,-9.952711554208985,-9.399177509001529,-9.598042254991427,-9.563099923319232,-9.716765680876309
-9.5836344425023,-9.952711554208985,-9.398939894176703,-9.598042254991427,-9.564657577935542,-9.7315735250675
-9.5836344425023,-9.750258230286533,-9.399529665060204,-9.7268099493104,-9.572354043084012,-9.797763756097613
-9.584963850525064,-9.845922003752545,-9.55523685440813,-9.601050068208732,-9.2934431876166,-9.88705786546187
-9.611226396065495,-9.874637175700677,-9.555964369551699,-9.684852289913714,-9.16780993431356,-9.915524463391257
-9.565625733189497,-9.923796526685289,-9.421922900308815,-9.684852289913714,-9.561507450366905,-9.967513449621354
-9.556770888151906,-9.913250668777062,-9.31487928163085,-9.730018579424314,-9.561507450366905,-10.042009148790326
-9.636284921642643,-9.961587306103034,-9.397258111680909,-9.775907931228637,-9.564574158000097,-10.079409701588608
-9.55040472580306,-9.986712564326382,-9.549145940912002,-9.742301525426681,-9.103835076234304,-10.094959291937382
-9.561532375302155,-9.986712564326382,-9.551465012716376,-9.80985355117823,-9.036194751954259,-10.136881346689346
-9.561532375302155,-9.987512790091301,-9.553839425364762,-9.80985355117823,-9.380337825082592,-10.153577047449811
-9.577838132920606,-10.012168935687129,-9.381886024406157,-9.802973852849423,-9.486838280520367,-10.153577047449811
-9.584116051187417,-10.012168935687129,-9.54734212284702,-9.802973852849423,-9.420173909549677,-9.961697750726312
-9.584797243020182,-10.01700818695963,-9.55138033724965,-9.887031204392558,-9.200861563847141,-10.03200441961074
-9.613406053862471,-9.997864833658728,-9.55260792902083,-9.929597729322104,-9.487310056405201,-9.99892491172718
-9.63546620236037,-9.926873132953588,-9.553949491384175,-9.938505081038764,-9.23853964429572,-9.998132269208625
-9.65254107627287,-9.965098969221573,-9.562867488715764,-9.984583888405307,-9.345207621157117,-9.566074785243494
-9.721445150907291,-10.072849300268222,-9.559011817296138,-9.974105166565407,-9.39914848318941,-9.566074785243494
-9.703840416669781,-10.013715502209775,-9.560907080132498,-10.034568264608009,-9.446640004675443,-9.60028920460194
-9.628310537743424,-10.038509763658194,-9.352058026156675,-10.118684597107645,-9.561268708739163,-9.60028920460194
-9.611383365033264,-10.038509763658194,-8.506457658798317,-10.158036734938714,-9.5646386978737,-9.684458279255775
-9.558662367216197,-9.978292744925476,-9.570235214142906,-9.988702587125994,-9.548945769832986,-9.648714117000575
-9.565706443636678,-10.014304266643228,-9.569302858108077,-10.073543221274425,-9.321301526433015,-9.589432560656068
-9.565706443636678,-9.90752407224063,-9.568778826115286,-10.092887540555177,-9.279094178710498,-9.658383428118533
-9.565706443636678,-9.90752407224063,-9.567880360953545,-10.149622613496524,-9.337969949760067,-9.806948102771026
-9.573282408934725,-9.996609809860423,-9.556580836190433,-10.180085471355046,-9.534364112501345,-9.900649996226894
-9.57885036981386,-10.025433774770088,-9.558401853312695,-10.180085471355046,-9.512474244391248,-9.993562318436968
-9.57885036981386,-10.013245673284336,-9.55924460727905,-10.190337656929929,-9.5261172680519,-9.993562318436968
-9.57885036981386,-10.031860806243266,-9.559793410140669,-10.125714685556275,-9.488829652630944,-9.842393900545979
-9.554035910165412,-10.061787395894957,-9.551634869556828,-10.139203023461047,-9.53201252609845,-9.908680876561238
-9.57252329937451,-10.069018539699801,-9.558327369207458,-9.973312831637688,-9.245633420127785,-9.908680876561238
-9.57252329937451,-9.920749783422075,-9.561199078727265,-9.918027984038938,-9.433591018239511,-9.968811341329728
-9.608681694084092,-9.920749783422075,-9.259659033903477,-9.930685621449364,-9.561796300689423,-9.968811341329728
-9.623405197896759,-9.969424307372162,-9.207031767626232,-9.930685621449364,-9.561795270463994,-10.050556695850906
-9.622926235456681,-10.001427016598086,-9.585538301554795,-9.962732784872282,-9.270613345064312,-10.050556695850906
-9.623429183346216,-10.001427016598086,-9.552402585810514,-10.003299490812198,-9.33809067973981,-10.050556695850906
-9.623403072899288,-10.001427016598086,-9.346682048239877,-10.033001256288264,-9.557871635781535,-10.008544330184323
-9.621344192098366,-10.004102616895347,-9.51684436939803,-10.074399150573612,-9.557871635781535,-10.051131264869964
-9.618970633478627,-10.008209992999703,-9.539197693083754,-10.160258019407568,-9.153608892691357,-10.116323772114766
-9.618970633478627,-10.037765209641409,-9.57611007553195,-10.160258019407568,-9.255555804704285,-10.137294417136067
-9.61657610580729,-10.037765209641409,-9.470415626665357,-9.939454501716035,-9.579270837447716,-10.146002289732257
-9.624717906959866,-10.037765209641409,-9.589830148456857,-9.94207951740016,-9.146621551558066,-9.886448631345012
-9.624717906959866,-9.586660426704386,-9.594208240838327,-10.009956970837882,-9.299104771307336,-9.85543900971984
-9.624717906959866,-9.624700703152362,-9.56222780758585,-10.03514988068634,-8.579288166367412,-9.837103317230973
-9.628471145060383,-9.712056902939665,-9.570645093289203,-10.052660300849125,-9.262077651507655,-9.837103317230973
-9.661610813942955,-9.76242723942926,-9.570645093289203,-10.063418447513468,-8.87475666964086,-9.884830506774717
-9.574420767255244,-9.76242723942926,-9.574084354149026,-9.985929070831881,-9.249127705616615,-9.960844103622053
-9.574420767255244,-9.85089417307953,-9.576667738839214,-9.862298513435093,-9.356744677133445,-9.960844103622053
-9.601630014950128,-9.8693031329272,-9.45133682395089,-9.823385805948375,-9.560539047235304,-9.977553025351266
-9.62097779824154,-9.911654386429776,-9.581533408779205,-9.994545566076575,-9.223236444440545,-9.977553025351266
-9.67171729166634,-9.842570196281958,-9.615018418756351,-10.041814830595266,-9.450021111327846,-9.926700523153707
-9.693799932114398,-9.937719202281817,-9.626658696982954,-9.66719273703349,-9.306504532670179,-9.926700523153707
-9.713184363675511,-9.95573794940365,-9.62845053272861,-9.771971273246871,-9.331108530758554,-9.89678113656894
-9.726478799556723,-9.8739613307277,-9.62845053272861,-9.771971273246871,-9.13032323753761,-10.002414761596642
-9.754212054755534,-9.930424298023652,-9.623584653632795,-9.831942155992026,-9.358526363316749,-9.944923077794046
-9.757027134003158,-9.976193730234417,-9.429837574038139,-9.831942155992026,-9.556035378997118,-9.944923077794046
-9.698830240043003,-9.976193730234417,-9.602428546373174,-9.954286726174953,-9.015295156881157,-10.009734340673791
-9.698830240043003,-9.881861674917525,-9.609680724675398,-9.954286726174953,-8.864156141046491,-9.839711504086678
-9.698830240043003,-9.709720310758568,-9.600452313904928,-9.984848913683328,-9.35365830072369,-9.897133691485596
-9.698830240043003,-9.781351497321701,-9.597858417411144,-10.029928701102971,-9.406611345108184,-9.973323119168812
-9.725961854181975,-9.70032655718054,-9.597858417411144,-10.058565879670446,-9.424501327732528,-9.78495425859164
-9.777316577469316,-9.751354692923657,-9.60737457704697,-9.914761431621384,-9.335933606486288,-9.897883874719854
-9.799430609774047,-9.83342474666398,-9.610611066989552,-9.705902736700132,-9.346596173747661,-9.897883874719854
-9.751479550329133,-9.898700129008107,-9.619158208730555,-9.705902736700132,-9.249988633805643,-9.897883874719854
-9.7636020998345,-9.936860650881846,-9.620366978241723,-9.780731266015325,-9.403118851356368,-10.00774155599441
-9.475074223115344,-9.93769548317381,-9.61749972686848,-9.869589612722471,-9.562643551588039,-9.916403334182478
