right 1,left 1,right 2,left 2,right 3,left 3
-6.672330464348624,-6.683546489186002,-6.67337338503158,-6.697457303530074,-6.0418934694809305,-6.708017371319376
-6.776101945352878,-6.805886006900011,-6.851109051158301,-6.857455290498025,-5.942788015956479,-6.938382672171786
-6.79825614866824,-6.805886006900011,-6.89346315321956,-6.795404575925756,-6.483542437302641,-6.963820814636942
-6.698711313302418,-6.919204713493106,-6.89346315321956,-6.870635428897472,-6.643743310398815,-6.963820814636942
-6.803590441271795,-6.919204713493106,-7.050052563192201,-6.936013136802258,-6.8273279109161855,-6.963820814636942
-7.191937864037336,-7.170517795368504,-7.18355109976468,-7.151205850770585,-6.432146982340858,-7.149800136828483
-7.292990008748703,-7.252717156781263,-7.18355109976468,-7.089433436878085,-6.505947506925232,-6.896674627594757
-7.341309817847218,-7.377718749540193,-7.325171794309678,-7.3227004254579295,-6.7837646658322885,-7.313854059288925
-7.341309817847218,-7.127931524869579,-7.377295617183455,-7.3227004254579295,-6.513637261151571,-6.9440725351553345
-6.991572101337182,-7.161383004261511,-7.186651881274171,-7.35326202002899,-6.603119537796521,-7.060318155827281
-6.906743304050009,-7.161383004261511,-7.304034740656273,-7.347923915739702,-6.576150486354402,-7.09305108550833
-7.041093154234572,-7.244465929077953,-7.38427047211326,-7.385031316065841,-6.387096473445808,-7.141253784211762
-7.041093154234572,-7.244465929077953,-7.411554450231556,-7.332600176732023,-6.833987576511053,-7.141253784211762
-7.098990502315361,-7.245543435711586,-7.459000513916009,-7.37242217230918,-6.676174954189124,-7.1466922545337095
-6.854003211601498,-7.279278538474901,-7.500331391419309,-7.426689163288184,-6.5468274894415055,-7.238633975924399
-7.0093741171616335,-7.030454939780685,-7.500331391419309,-6.994343521868251,-6.611302605003342,-7.282861665206917
-7.181371353940272,-7.146411681701518,-7.064688147180293,-7.0960048332272745,-6.609140238403853,-7.310766134188344
-7.270718619622727,-7.191817494033481,-7.124683627046776,-7.135415374320278,-6.379595576951207,-7.193887775742679
-7.344753171683181,-7.300490200588156,-7.124683627046776,-7.18541164987683,-6.7710059630047414,-7.070684288369195
-7.344753171683181,-7.339599733359924,-7.11013032305077,-7.1848221921106035,-6.68950041130038,-7.070684288369195
-7.344753171683181,-7.434941944909079,-7.11013032305077,-7.2294576302795495,-6.406620992736017,-7.259232725680703
-7.3772569141583535,-7.413653993558848,-7.11013032305077,-7.253288955677039,-6.787672372256025,-7.259232725680703
-7.277081392612565,-7.404089035385348,-7.11013032305077,-7.382980197245422,-6.782699958440185,-7.268638797710196
-7.277081392612565,-7.444367904479334,-7.11013032305077,-7.412052330953721,-6.047618140208797,-7.297422833961022
-7.316841848402542,-7.4608758955356524,-6.993014743659753,-7.358453002674046,-6.856595373995243,-7.341915264545493
-7.353063447477637,-7.424672875918774,-7.089279587610848,-7.358453002674046,-6.743842817743327,-7.379766666183992
-7.353063447477637,-7.457452616776041,-7.206023917176277,-7.273152269407988,-6.797088712006099,-7.379766666183992
-7.442189626163776,-7.479347766745789,-7.32125410940351,-7.327639719131491,-6.769171199021099,-7.381788921324003
-7.442189626163776,-7.537283858791641,-7.206886657008429,-7.261621979953977,-6.858830761552126,-7.451745462178354
-7.467056181689632,-7.537283858791641,-7.258134496942812,-7.268761509331632,-6.954885537800532,-7.501939885738663
-7.48984768424536,-7.5756432942420036,-7.258134496942812,-7.268761509331632,-5.41089400110223,-7.501939885738663
-7.48984768424536,-7.451198346076798,-7.2766340817412765,-7.359915020457584,-6.6941751500782285,-7.353606320488919
-7.48984768424536,-7.431156494745794,-7.372993731087729,-7.353022679145873,-6.787696739224237,-7.4350617473805
-7.529335767399033,-7.460722687886014,-7.336288401063439,-7.265578191161519,-6.448030782219999,-7.477107642156673
-7.509956992248012,-7.5307735225470225,-7.282127361367654,-7.265578191161519,-6.39308459841821,-7.521666783289325
-7.529240408197638,-7.436552920580598,-7.271152628243778,-7.359467009597369,-6.79938457353653,-7.532113386268019
-7.447268362024006,-7.497143807315646,-7.3165613795539475,-7.389030758877709,-6.626711496919205,-7.532113386268019
-7.3726339179808305,-7.54642335514521,-7.427225342859187,-7.4394311253106435,-6.777954101383313,-7.532113386268019
-7.389921597993799,-7.573107749391857,-7.457010612720373,-7.474280665697714,-6.824776386292903,-7.58887054944573
-7.421845154691149,-7.589335636530755,-7.332483460309306,-7.53603240003024,-6.859304828978519,-7.556684430593779
-7.4767056703793475,-7.585039433829795,-7.371733982933645,-7.47077002291505,-6.80278093465433,-7.570430488468495
-7.521352520581282,-7.604661908990256,-7.371733982933645,-7.527997038891953,-6.66905826935337,-7.616263939006389
-7.540512140976579,-7.604661908990256,-7.438875052798162,-7.547700698018204,-6.8700300488330095,-7.660193084852349
-7.540512140976579,-7.63397748689136,-7.36916410173389,-7.539792000457808,-6.892203074776568,-7.660193084852349
-7.5579178877508415,-7.657551735961757,-7.404796457139547,-7.5644841420417634,-6.793145837919282,-7.670936760135616
-7.60065497697255,-7.6773184123127365,-7.4656661602300725,-7.5644841420417634,-6.855585626142216,-7.626922399456852
-7.632293889644519,-7.715907151627602,-7.49162806693647,-7.595798449333828,-6.761587621686986,-7.078572131464356
-7.648753871603138,-7.715907151627602,-7.508538899129912,-7.653692226345138,-6.8912739903785925,-7.269233660055695
-7.08957395451382,-7.715907151627602,-7.294241312244392,-7.06767849288018,-6.398211113644412,-7.269233660055695
-7.261473206433244,-7.736528162281105,-7.294241312244392,-7.06767849288018,-6.982507460936088,-7.269233660055695
-7.34951620232227,-7.714554631737984,-7.470662760497914,-7.279052679591741,-6.55457041559212,-7.3954452864853
-7.3174258669202725,-7.595797983601177,-7.51905021729648,-7.279052679591741,-6.815631760133258,-7.437759657519323
-7.232583786111637,-7.610450123164495,-7.574940432156049,-7.4155202718151365,-6.8007951324036755,-7.529185414150541
-7.232583786111637,-7.624545036844121,-7.455189635423019,-7.475816026214483,-6.830233354670024,-7.529185414150541
-7.232583786111637,-7.560393185185815,-7.528413260210743,-7.503887627537051,-6.896263854289015,-7.577317922580304
-7.2819289021117095,-7.560393185185815,-7.596163587134772,-7.552537516543694,-6.80750368881077,-7.594542534729006
-7.4024331491534054,-7.560393185185815,-7.596163587134772,-7.552537516543694,-6.732118771290651,-7.610118830245517
-7.464131649273104,-7.2962881642246575,-7.609088255277009,-7.509017541615575,-6.763979851155946,-7.607994391795148
-7.490441430579419,-7.430801353915167,-7.609088255277009,-7.440069156583168,-6.834919347835366,-7.635037549841862
-7.4736844248749685,-7.430801353915167,-7.513584425533592,-7.473563335419814,-6.864183952088962,-7.574556906695894
-7.499064771538503,-7.5796107534153965,-7.554044772149602,-7.473563335419814,-6.885428085651108,-7.601326765887338
-7.5210020783942335,-7.341985230148211,-7.586190136937191,-7.506955008912832,-6.957337878616173,-7.629619159162337
-7.558940496987219,-7.380461032209699,-7.612654029401631,-7.532868657763779,-6.626674466116643,-7.559208303374978
-7.57539451667863,-7.437637511941664,-7.469882478585814,-7.473539546366253,-6.852854569218018,-7.566050388325339
-7.616138823580159,-7.378196011306871,-7.518438598984147,-7.473539546366253,-6.942270841484522,-7.562324193848671
-7.627291964968343,-7.4280215311138535,-7.518438598984147,-7.539567182605115,-6.803510434858357,-7.528699130071308
-7.637351042433435,-7.4638313150897755,-7.518438598984147,-7.558318785459945,-6.822223674130335,-7.498693819665032
-7.654581309813406,-7.461486623558435,-7.518438598984147,-7.515850339107137,-6.365733893763721,-7.498693819665032
-7.654581309813406,-7.478142342960559,-7.539147261314683,-7.546119314478616,-6.891828824631814,-7.561876610433459
-7.661942516444533,-7.504687454248629,-7.555376741800919,-7.559639473119825,-6.850102784361843,-7.6013054030012075
-7.668591387547057,-7.539412772525096,-7.555376741800919,-7.5838300160098,-6.861049517562459,-7.6089946434547455
-7.593057131237714,-7.421615681558414,-7.555376741800919,-7.5838300160098,-6.622876097223845,-7.475493552856021
