right 1,left 1,right 2,left 2,right 3,left 3
-14.017362993248831,-14.001686756480153,-13.993630932968259,-14.000498385101087,-12.354100435383051,-13.970147289783712
-16.439509360788087,-17.59598713355524,-17.607624750589444,-17.653052662828966,-17.620694485282073,-17.624977671026237
-16.05319876422375,-17.571655719266726,-17.607624750589444,-17.617304869788647,-17.670876275127977,-17.17976503270788
-16.61595195709546,-17.378259841287036,-17.650885913214854,-17.617304869788647,-17.703150240432137,-17.408929406579592
-17.26491851741119,-17.315407522987613,-17.725674530344367,-17.555125666201715,-17.75406193761588,-17.515946103852954
-15.876285890271475,-17.558305070443367,-17.725674530344367,-17.555125666201715,-17.767884052500587,-17.47284284087724
-15.879120694324747,-17.558305070443367,-17.751338819843482,-17.555125666201715,-17.778922921523694,-17.481517803164397
-17.262167304209715,-17.251797643303004,-17.76890565987359,-17.330224373036312,-17.27752951998889,-17.480706267305166
-13.975293487290731,-17.458550331970706,-17.75658439165335,-17.473392448151287,-17.36108976685587,-17.397734277835838
-17.40036129313168,-17.40391611956151,-17.72032046836334,-17.46185669945589,-16.167843098642535,-17.37911988178808
-17.41417042957796,-17.476065266861433,-17.69503170607595,-17.46185669945589,-15.563118533887838,-17.49436321805728
-17.15414624952706,-17.476065266861433,-17.673757138307018,-17.421350037780602,-17.42760516915773,-17.534926118806585
-16.223337347197862,-17.535439242373254,-17.606116655711503,-17.421350037780602,-17.439483512811236,-17.54455708887609
-17.051103143286923,-17.535439242373254,-17.569520081480828,-17.431499408465264,-17.44900151764318,-17.54455708887609
-16.891501333186895,-17.494953037263,-17.558734601957244,-17.435681588395997,-17.40961897956116,-17.414916992974526
-16.30301465051824,-17.418598110541023,-17.558734601957244,-17.488774959302624,-17.39503226276103,-17.476770263967893
-17.299236340496524,-17.376087057132512,-17.53453229842708,-17.453439426057244,-15.862978912621466,-17.447141748370946
-17.424831859124758,-17.467811677814144,-17.53453229842708,-17.467944957820983,-16.765735053850054,-17.453348728519497
-17.42554687272748,-17.444360701827346,-17.510997055054045,-17.43695285519443,-16.765241181163454,-17.47186365082845
-17.42611504488675,-17.444360701827346,-17.503335549761783,-17.419845591106142,-16.892400303772252,-17.228620878972887
-17.426359698140182,-17.44800699228105,-17.409128231475325,-17.419845591106142,-16.783671925616254,-17.5291589522957
-16.64148912141465,-17.496375694175377,-17.431027078762167,-17.575603935754504,-17.457276833809328,-17.519111493523436
-16.437338768062805,-17.537245001208277,-17.431027078762167,-17.518233997179575,-17.457276833809328,-17.488236202315434
-16.930349565366893,-17.520175793401624,-17.43445244798905,-17.518233997179575,-17.302408610735384,-17.493342750774303
-17.239501292873634,-17.509622655921767,-17.436878487783382,-17.404009761391396,-17.35187348887012,-17.493342750774303
-17.287673995316624,-17.524567417493753,-17.440848506023492,-17.411979545309322,-15.656347464083586,-17.46475907623659
-17.424536227145992,-17.470944798016454,-17.43659683162429,-17.490164569947847,-16.79363717809614,-17.46475907623659
-17.42394146375728,-17.39378178062449,-17.43659683162429,-17.458864250312,-16.215846686470755,-17.32984531726448
-17.42407550740256,-17.439545188711243,-17.435293211768194,-17.4770564010506,-16.39024194090593,-17.29705202254229
-17.42407550740256,-17.277552941440195,-17.43335562529485,-17.416718860214477,-15.186730981515462,-17.420417701243387
-17.424461374135706,-17.31642614424566,-17.293146044161944,-17.318745648625598,-16.594566778487277,-17.287846393319622
-17.42468497679552,-17.376302655782446,-17.35866313753335,-17.403521484152918,-16.571293900321898,-17.32341687709945
-17.44108405490206,-17.411889238050534,-17.287829774145074,-17.420793834787613,-17.109008182767713,-17.40696858634179
-15.743365476011268,-17.357651831845498,-17.358318875960293,-17.420793834787613,-17.363003163536682,-17.40696858634179
-17.411739482154964,-17.55658835019556,-16.457898928172632,-17.38608095892247,-17.114768446153402,-17.458356977853036
-17.415113063826244,-17.41015046456612,-17.344931860554745,-17.383373541133512,-16.001568791059157,-17.490530607289763
-15.131055351469417,-17.345425171203885,-17.33407244815729,-17.41714646253396,-17.350403075370433,-17.43129577610234
-16.341258861356444,-17.382347736187562,-17.21349000564845,-17.473366234013987,-17.364613841284147,-17.21085471196034
-17.352116731919253,-17.416146010636055,-16.50274429863576,-17.483418227838797,-17.375902478752167,-17.236684162785718
-17.160488842830084,-17.426599699551353,-17.379684911837813,-17.483418227838797,-17.39319587656365,-17.40212803114431
-15.72729959866478,-17.44984147455004,-17.382268077713487,-17.406672105058615,-17.400081024817656,-17.39391909077037
-16.728884193284088,-17.139769356537915,-17.38693508241175,-17.395229406990484,-17.400081024817656,-17.379740173562087
-16.64020805794162,-17.394572873124503,-17.394670643340472,-17.370746165913104,-17.401212652715607,-17.427954123243378
-17.41065185195763,-17.477513587965085,-16.959765165471246,-17.408461473580807,-17.40641613716842,-17.47614003100029
-17.41065185195763,-17.38328513492681,-17.27636806626741,-17.30559029326224,-17.41526229396099,-17.368601144253084
-17.412601204365895,-17.35561651039839,-16.347895048013417,-17.42896527443495,-17.42041762563057,-17.429363452332538
-17.411045340067016,-17.32722597828731,-16.62018347979584,-17.324961202550586,-17.312361128613176,-17.187986148374513
-17.411045340067016,-17.416924210768293,-16.52024719256665,-17.455922069239435,-17.398802624565754,-17.450383610898847
-14.72885614648458,-17.451251453377417,-17.331905256451904,-17.33105162848943,-17.365805860144334,-17.450383610898847
-17.37005461979257,-17.448989461440064,-15.122656490692055,-17.44616769249898,-17.3781310858585,-17.44201257115031
-17.37331454521067,-17.409330615721004,-15.907394698199852,-17.44616769249898,-17.383050588331724,-17.477707669141463
-17.378776316784933,-17.441647556936775,-17.32159969333187,-17.461085291804828,-17.387287535991067,-17.3447581341882
-17.38034212872754,-17.325062322972546,-17.17391772021708,-17.442015282236273,-17.181782543182486,-17.388283597938113
-17.386969586555157,-17.419058822286683,-16.054957832365268,-17.372912041215386,-17.19941774370543,-17.36926626135086
-17.386969586555157,-17.361347010768945,-17.203133411618047,-17.43256620920141,-16.34402903175316,-17.395457982998032
-17.391072841274944,-17.38783672706634,-16.291951776744888,-17.486428784752544,-17.388552572289658,-17.391283155387033
-17.392366830202842,-17.403984236317346,-17.135827603909412,-17.376754505206264,-17.3102725324353,-17.392475403148417
-17.39548640350391,-17.53440547217664,-17.385550689761814,-17.40076186340581,-17.025964407449514,-17.46219121831449
-17.397607746639537,-17.396507502528486,-16.692602671135038,-17.45318945936877,-17.393983410718874,-17.384448417593287
-17.398510459839784,-17.370959528337554,-16.516415192788592,-17.467935607160648,-17.404831849499413,-17.357699316114267
-17.398534162986934,-17.414569334261433,-16.317170841000465,-17.400601981970812,-17.404831849499413,-17.440341616798154
-17.414162048196093,-17.416402463050996,-16.523591892282322,-17.414557457601916,-17.409804971955236,-17.441578710407395
-17.419105731139403,-17.30973794630339,-17.037074064777137,-17.3851872606462,-17.408925246760866,-17.324699372701478
-17.419345130207077,-17.46999461731881,-16.574303144190125,-17.36241021188215,-17.409528297338476,-17.42088071731613
-17.41731033487769,-17.46999461731881,-16.96285169162345,-17.372634145886167,-17.409528297338476,-17.33800755627155
-17.32202501169719,-17.50675651015346,-15.364673495239623,-17.38298785840254,-17.40993206297542,-17.33800755627155
-17.364350854472686,-17.387769190669765,-15.712932995811665,-17.369960141137412,-17.36277764708603,-17.46352032982738
-17.369728847094105,-17.371354860755687,-16.10749076710327,-17.369960141137412,-17.379254656090176,-17.46352032982738
-17.383271828991226,-17.436701838890983,-17.018040935795153,-17.48116657645419,-17.385178174289834,-17.48149259194026
-17.370922271529345,-17.38962819965391,-17.374273082271962,-17.41641468587966,-17.29881258392283,-17.433548655294807
-17.370922271529345,-17.40568233627852,-17.380039918590512,-17.41641468587966,-16.16527955632516,-17.401626627489907
