right 1,left 1,right 2,left 2,right 3,left 3
-6.530876440651381,-6.5879062236312755,-5.589419389382812,-6.562966425098208,-6.578819565106513,-6.5392558836557315
-6.797628507687748,-6.771690367084934,-6.760040676998431,-6.770189148354056,-5.510702125275397,-6.789319522883011
-6.9307567360450255,-6.963939522035707,-6.988232995214312,-6.936414128880132,-6.330306237327831,-6.9998968380743385
-7.002812166728952,-7.0228414042936835,-7.063881334278689,-6.922923392483759,-5.862962976423074,-6.9857253893037825
-7.035125956973091,-7.108058148651369,-7.101696414918818,-6.971639872489658,-6.072950190040875,-6.9857253893037825
-7.075952966955917,-7.232221831134931,-6.879517566854009,-7.014586462523289,-6.523167129718566,-6.968887426358478
-7.149205500969076,-7.208662932250777,-7.026782371715686,-7.210650572789399,-6.146145911812299,-7.013080757263337
-6.990444649559953,-7.2702400173912585,-6.8634583858131855,-7.210650572789399,-6.403250475391913,-7.039464810747829
-7.0175301608747525,-7.296169805476707,-6.938895632111063,-7.210650572789399,-6.4376377775777565,-7.172243727877628
-7.0175301608747525,-7.296169805476707,-7.009372851594695,-7.210650572789399,-6.6163280857417295,-7.190867396199033
-7.0175301608747525,-7.299243849077646,-6.864219698569477,-7.210650572789399,-6.639056115533591,-7.234641119049519
-7.181639370595599,-7.070708008331331,-7.053000437898744,-7.254334025226397,-6.575108696624344,-7.231266134756014
-7.181639370595599,-7.070708008331331,-6.930392955681917,-7.304291027678838,-6.556087739034103,-7.231266134756014
-7.181639370595599,-7.158268357198609,-6.930392955681917,-7.282294862900105,-5.956740247798471,-7.314686460172278
-7.291987030931048,-7.2246341680626545,-6.901991673275904,-7.322477259100723,-6.823841669882664,-7.350966782868252
-7.351638449286077,-7.326143879350312,-6.9137623684699925,-7.235475949917754,-6.553061889109878,-7.189064869285268
-7.4028036673568245,-7.326143879350312,-6.893661152346798,-7.218819590973366,-6.392722888494291,-7.270548075001805
-7.425067372156783,-7.394482714617819,-6.844293326868064,-7.324141815677168,-6.488561289012977,-7.309191622082586
-7.425067372156783,-7.394482714617819,-6.998284039400026,-6.995036657856199,-6.566976532899926,-7.309191622082586
-7.413367798038024,-7.394482714617819,-7.128826643952458,-6.937838508601901,-5.992208120139959,-7.333938865425598
-7.4359095455874975,-7.394482714617819,-7.133799030032712,-7.075466487488213,-6.618743304156302,-7.401136293776213
-7.456603619671045,-7.452417917532281,-7.235326301998664,-7.146873597562977,-6.923673118150028,-7.250453425448216
-7.441298856279542,-7.267932112936061,-7.3208699312684065,-7.237938068417799,-6.674110113369091,-7.295712604785351
-7.462571855326387,-7.267932112936061,-7.39329289874566,-7.28245237114616,-6.617683858865112,-7.369398882519629
-7.423779080838863,-7.267932112936061,-7.453416085970909,-7.328500146182444,-6.86171025209743,-7.428223506186519
-7.469107965496068,-7.34505642944207,-7.365901997747214,-7.35581148606464,-6.761459794789075,-7.4919366139526815
-7.469107965496068,-7.391377610568178,-7.1511166450095445,-7.458276597433271,-6.761119882131757,-7.517358273208919
-7.378444459907096,-7.391377610568178,-7.1511166450095445,-7.505444696348256,-6.774772524123689,-7.517358273208919
-7.378444459907096,-7.459892249984818,-7.1434576638990315,-7.454229893332577,-6.865050317493663,-7.556379117928694
-7.407410185714007,-7.484384734065946,-7.206964041783689,-7.285510552584023,-6.7731624279005995,-7.556379117928694
-7.407410185714007,-7.502190342621454,-7.304388166867044,-7.285510552584023,-6.856227226136658,-7.556379117928694
-7.4340354045273696,-7.543042615598394,-7.225538627513821,-7.269421873768825,-6.878984840807915,-7.574671950608568
-7.3680172954681264,-7.543042615598394,-7.373553550265337,-7.35065807167847,-6.708835135091903,-7.5901630451318285
-7.359246877853143,-7.530135985698551,-7.4336152409031575,-7.35065807167847,-6.845247729314429,-7.574690966380983
-7.448464774212499,-7.552363884686464,-7.482378791183871,-7.4349870268474,-6.9109154424959325,-7.574690966380983
-7.453119018147516,-7.5718546948453485,-7.506662575025522,-7.469453724743598,-6.8036088978369325,-7.600386627587659
-7.453119018147516,-7.604669061194247,-7.528461662270788,-7.529304455735328,-6.86409411724031,-7.631366121482589
-7.492413477015815,-7.467691752518322,-7.59586485981744,-7.5138775169653895,-6.615848995988281,-7.640481133274869
-7.564639595651608,-7.441789091722452,-7.518048611722937,-7.13891884228205,-6.840293219425933,-7.640481133274869
-7.564639595651608,-7.485941763919096,-7.432907188649669,-7.25792858221039,-6.830458463457259,-7.659804092677379
-7.59174148305052,-7.536119073030161,-7.462133333965069,-7.271903794285727,-6.890748578904712,-7.68675250156789
-7.59174148305052,-7.52803550675072,-7.533393695001368,-7.31568449863652,-6.817521363265663,-7.608441629304326
-7.57014923705383,-7.571702855549827,-7.552572279189651,-7.361178890680303,-6.799591636392552,-7.622647091926757
-7.584202677714086,-7.550272259442446,-7.599370596760398,-7.426801922776311,-6.6450531197372475,-7.622647091926757
-7.596875183200856,-7.567824955144809,-7.599370596760398,-7.421143893646299,-6.911962672452025,-7.653170464432071
-7.608490318511451,-7.5236523502422035,-7.611978830993243,-7.496872984872672,-6.803901991548428,-7.653170464432071
-7.608490318511451,-7.5236523502422035,-7.623329934875993,-7.612645459001149,-6.8904200138080425,-7.589873725420057
-7.45856119639141,-7.565629267396569,-7.263942624078898,-7.62937826825556,-6.860042936768129,-7.654300322122574
-7.484186449057569,-7.565629267396569,-7.263942624078898,-7.641043100495827,-5.887535948545884,-7.680491825598179
-7.419959652952986,-7.609658402601025,-7.35157025620929,-7.641043100495827,-6.879009802423337,-7.6336370736709025
-7.444072189832202,-7.609658402601025,-7.388941718434249,-7.6559531631190305,-6.8196998022448145,-7.662051100827555
-7.444072189832202,-7.649698860047672,-7.452873187299649,-7.660140247100712,-6.83433878941763,-7.671656496060919
-7.471454793025135,-7.668405226980334,-7.526715532389894,-7.614322348532177,-6.790226508836447,-7.671656496060919
-7.471454793025135,-7.668405226980334,-7.546592812035753,-7.4857951136198775,-6.855651043244044,-7.687771181920414
-7.496373369591555,-7.72457028556641,-7.594625540513082,-7.4881904811193705,-6.830245240376641,-7.599551509153587
-7.5391298141044,-7.734697534564644,-7.607711240332768,-7.521836378739156,-6.528226174607118,-7.599551509153587
-7.557427201043736,-7.739309202927084,-7.61947719931775,-7.577326500115186,-6.756403126239477,-7.644264247439541
-7.557427201043736,-7.749227045422702,-7.630044021332752,-7.442981206990353,-6.401850943336759,-7.625426268537944
-7.5456412009484595,-7.7424683934305625,-7.641373276501502,-7.4545560690585875,-6.765519533211299,-7.55936559463694
-7.56338207267573,-7.701216417543709,-7.664106001510924,-7.4545560690585875,-6.904915364368189,-7.529757350194353
-7.606940077029147,-7.706562526220261,-7.6806817258903175,-7.4545560690585875,-6.797782658440971,-7.547825523452243
