right 1,left 1,right 2,left 2,right 3,left 3
-4.450907883273665,-4.478477617986202,-4.460952925823211,-4.45099778997543,-4.421220380015121,-4.494921463169859
-6.053797185694278,-6.042300155678639,-6.070695602142416,-6.055375601596348,-6.047919010810256,-6.057715596098482
-7.286013471334711,-7.52423047078206,-7.566780789686171,-7.567233456288548,-7.548626401993436,-7.5934564273684755
-8.73006481979325,-8.768884442137278,-7.846486262376557,-8.761676035366992,-8.737137437977026,-8.7815085661577
-9.063121556299423,-9.077098277331642,-6.773685064813162,-9.076602252302857,-9.029045178718023,-9.04808269605244
-9.459734481182435,-9.495166477146485,-7.327715732729475,-9.507290490123069,-9.449421664779132,-9.50193367246364
-9.561338941393352,-9.585671310669339,-9.568651703814458,-9.495522430406838,-7.456469906828568,-9.592431738791175
-9.561338941393352,-9.585671310669339,-9.568651703814458,-9.586026907976432,-8.403415224679822,-9.534307877951152
-9.603112178184606,-9.566414843776604,-9.040472588840098,-9.586026907976432,-9.386901540971321,-9.534307877951152
-9.603112178184606,-9.51571420651367,-8.649146277546556,-9.62469855348024,-9.52583102953707,-9.534307877951152
-9.603112178184606,-9.51571420651367,-8.822141984757277,-9.665361760254509,-9.52583102953707,-9.534307877951152
-9.607743417547406,-9.585206304717815,-9.527644465382021,-9.665361760254509,-8.675747612588292,-9.534307877951152
-9.617199340461104,-9.585206304717815,-7.702600871615933,-9.685612281214366,-9.53429312833984,-9.586118423423146
-9.617199340461104,-9.585206304717815,-8.693515331602372,-9.685612281214366,-9.53429312833984,-9.529575597991448
-9.617199340461104,-9.585206304717815,-9.12315396445434,-9.613617980009861,-9.541507109976498,-9.529575597991448
-9.617199340461104,-9.585206304717815,-8.520985878427943,-9.613617980009861,-9.541507109976498,-9.407187027112986
-9.617199340461104,-9.654910096633271,-9.051689484381642,-9.643227892585314,-9.554085945314961,-9.588282060245787
-9.617199340461104,-9.621826436486067,-8.318426199355276,-9.667506515946904,-9.567521958958217,-9.588282060245787
-9.627555520933784,-9.415099472356136,-8.41466844252755,-9.667506515946904,-9.567521958958217,-9.6220311511025
-9.627555520933784,-9.596178688510896,-8.871804829346136,-9.731793798531829,-9.567521958958217,-9.6220311511025
-9.627555520933784,-9.667719316161106,-9.197804232039669,-9.731793798531829,-9.570646923833992,-9.51432537370424
-9.627555520933784,-9.667719316161106,-9.578596235501307,-9.78290643568328,-9.42181871991431,-9.584436880569605
-9.627555520933784,-9.648782737625474,-9.578596235501307,-9.78290643568328,-9.160115349575658,-9.584436880569605
-9.627555520933784,-9.648782737625474,-9.578596235501307,-9.78290643568328,-8.775960316145877,-9.584436880569605
-9.627555520933784,-9.707145665432833,-9.578596235501307,-9.78290643568328,-9.134140822226334,-9.584436880569605
-9.627555520933784,-9.707145665432833,-9.578596235501307,-9.533508148182989,-9.314125807914674,-9.584436880569605
-9.631183213523652,-9.722434261153571,-9.578596235501307,-9.474691507032762,-8.232398843960668,-9.555225514919941
-9.493031859679801,-9.722434261153571,-9.578596235501307,-9.56521681552573,-8.869535587304558,-9.555225514919941
-9.56014057808173,-9.714230627894821,-9.578596235501307,-9.56521681552573,-9.27040825067705,-9.555225514919941
-9.56014057808173,-9.728821811918863,-9.578371264836578,-9.56521681552573,-7.7985438926847195,-9.555225514919941
-9.573663638893384,-9.728821811918863,-9.578245255161605,-9.655651598710204,-9.241691937062201,-9.600515770944437
-9.58548325368006,-9.728821811918863,-9.578245255161605,-9.655651598710204,-9.480981993037517,-9.640146511705764
-9.58548325368006,-9.728821811918863,-9.579106956070387,-9.655651598710204,-8.335458443868433,-9.640146511705764
-9.594707656294883,-9.807151966082678,-9.579106956070387,-9.579227349646432,-8.698517500935868,-9.640146511705764
-9.594707656294883,-9.807151966082678,-9.579106956070387,-9.579227349646432,-9.083424916437272,-9.640146511705764
-8.676105858480375,-9.880178212421537,-9.579106956070387,-9.579227349646432,-8.923537530612837,-9.59406040539033
-9.41616905698351,-9.88332090820506,-8.803104758089045,-9.579227349646432,-9.404040832985078,-9.600852131615335
-9.327534408434046,-9.910812651680537,-9.45464996493439,-9.579227349646432,-9.480043353625458,-9.600852131615335
-9.505160672456649,-9.840270368748174,-9.49817098031391,-9.657077099682128,-9.494913757309405,-9.64071901312074
-9.518359879012179,-9.840270368748174,-9.05031472774927,-9.657077099682128,-9.506079695154627,-9.64071901312074
-9.518359879012179,-9.840270368748174,-9.517102363933564,-9.657077099682128,-9.058008246759396,-9.64071901312074
-9.518359879012179,-9.840270368748174,-9.521571377452226,-9.657077099682128,-9.09240470034445,-9.662403003902458
-9.518359879012179,-9.840581556819041,-9.52586244473413,-9.72524005492657,-8.469631488153835,-9.662403003902458
-9.552306827973823,-9.840581556819041,-9.19806338690347,-9.72524005492657,-9.553101501291296,-9.17426960346648
-9.343064859351445,-9.809389036073368,-8.683025717983194,-9.72524005492657,-9.558947354837791,-9.537027933882328
-9.507263378052553,-9.809389036073368,-9.042922573736583,-9.786822671468606,-9.558947354837791,-9.514033864449422
-9.507263378052553,-9.809389036073368,-9.100772182192438,-9.786822671468606,-9.558947354837791,-9.514033864449422
-9.507263378052553,-9.809389036073368,-9.409508760750057,-9.796789401346874,-9.42209422114705,-9.533266507043901
-9.507263378052553,-9.54227637200545,-9.500889615221073,-9.82342333211997,-8.215052556556062,-9.649117437451121
-9.507263378052553,-9.54227637200545,-9.500889615221073,-9.82342333211997,-9.157228413253051,-9.260421076767207
-9.516213289717612,-9.54227637200545,-9.520857550616217,-9.816570065126465,-9.294695591762789,-9.565829239627462
-9.245534815708831,-9.600109125457601,-9.525205447206483,-9.812698145440173,-9.462696892710454,-9.565829239627462
-9.487763909997355,-9.58408661573427,-9.525205447206483,-9.812698145440173,-8.810615798474746,-9.565829239627462
-9.487763909997355,-9.58408661573427,-9.525205447206483,-9.812698145440173,-8.822952757734809,-9.589532714870186
-8.506066863900957,-9.58408661573427,-9.525205447206483,-9.812698145440173,-9.513902876587093,-9.610167687774801
-9.437419521767449,-9.650990066261919,-9.525205447206483,-9.812698145440173,-9.513902876587093,-9.610167687774801
-9.565931064969,-9.73146957896525,-9.563527944675997,-9.812698145440173,-9.352207344937405,-9.610167687774801
-9.56905059668785,-9.73146957896525,-9.568525170172393,-9.932336906315564,-9.095371875380126,-9.610167687774801
-9.56905059668785,-9.73146957896525,-9.395213086490942,-9.932336906315564,-8.936401196959075,-9.667110976388136
-9.584530524986599,-9.73146957896525,-9.518141735311978,-9.932336906315564,-9.516375991033783,-9.641879324471887
-9.61107468508662,-9.73146957896525,-9.538218650682191,-9.932336906315564,-9.225514730587255,-9.68730634299599
-9.615626488815572,-9.73146957896525,-9.280896902297908,-9.932336906315564,-9.55332954725262,-9.721439723111573
-9.615626488815572,-9.78737210715817,-9.035138907540803,-9.949046686869373,-9.555268149366283,-9.483784902065885
-9.615626488815572,-9.78737210715817,-8.962109023569829,-9.949046686869373,-9.555268149366283,-9.57430111716382
-9.615626488815572,-9.78737210715817,-9.557403967083818,-9.949046686869373,-9.314396120367174,-9.57430111716382
-9.613224198278257,-9.78737210715817,-9.557403967083818,-9.949046686869373,-8.737250055653309,-9.610540312861202
-9.6109027113408,-9.78737210715817,-9.557403967083818,-9.949046686869373,-9.230289415784195,-9.610540312861202
-9.677994597839241,-9.838811649875359,-9.558496663119394,-9.99302138605369,-8.901146982157105,-9.610540312861202
-9.677994597839241,-9.87214731963965,-9.559556550849697,-9.99302138605369,-9.28241904643036,-9.610540312861202
-9.677994597839241,-9.87214731963965,-9.559556550849697,-9.99302138605369,-9.1190001208398,-9.610540312861202
-9.677994597839241,-9.87214731963965,-9.559556550849697,-10.054634376608256,-9.237810124024678,-9.610540312861202
-9.677994597839241,-9.897692596811257,-9.559556550849697,-10.054634376608256,-7.967926989437833,-9.664062444488003
-9.672533384469371,-9.897692596811257,-9.559556550849697,-10.054634376608256,-9.470046038619556,-9.664062444488003
