right 1,left 1,right 2,left 2,right 3,left 3
-7.488646834745639,-7.505210133355344,-7.5073499547705485,-7.529484040398405,-7.476701445890012,-7.517250991697434
-9.52288474009331,-9.534901240919416,-9.491578138482245,-9.550363896818501,-9.31685470642643,-9.559322930807955
-9.464790567968112,-9.609753353991682,-9.512596252425267,-9.458523120282043,-9.407866564555137,-9.620766853094276
-9.486087611987841,-9.609753353991682,-9.512596252425267,-9.558635814181802,-8.287184035919704,-9.613210211350896
-8.3162132878961,-9.236672778149217,-9.39033832825283,-9.643299968605264,-9.521443750693205,-9.666706383904911
-9.483457339212233,-9.50869056059643,-8.816602947926599,-9.662419755952461,-9.526152007685717,-9.5497257094324
-9.491138763345585,-9.439272943677597,-8.966620353586777,-9.72224697354734,-9.526152007685717,-9.5497257094324
-9.36924271183577,-9.473558969513164,-9.454932129070858,-9.481386056904402,-9.467192436885005,-9.597031917530826
-9.530269702608697,-9.568586281185915,-9.212604670061584,-9.53676691218012,-9.511601701210735,-9.597031917530826
-9.539432710214642,-9.545373466403724,-9.21278537023781,-9.53676691218012,-9.529331230980608,-9.616690967605079
-9.513742830233754,-9.57793721254949,-8.42222446503772,-9.53676691218012,-9.538385630746816,-9.634844791692382
-9.539251322496128,-9.57793721254949,-9.108598712325666,-9.643649865429003,-9.501335762736772,-9.683825485628264
-9.5449042847634,-9.57793721254949,-9.505408973383341,-9.602727078955889,-8.988855867758549,-9.492287310342308
-8.44280789128566,-9.633353174431658,-9.545160801699817,-9.409146171048096,-9.545633590357914,-9.77094355751441
-9.554836370367514,-9.7033485333602,-9.5539956504329,-9.692014454160324,-9.196954673687184,-9.729561448910632
-9.55306921532725,-9.635367733028303,-9.361631152164334,-9.677820785269017,-9.474641883464109,-9.729561448910632
-9.558676065884,-9.708737458559009,-9.540513873946155,-9.69534481439247,-9.457212348793504,-9.760548887248877
-9.561262370818717,-9.776340964246097,-9.540513873946155,-9.69534481439247,-8.9742833000579,-9.81072980986718
-9.563439395888794,-9.765920234306288,-8.944813167881213,-9.54861725506565,-9.545581774150477,-9.81072980986718
-9.088440624321798,-9.767589732590386,-9.523183660889641,-9.675785633210285,-9.564652818445966,-9.81072980986718
-9.553036996878555,-9.767589732590386,-9.400727872538111,-9.718437390060119,-9.5675534376512,-9.867823913215295
-9.584013744715554,-9.48154195235475,-9.205132406539505,-9.83458066190925,-9.476175322149142,-9.937345018362862
-9.584013744715554,-9.693231959620034,-9.184342770104617,-9.591731755228231,-9.534509456352746,-9.909596255299386
-9.582557913203114,-9.693231959620034,-9.541621708158061,-9.622241023346879,-9.01872469488204,-9.909596255299386
-9.581930619947753,-9.55964790515441,-9.554834551514713,-9.5812123808643,-9.369544873062335,-9.909596255299386
-9.55672325612108,-9.55964790515441,-8.876267104464782,-9.668241673195961,-9.555142221933908,-9.909596255299386
