right 1,left 1,right 2,left 2,right 3,left 3
-7.614604593391529,-7.630922173586504,-7.64369800088122,-7.635513612334796,-6.48048975650341,-7.666883025361167
-8.684322789398161,-9.336644542341514,-9.481566178055985,-9.479508975970756,-9.458751500711553,-9.484660435064741
-9.522690798014724,-9.550175728679873,-9.533101240266143,-9.578888888434278,-8.340801332774582,-9.574665780179371
-9.528135026737482,-9.5689383442498,-9.540887706872727,-9.59179144843078,-8.338564078652587,-9.574665780179371
-8.812375331736577,-9.579648151800289,-9.545951945367573,-9.5988905575747,-9.531481506664754,-9.574665780179371
-8.380012068051053,-9.584311181561008,-9.548028761546371,-9.613343117191958,-9.541930557920022,-9.547960278113484
-8.533868794254648,-9.616813354739246,-9.364068159649875,-9.681515004405789,-9.345385120592299,-9.362033673815853
-9.485011740429464,-9.616813354739246,-8.934738119143082,-9.681515004405789,-9.473539149017965,-9.537893371022436
-8.840538244041282,-9.65660650330878,-9.526224471459178,-9.734684638925232,-9.35340565247907,-9.5327018406096
-9.51403155520596,-9.523003398249847,-8.695952556152218,-9.794162196737483,-9.51686685120408,-9.5327018406096
-9.553596534781722,-9.606058991710706,-9.553782993037498,-9.820020963248778,-9.492563283205314,-9.635917685904765
-9.302280859381181,-9.703193040547529,-9.50983969228695,-9.559855303899763,-8.401318252618033,-9.635917685904765
-9.542918553901393,-9.70987566153382,-9.526159867222768,-9.612584134364619,-8.652799492810693,-9.617296201704226
-9.542918553901393,-9.734001906162959,-8.857292038351472,-9.547852426763358,-9.53957337188721,-9.653663217392257
-9.542918553901393,-9.842634100319112,-8.92926678506327,-9.545105183666559,-9.550954275572778,-9.666178455464518
-9.51725512964099,-9.842634100319112,-8.883360048652584,-9.250662162062678,-9.554346762166952,-9.666178455464518
-9.010340090471322,-9.525231171144219,-9.526332241776656,-9.568646447855814,-9.519149409888017,-9.72413368362566
-9.56441650787043,-9.710844885620693,-8.719070703773365,-9.69215781009913,-9.530998076960278,-9.767076601444304
-9.582035783190916,-9.666703559155636,-9.453657383095008,-9.69215781009913,-8.509148060355125,-9.767076601444304
-9.466236419961735,-9.709052853868046,-9.541571546943779,-9.63122303349757,-8.90128741336111,-9.66951245933931
-9.407019038477987,-9.797764492585761,-9.19125467736294,-9.63122303349757,-9.53355359978876,-9.549529701631517
-9.588666100608126,-9.82122935390222,-9.522496001279961,-9.677203909598525,-8.900738127430165,-9.60916939246447
-9.585978740459286,-9.890456356589175,-9.521538414266285,-9.830690730027769,-9.549496742422441,-9.654518863051464
-9.583570300478462,-9.902223493142289,-8.442863587874228,-9.847538618963792,-9.551832936194897,-9.654518863051464
-9.58148639067029,-9.972786141728783,-9.39135363579711,-9.982680828925657,-9.556499579039322,-9.673289336405675
-9.581436465817813,-9.830246582658624,-9.466414683961137,-10.040751830793269,-8.280323427112162,-9.766759989812858
-9.579601432471817,-9.898426408659779,-9.551380249740227,-9.774884142964062,-9.167117373720258,-9.783629990133171
-9.633273679601446,-9.960622361099325,-9.553644742317756,-9.756952757128285,-9.398603106140033,-9.818558174917653
-9.606445440296085,-9.98032812012069,-9.554847854902148,-9.756952757128285,-8.195003870425886,-9.919714167274917
-9.615018414194582,-9.914527010441887,-9.556674397252312,-9.739385476003124,-9.15145045051472,-9.939692552177288
-9.621691997500937,-9.959633422951217,-9.557302781488536,-9.804372406654972,-9.305780628361575,-9.823584890209895
-9.621691997500937,-9.982842769873635,-9.495069642175642,-9.804372406654972,-9.549905587550212,-9.823584890209895
-9.61951975585203,-9.982842769873635,-9.557315300438916,-9.851007021465497,-9.478888103626185,-9.86586955613904
-9.618742917685577,-9.764907447755359,-8.938592417379118,-9.869517078151782,-9.546166319710027,-9.845133255895057
-9.605152343754083,-9.852354730568168,-9.493334601285595,-9.900812456964992,-9.53037890802639,-9.586570791056792
-9.60513170364789,-9.95719393372479,-9.380963037453492,-9.94738612271468,-9.553807585745092,-9.621444673905065
-9.601193134575762,-10.003648584479745,-9.043488812804574,-9.982199829335277,-9.554606077096178,-9.708419311994593
-9.649421456780784,-9.505784668049307,-9.50054840953573,-9.962555226691373,-9.535983558441112,-9.75941677558108
-9.649421456780784,-9.612723780987382,-9.496669667469055,-9.93419405652979,-9.029632898933064,-9.788171062350335
-9.644952540685331,-9.634281039266547,-9.542197971139998,-9.965622157181066,-9.453380551315155,-9.904360025616306
-9.549966740263608,-9.69062272485728,-9.550122954086461,-9.727699477092411,-9.296791684350406,-10.02024561109054
-9.556259369076162,-9.761574250416365,-9.554264947583947,-9.597940313065658,-8.626787781549009,-9.992424349882748
-9.556259369076162,-9.818080270514765,-9.515757283152716,-9.597940313065658,-9.480081126453516,-10.03566614095049
-9.225871820233426,-9.86567409655727,-9.538060614815398,-9.731672749362453,-9.529938117270184,-9.90632580398939
-9.561750230918028,-9.86567409655727,-9.543009343526373,-9.731672749362453,-9.32017159399569,-9.991056259912243
-9.564306844889954,-9.775042382324166,-9.558424193511437,-9.79947520440234,-9.171403519618952,-10.02745104725139
-9.578170298660957,-9.82548747564004,-9.55876102407225,-9.833877631792927,-9.41356792940499,-10.013068166728608
-9.584351838381407,-9.82548747564004,-9.101435693515176,-9.896137276389965,-9.559556013358074,-10.038388238588047
-9.588389385163529,-9.887864109474616,-9.560057465017163,-9.948547686102765,-9.200876226956996,-10.10723490838633
-9.588389385163529,-9.887864109474616,-9.560767978832441,-9.99333705129332,-9.075529458222725,-10.10723490838633
-9.588389385163529,-9.911339092591993,-9.565667365003089,-9.99333705129332,-9.260896290691015,-10.141711499001172
-9.559242936679436,-9.981235648653211,-9.565667365003089,-9.99333705129332,-9.271227442244601,-10.141711499001172
-9.604531176280357,-9.913345032974595,-9.565667365003089,-10.019271496987743,-9.440376786537078,-9.96450308698797
-9.60025730939816,-9.913345032974595,-9.565667365003089,-10.019271496987743,-9.344309053915374,-10.010735410537299
-9.59572954968132,-9.82581812175103,-9.56619772038521,-10.041622632876319,-9.460520019983463,-9.797339994177522
-9.59572954968132,-9.732290047439673,-9.546927850176807,-10.041622632876319,-9.551030812482203,-9.860347840458108
-9.574335448385973,-9.800353124646772,-9.564591942363375,-10.048575610908177,-9.291468025750342,-9.914286230246038
-9.574335448385973,-9.916958829518386,-9.564311998043262,-10.086593748507822,-9.345382419609374,-9.68904611537037
-9.551199814151794,-10.048228406910082,-9.532929336298272,-9.846819482433819,-9.53094797835161,-9.767775192993382
-9.600357197772112,-10.05257000562889,-9.530289810568046,-9.940110618960587,-9.552255924856807,-9.874757633226718
-9.61778789941939,-10.05257000562889,-9.555804615498374,-9.909792665144373,-9.476059279319804,-9.93589291337328
-9.612188364316308,-10.05257000562889,-9.55742733195972,-9.909792665144373,-9.150605600904255,-10.00322906282896
-9.564331108041632,-9.889119640620907,-9.405759158573892,-9.908680416823083,-9.48568934421807,-10.121637955562404
-9.564331108041632,-9.838372915659889,-9.546926624704653,-9.962914362285185,-9.546049862744237,-10.121637955562404
-9.569347923821162,-9.891971086384327,-9.552038998915952,-10.00599639884896,-9.404715930518378,-10.104979633179365
-9.35049194756836,-9.927552744524723,-9.523115135877182,-10.00599639884896,-9.22575622469651,-10.104979633179365
-9.500838123879852,-9.99103100643385,-9.486774236492705,-10.038938568460189,-9.552131234962575,-10.092138058262567
-9.601647339584892,-9.843458395584099,-9.008068571998459,-9.973429383090584,-9.553966875152407,-10.130248600098746
-9.605185456199886,-9.876568887683856,-9.559795916793917,-10.051080645047913,-8.999289974349699,-10.130248600098746
-9.560863286668546,-9.923623239142826,-9.573922572048817,-10.08912560330764,-9.32269306522551,-10.150394752909683
-9.579103850021008,-9.958583602639683,-9.579310195226599,-10.082238389965353,-9.42230734301085,-10.097369957843505
-9.613799422310151,-9.993252626974451,-9.581605102940959,-10.124161401887106,-9.487599581857209,-9.941801655349435
-9.60514471026128,-10.002478834149377,-9.581922770897663,-10.155176575230284,-9.410354088271193,-10.029298555181
-9.60514471026128,-10.002478834149377,-9.56012798551344,-10.164349886867523,-9.250410727686418,-10.060736500608757
-9.596967992695328,-10.066440538622818,-9.561840906878802,-9.962259484105987,-9.424973652046129,-10.038010997273542
-9.600420854004515,-10.121269734750388,-9.565946969207808,-9.891191709379013,-9.505244629461345,-9.70918356904884
-9.60407793326517,-9.929370059033074,-9.565946969207808,-9.929923140793772,-9.4742032144814,-9.73143516816789
-9.60708124666512,-9.929370059033074,-9.568807452485528,-9.963206235566272,-9.160118199590983,-9.89208686805215
-9.614073968564044,-9.968716056487409,-9.571484463082417,-9.996385216715286,-8.01183301215144,-9.921109243333142
-9.62530107368606,-9.950534652224995,-9.588530234995662,-9.996385216715286,-9.446178022488745,-9.929515122158834
-9.567014103317884,-9.972071962174958,-9.586471288746662,-10.019506285465594,-8.568941337786539,-9.894844923768801
-9.567014103317884,-9.981338656143805,-9.585003004290336,-10.019506285465594,-9.288962845101175,-9.946361293013744
-9.570811166596934,-9.981338656143805,-9.585003004290336,-9.829124759553258,-9.437638437298848,-9.929076238440816
-9.585992130769563,-9.83651174403542,-9.585003004290336,-9.829124759553258,-9.449753031046303,-10.01791381392417
-9.593222897914728,-9.77958602916965,-9.585313279527876,-9.855964197053742,-9.251068334102511,-10.059391903726038
-9.57243747733881,-9.88742687038816,-9.585313279527876,-9.85857281773149,-9.346865319035006,-10.07669982332613
-9.598012654903147,-9.950505847123551,-8.41897645340105,-9.941102901696421,-9.589431269949625,-10.079030096855481
-9.609923728328662,-9.950505847123551,-9.051436977369315,-9.86692344640366,-9.589431269949625,-10.101320388404046
-9.591746383871996,-9.950505847123551,-9.517985536617742,-9.910451772741787,-9.59214834359251,-10.153374377794957
-9.59421637234789,-9.964101785806799,-9.517945923855034,-9.910451772741787,-9.159593313556506,-10.171332950621228
-9.599391067807444,-9.98497107853813,-9.54636870659212,-9.961118400741325,-9.304044336761205,-10.200688706316441
-9.60395153655483,-9.70752374948128,-9.556667771763221,-10.013480729024982,-9.271183290835001,-10.164623979710438
-9.60395153655483,-9.847708244900655,-9.561690815822097,-10.037356985645348,-9.278721570419544,-10.18846990535452
-9.60981094164074,-9.925256153452535,-9.576269715122017,-10.100635111218281,-9.159845717142943,-10.211538785980661
-9.60981094164074,-9.734581543191924,-9.598881693083609,-10.117518102736101,-9.427369864416745,-10.211538785980661
-9.642025282038789,-9.645029145383136,-9.601534671085703,-10.117518102736101,-9.404522208560632,-10.23122448628771
-9.642025282038789,-9.645029145383136,-9.595395470005709,-10.134753973003699,-9.233105507692025,-10.193810565238232
-9.66314180674866,-9.759236885489688,-9.595395470005709,-10.134753973003699,-8.779321053046719,-10.078019585199067
-9.66314180674866,-9.787711322343185,-9.595455583011473,-10.154726073400857,-9.540450829414482,-10.149757900325497
-9.709848887179149,-9.787711322343185,-9.620103966368838,-10.156949532234066,-9.051708011295345,-10.169694194919638
-9.619862203807527,-9.853580565795646,-9.620103966368838,-10.156949532234066,-9.397331127828835,-10.195786001531669
-9.654574766763421,-9.944022577056627,-9.61600012155692,-10.075286132634272,-9.470649240003567,-10.120267524280266
-9.654574766763421,-9.962877836087408,-9.523038819067178,-10.075286132634272,-9.539414516152993,-10.061194791670875
-9.65633825926168,-10.071512471975469,-9.536835078671281,-10.075286132634272,-9.563214024145324,-10.061194791670875
-9.65209173522217,-10.108800378497921,-9.550787766282381,-9.43550045423964,-9.163280837381059,-10.084789162786967
-9.639727758977559,-9.877364634576354,-9.420372282392329,-9.656567738041943,-9.556173275797885,-10.087257290827864
-9.642627530854812,-9.877364634576354,-9.557250979513828,-9.664254960051947,-9.516186657828928,-10.07292275470904
-9.637424007062915,-10.000638247297637,-8.488723784659772,-9.664254960051947,-9.570947731893353,-9.970132646524878
-9.637424007062915,-10.060616430096871,-9.470991762499835,-9.72636991541351,-9.479499612806391,-10.040572470038807
-9.645139094488847,-10.10050890221346,-9.570070937679636,-9.629522422612533,-9.491140066950711,-10.055718241226964
-9.662955344725692,-10.142060550628388,-9.595155438986044,-9.732556366997548,-9.36939271642827,-9.932691111657935
-9.638511351405773,-9.679065191386455,-9.619943783436318,-9.842672034833857,-9.104475234770863,-10.005682402239172
-9.595164439262678,-9.737826919466613,-9.620279264390179,-9.818916316785321,-8.96503979402071,-10.072606818151366
-9.595164439262678,-9.682043920528756,-9.656040786165644,-9.905194832592219,-8.955006101342033,-10.08294934446967
-9.602040669804829,-9.636354926696551,-9.663715775408441,-9.866719250406746,-9.146736987945602,-9.633754804733776
-9.602040669804829,-9.78041673849588,-9.586712199261898,-9.914459596866815,-9.479968473202371,-9.633754804733776
-9.62084492796591,-9.82314348515081,-9.596723953614482,-10.005591818099202,-9.335192022816804,-9.752758509137148
-9.62519437652713,-9.900121159122207,-9.595617614004682,-10.005591818099202,-9.389731115142748,-9.816832932222852
-9.635246974196253,-9.942427654126648,-9.633946756550655,-9.780839346387012,-9.276244846588108,-9.816832932222852
-9.635246974196253,-9.982287508967662,-9.633946756550655,-9.855979101550389,-9.291773185426944,-9.816832932222852
-9.669505655437005,-9.838773111323434,-9.571961057069792,-9.953433373949515,-9.507196516908898,-9.861011629697739
-9.696631899019557,-9.901242893962593,-9.570298697865956,-9.953433373949515,-9.311842398028768,-9.862610627670167
-9.573297372091838,-9.901242893962593,-9.549242970240607,-9.99756852075597,-9.48546292428831,-9.858277379818817
-9.598494933042774,-10.0050145856812,-9.567832658777213,-10.029032229340697,-9.435629375917594,-9.947924302381756
-9.604449617937052,-9.884099236330782,-9.572512160384404,-10.043565514223827,-9.237717180359077,-9.991065793783031
-9.608919625610312,-9.944392581821912,-9.572512160384404,-10.003994692047058,-8.687367284639429,-9.911559926630572
-9.690575117966944,-10.014717999647397,-9.5789851858429,-9.897139445614515,-8.987381657332454,-9.911559926630572
-9.690575117966944,-10.025250480325173,-9.603695016925025,-9.874313689337539,-8.896104789422449,-10.000038003595769
-9.571445102736027,-10.099501935644799,-9.610036572291685,-9.874313689337539,-9.431470581540093,-10.106850980436697
-9.610434900463757,-10.144230317078588,-9.618069042579659,-9.919259326831408,-8.880112467248598,-10.105057269044144
-9.624317343230409,-9.946842654354304,-9.628478420301386,-9.943351201223688,-9.435538415445084,-10.15633006523783
-9.626321048671683,-9.849685548243263,-9.605549431810017,-9.970128774893714,-9.308466878806017,-10.15633006523783
-9.626559423672711,-9.849685548243263,-9.613022855621644,-9.974393286877453,-9.390593302633397,-10.08942036280872
-9.627317763869039,-9.964416292002285,-9.610348832573948,-9.981871173914246,-8.7326414078359,-10.086241486355705
-9.627317763869039,-9.985919106502983,-9.602596860284464,-10.011935943090892,-9.487751113552529,-10.101651560284623
-9.63717546839393,-10.041111507844477,-9.59228518392151,-10.080267884814925,-9.435687354629817,-10.101651560284623
-9.63717546839393,-10.082001410276876,-9.5647026228908,-10.01804404810337,-9.420073748811902,-10.104381635816868
-9.654567786373306,-10.04063438486181,-9.585072517686807,-10.05591021347065,-9.456433408056526,-9.629471968851584
-9.665195607489071,-10.04063438486181,-9.585072517686807,-10.05591021347065,-9.281529772203722,-9.679162672064049
-9.718443937737963,-10.081066518283027,-9.586434728529701,-10.085327690158008,-9.52428613925034,-9.814678127908554
-9.718443937737963,-10.081066518283027,-9.586597226570154,-10.085327690158008,-9.192012530996235,-9.818357910586085
-9.599743152723176,-10.081066518283027,-9.58573074618197,-9.913699827986875,-9.399797410827325,-9.818357910586085
-9.628123160056674,-10.113470817291713,-9.588074259780548,-9.69900252987153,-9.120689370370583,-9.818357910586085
-9.525858550140219,-9.913989970278648,-9.308720260091187,-9.885004738624486,-9.522421257784641,-9.895912482356106
-9.5588390145188,-9.913989970278648,-8.975226809462246,-9.94167385654642,-9.558983321136527,-9.970159558942601
-9.551779766479186,-9.924502489981245,-9.527715593844722,-9.986236601041547,-9.435726084513995,-9.970159558942601
-9.568957849082874,-9.924502489981245,-9.547071304348108,-10.047563027629218,-9.52221508421254,-10.02687818752288
-9.573089489839854,-9.924502489981245,-9.576861700848536,-10.048316050391296,-9.204915858501073,-10.050986127030377
-9.528334068009677,-9.857233151890014,-9.576861700848536,-9.773573184067471,-9.22168593267477,-10.127855774730657
-9.57008744408922,-9.722442801679058,-9.576496860949673,-9.82513121031044,-9.427779757625549,-10.127855774730657
-9.579173039556556,-9.722442801679058,-9.298828435901152,-9.928536114766132,-9.577753526036943,-9.664404442921992
-9.579173039556556,-9.695433669533594,-9.516220127705159,-9.928536114766132,-9.580993697994922,-9.735834975558795
-9.421811384493003,-9.701858094962661,-9.559130200916224,-9.931497472265422,-9.556192277360681,-9.765324328991333
-9.61403425421948,-9.754692564215713,-9.594755652749159,-9.762812512819465,-9.547820352018961,-9.881042622546534
-9.61403425421948,-9.91753649752514,-9.292085187322227,-9.925799673172351,-9.551067735187077,-9.925751770349448
-9.544380821491416,-9.939062734981018,-9.533442431567172,-9.966404105121073,-9.26566290854532,-9.925751770349448
-9.565054880849226,-10.014560772609405,-9.556493853725545,-9.966404105121073,-9.527918166286717,-10.015437992644973
-9.576051458780885,-10.014560772609405,-9.580836037071759,-10.084596682509279,-9.416885627640077,-10.01549615506761
-9.576051458780885,-10.065298151251243,-9.569496025908254,-10.114763148890358,-9.242609639855653,-10.01549615506761
-9.571145256927224,-9.907406066923778,-9.572186749913165,-10.13012512402443,-9.388719934771245,-10.01585364207253
-9.561593678446387,-9.94810897295823,-9.572186749913165,-10.144491830174566,-9.55419259166863,-9.985288633620543
-9.573707562693942,-9.992539397189491,-9.572186749913165,-10.181814481995518,-9.315755494180905,-9.944165291436592
-9.575616928029756,-9.992539397189491,-9.598492300123237,-10.043648110888725,-9.133647640730345,-9.944165291436592
-9.619623650136466,-9.992539397189491,-9.59767440815758,-9.737778131164708,-9.462209744684712,-9.792012613794538
-9.619623650136466,-10.015254952482836,-9.593060342655383,-9.83357019595514,-9.282281377356613,-9.888561503819844
-9.577290407420898,-10.056150421080412,-9.563084853399628,-9.83357019595514,-9.490837622389448,-9.977358105661565
-9.563404080297262,-10.056150421080412,-9.574298133496422,-9.872345266237915,-9.345880892215234,-10.01345143070149
-9.563404080297262,-10.087534127867787,-9.574298133496422,-9.94922447305345,-9.500409368960105,-10.01345143070149
-9.662857378877112,-10.046347121011989,-9.574298133496422,-10.02814279297932,-9.380961033008345,-10.03234302263464
-9.662857378877112,-10.033422733777954,-9.584431503337239,-10.041211968314311,-9.454119624763985,-10.074958872682572
-9.694681670890512,-10.073828141448697,-9.584627614987026,-10.074785652180774,-9.432793797238306,-10.10827261304687
-9.694681670890512,-10.073828141448697,-9.579962572303192,-9.960204422903503,-9.177609787345943,-10.129568141759886
-9.711371084463305,-10.110693912406182,-9.579962572303192,-10.032223063162153,-9.499890675912944,-10.129568141759886
-9.711371084463305,-10.05868642277644,-9.579962572303192,-10.032223063162153,-9.501091346570432,-10.129568141759886
-9.712108362637156,-10.119304930899442,-9.546171971283675,-10.05083031615021,-9.389148498254098,-10.175146978072483
-9.70841602204104,-10.119304930899442,-9.580562793443244,-10.05083031615021,-9.36181270278759,-10.19982262852509
-9.557280918833236,-10.119304930899442,-9.58212669469997,-10.084142980283454,-9.448991851239514,-9.973079455661214
-9.568904126533017,-10.156726154621712,-9.592123734840243,-10.114149872337725,-9.309262602091437,-9.561416617591957
-9.555094989426083,-10.156726154621712,-9.596882503837863,-10.114149872337725,-9.385764201036581,-9.66622583731502
-9.567563076278654,-10.161834712998678,-9.594802520496483,-10.131139535963438,-9.239454607880951,-9.632195379841392
-9.567563076278654,-10.149404370779791,-9.565115195568294,-10.136654925410939,-9.353903930799309,-9.752817821332929
-9.548609787178327,-10.169981577978426,-9.564782925923424,-10.174023090037089,-9.412121230162178,-9.805630625175139
-9.528880702542923,-10.169981577978426,-9.59507636529011,-9.630787962591166,-9.471026769756142,-9.805630625175139
-9.600804174755073,-10.185510684435044,-9.596140557186654,-9.77120252549846,-9.512505793762253,-9.860734364866612
-9.600804174755073,-10.215057214522862,-9.627014508450642,-9.77120252549846,-9.05624444887411,-9.90611926491829
-9.596916050439491,-10.15429421748319,-9.627014508450642,-9.818960941739384,-9.453800198890939,-9.775423158165466
-9.601022535380995,-10.15429421748319,-9.532520109174975,-9.865236294396952,-9.190688516053882,-9.832651219321235
-9.551720703836217,-10.15078030041586,-9.534770047811811,-9.719284599584487,-9.347561012985514,-9.90154749984964
-9.58642335427751,-10.154232070648767,-9.17842829094654,-9.837535802571498,-9.555109034459761,-9.94379080369905
-9.632746782615326,-10.108833254881304,-9.549302942478706,-9.837535802571498,-9.206078287531234,-9.972137945899787
-9.632746782615326,-10.103536188183885,-9.559194863217686,-9.738276707130103,-9.538593290650207,-10.003210651371512
-9.688912687412406,-10.116044287983016,-9.581798398100172,-9.626328176197225,-9.315114315757135,-10.003210651371512
-9.72122200511086,-10.129924836838434,-9.581798398100172,-9.752214057241995,-9.182766691737877,-10.003210651371512
-9.732078949038005,-10.049684353558687,-9.581798398100172,-9.870709164406907,-9.118632388301853,-9.886854385075772
-9.73813141657105,-10.087713886735242,-9.582035770516281,-9.897963871010274,-9.058652136346579,-9.969726480126017
-9.741249024701196,-10.131958356545391,-9.535242572908665,-9.897963871010274,-9.463854879230324,-9.950977226665696
-9.740781125306718,-10.13481002031807,-9.55910568817508,-9.897963871010274,-9.203170698822339,-9.950977226665696
