states,right 1,left 1,right 2,left 2,right 3,left 3
"(0, 0)",-8.762693659403364,-10.642605067941993,-10.477392727986718,-10.587569370772107,-10.712322037752987,-10.793787896728391
"(0, 1)",-9.155123246620635,-9.816367512309437,-9.947559885259931,-9.801120934115538,-8.20505624795007,-9.849824339200257
"(0, 2)",-9.548826869012483,-9.494663887589475,-9.481466602885101,-9.600478121948587,-8.871971487170159,-9.509919236917009
"(0, 3)",-7.833440254543156,-8.778102796414156,-8.776412338405127,-8.703719593503319,-8.81543052365161,-8.748725659018156
"(0, 4)",-10.098659044714376,-10.036160316244583,-9.973370231709511,-10.011435627173514,-10.194148391280635,-8.649103901367987
"(0, 5)",-8.808537832604436,-7.763511616043517,-8.774898958605311,-8.747034586726214,-8.806214428957336,-8.940009052042518
"(0, 6)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 7)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 8)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 9)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 10)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 11)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 12)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 13)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 14)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 15)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 16)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 17)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 18)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 19)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 0)",-10.356459157786354,-10.344754370075924,-10.331369534640725,-10.289790910948335,-9.097742250175338,-10.33799046275705
"(1, 1)",-10.711142428249449,-10.689538060847424,-9.146522230909465,-10.729839776080585,-10.788906237572355,-10.736350302281117
"(1, 2)",-9.684413571342034,-10.648834717899362,-10.662809740685475,-10.65836095454176,-10.47531901184414,-10.66440338312743
"(1, 3)",-10.559782171717549,-10.519087299358443,-9.149632391063683,-10.584828345356945,-10.518009533786685,-10.493778291843482
"(1, 4)",-9.488549626322023,-9.396222307934563,-9.397840598329593,-8.625928114394698,-9.778663315475516,-10.346771410771177
"(1, 5)",-7.754401036738847,-7.468168787451429,-7.7910964595387355,-7.891424609025848,-7.4140254440380176,-7.45503897520064
"(1, 6)",-7.689534429858753,-7.982211807877073,-7.700673947144981,-8.003824142232126,-7.814270422676085,-7.725234282272783
"(1, 7)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 8)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 9)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 10)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 12)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 13)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 14)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 15)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 16)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 17)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 18)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 19)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 0)",-9.940993930633505,-9.930324676452198,-9.901502055245018,-9.918984669247104,-10.019858895034886,-9.93625019459887
"(2, 1)",-9.57874447350547,-9.610580202502094,-9.65885628934449,-9.83865318936488,-7.732898107972731,-9.67879608763358
"(2, 2)",-10.03358856349926,-10.706446196740947,-7.827869607699889,-10.478632139708665,-9.951138536078789,-10.27225336263358
"(2, 3)",-7.922543167420499,-9.678051081962192,-9.621298640667803,-10.130176876990836,-9.693343982971708,-10.161942484747929
"(2, 4)",-10.559885488280262,-10.534469007812579,-10.388327144972482,-10.549520696698034,-10.61146609142383,-10.595869273660874
