states,right 1,left 1,right 2,left 2,right 3,left 3
"(0, 0)",-12.652974530262515,-13.36159367017423,-13.114570228462297,-13.461298896826484,-13.105749791856907,-13.418466430411526
"(0, 1)",-12.849400072844633,-13.626320641421193,-13.199626119087391,-13.637814726970673,-11.253802211408441,-13.66041965197163
"(0, 2)",-12.254356485250188,-12.376731585360524,-12.303063217878432,-12.25092574818264,-12.225131892451104,-12.311424907801355
"(0, 3)",-11.991140026686743,-12.001311539082263,-12.040767578709913,-12.002035344883469,-12.068304024810066,-11.98172442789512
"(0, 4)",-12.20669437208237,-12.15814942663487,-12.155124758108723,-11.715137157041532,-12.158784929636287,-12.147543850102538
"(0, 5)",-11.530171233734118,-11.451736464874871,-11.539003111670825,-11.475209187219477,-11.486971766428306,-11.445827877816317
"(0, 6)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 7)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 8)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 9)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 10)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 11)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 12)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 13)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 14)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 15)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 16)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 17)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 18)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 19)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 0)",-12.459219189356453,-12.578100956622936,-12.11308188958522,-12.603768958494857,-12.465814867587465,-12.734075983604905
"(1, 1)",-13.116981214733945,-13.183030932197385,-13.09451239759618,-13.150070751815893,-12.350315839553396,-13.163990864740422
"(1, 2)",-13.319206688384098,-13.43501686936979,-13.13829327369042,-13.400260739264176,-13.335513232169722,-13.534156677364853
"(1, 3)",-13.063200694034062,-13.053404654360508,-13.069298454578748,-13.557398278081077,-12.911598146718825,-13.467851097348975
"(1, 4)",-13.245646377150024,-13.154640243581717,-13.104568822379608,-11.583255839266341,-13.119272889738735,-13.20038519968903
"(1, 5)",-3.4386655309532244,-3.094805850350088,-2.9780499556746456,-3.7559263112232992,-3.624015980659597,-3.268250544719489
"(1, 6)",-7.126818078018873,-7.1898240880470965,-7.647285612015389,-7.220763411408242,-7.5001966690899975,-7.497154445303937
"(1, 7)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 8)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 9)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 10)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 12)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 13)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 14)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 15)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 16)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 17)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 18)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 19)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 0)",-11.94606431518121,-11.876396374463411,-11.966446183672105,-11.980426216473917,-11.543059704470101,-12.067856057280828
"(2, 1)",-12.00349937168973,-12.32082564156932,-11.98615510026789,-12.258558395920478,-11.279150485300535,-12.224934016939512
"(2, 2)",-12.350920578330669,-13.258743440541494,-10.575467465774052,-13.289771677234215,-12.502476007334405,-13.281816646505082
"(2, 3)",-12.620372138813423,-12.599312767234226,-12.616533666567364,-13.250527967023062,-12.126779091978758,-13.55021586807713
"(2, 4)",-12.317148291406527,-12.381359963869617,-12.306229886302521,-12.310398127414514,-10.49807102705497,-13.12180142830335
"(2, 5)",-12.559046701566974,-12.546143333927432,-12.775640793963252,-12.357080626823393,-12.81919161686017,-12.567492560706818
"(2, 6)",-12.731603318170308,-12.597895969280962,-12.726487603018853,-11.696389961448737,-12.512986589830318,-12.476109391033532
"(2, 7)",-12.595875808264559,-12.457271388068552,-12.544468377655555,-12.491420430110725,-12.635494540995419,-12.105491250481217
"(2, 8)",-11.949830059239142,-12.025917240922837,-11.99622537173375,-12.023672050648134,-11.987667676038,-11.986887436545995
"(2, 9)",-11.9624458174204,-11.97723021610508,-12.00849633715934,-11.992849829244575,-12.027329044415778,-11.994248473889932
"(2, 10)",-11.965387210044252,-12.018874542543971,-11.998997757528565,-11.941501000611876,-11.990107160263731,-11.935333595012791
"(2, 11)",-12.016849667786458,-12.020435613903045,-11.97287056489621,-12.012556990388019,-12.00637053453124,-11.985890703540035
"(2, 12)",-12.031202261879862,-12.006086637316304,-12.02304683846821,-12.013592439174278,-11.99689485015413,-11.975127063588626
"(2, 13)",-11.99461549559295,-12.01500257716965,-12.02497205149908,-12.031583034225324,-11.952368468266103,-11.971799810893335
"(2, 14)",-11.981339551245252,-12.022846988089984,-11.998431282676046,-12.02362776642203,-11.96045123108405,-12.014102415008276
"(2, 15)",-11.979363319864225,-11.963633745706506,-11.996697192064989,-12.01625934182589,-11.945874351935469,-11.973738689578898
"(2, 16)",-12.035375228112269,-12.022706225469209,-12.00785975491867,-12.018414226169087,-11.992691971257246,-11.972840674729836
"(2, 17)",-11.990021666134655,-11.96333146829311,-11.956366798910846,-11.945567188543386,-12.014823923576243,-12.003797751714233
"(2, 18)",-11.891157713245306,-11.963084792515005,-11.974265213624772,-11.89077548865989,-11.932775199509656,-11.910958958378522
"(2, 19)",-12.276957702816654,-12.261946542406541,-12.266192006666708,-12.219060867114122,-12.27015967466702,-12.251058571932399
"(3, 0)",-11.759119970000556,-11.822230327695785,-11.809572405921076,-11.8265517740993,-11.751671057216626,-11.842689850799509
"(3, 1)",-11.546833052036096,-12.055735161661476,-11.920818309292892,-11.963597749987457,-11.95907609370652,-11.917708414630278
"(3, 2)",-11.728187502115693,-12.985526713816888,-11.03526435125499,-13.465668381094284,-10.662530528282517,-13.268167964670665
"(3, 3)",-11.991194984487693,-12.189827085067938,-11.968413414035508,-12.435791115697192,-11.187679296008765,-12.481101956474063
"(3, 4)",-11.400510796853482,-12.342309220300491,-11.347836780912624,-12.83723836074994,-9.36883801071341,-12.889746442242856
"(3, 5)",-12.06058910755609,-12.273002924463617,-12.260663756384096,-12.262557537423676,-12.262252450672769,-12.308296117329343
"(3, 6)",-11.13043620748826,-12.013565163761921,-12.027343274620277,-12.044886714893826,-12.310317659903816,-12.059337457459765
"(3, 7)",-12.347503444447584,-12.315173909185082,-12.328775396452837,-12.316762161539891,-12.354781532753844,-11.607777474796386
"(3, 8)",-12.394336343722243,-12.329972414921736,-12.410245558836184,-11.666520720445623,-12.3897148703724,-12.335564079708211
"(3, 9)",-12.4876931261968,-12.503201172085145,-12.556396770675363,-12.513321367613708,-12.543787116504776,-12.485150233178317
"(3, 10)",-12.608098533386581,-12.574809453185878,-12.604672151140011,-12.601047263014413,-12.562159027575829,-12.585615877024495
"(3, 11)",-12.49333112388683,-12.52502306460931,-12.55487482452708,-12.529434180418383,-12.512557590263752,-12.50785898243021
"(3, 12)",-12.50885632702391,-12.530009296770338,-12.527083247471055,-12.565177049171654,-12.572092075103313,-12.507766113177249
"(3, 13)",-12.565632995208592,-12.512425659193834,-12.570950164367233,-12.524383024480748,-12.541051149132848,-12.600312170485914
"(3, 14)",-12.527694552855241,-12.593788932893823,-12.573867773941036,-12.526032795848865,-12.580082677524082,-12.565745155657503
"(3, 15)",-12.607246570767245,-12.568129761685833,-12.547098838143325,-12.516186158951196,-12.53653556988994,-12.528785339020658
"(3, 16)",-12.639088197225094,-12.623044819194277,-12.567329246890775,-12.608730526090952,-12.625705205138235,-12.590517873151255
"(3, 17)",-12.503976026676773,-12.552276121932518,-12.605622427207006,-12.546232957166252,-12.557315460857183,-12.58591547207941
"(3, 18)",-12.417252416712271,-12.494518151006105,-12.490911238831721,-12.508077433510067,-12.46546729884399,-12.462105864843535
"(3, 19)",-12.80149752732261,-12.794917020866231,-12.861870732150244,-12.791046397416745,-12.841819410994612,-12.850802169730631
"(4, 0)",-10.638271104710633,-10.681304448730145,-10.654606764313144,-10.679888265855205,-10.757134805324224,-10.73705438470462
"(4, 1)",-10.558939429594654,-10.559801197095904,-10.596155241543574,-10.575385404654472,-10.618281721395517,-10.735621400496708
"(4, 2)",-11.071257849521817,-10.950679561188803,-11.081738358090446,-10.979336848467163,-10.332584812680174,-11.105838429634717
"(4, 3)",-11.42424951561444,-12.193351778604294,-10.800093739474349,-12.375914041707096,-10.143583945439556,-12.244326969879957
"(4, 4)",-11.691924415115123,-12.128079912842498,-10.508810676741046,-12.08280830804365,-11.663138567718937,-12.450453806945854
"(4, 5)",-10.710995879173073,-11.528419855931276,-11.379644219570986,-12.07563192470566,-11.456227053737162,-11.449666332881618
"(4, 6)",-10.923620176818018,-10.667484934382006,-11.370145814583182,-11.387917975281828,-11.389825156992853,-12.126426538464383
"(4, 7)",-11.341724077309582,-9.48861585641504,-11.2739148164506,-11.254476062998943,-11.465824442101361,-11.470745223145283
"(4, 8)",-11.616699264545295,-11.59154315264763,-11.671485165851927,-11.654252508648923,-11.633555829883818,-11.634721210872321
"(4, 9)",-11.694539118975989,-11.671089914374763,-11.620320587116401,-11.426868382540187,-11.669919178627008,-11.683438020978155
"(4, 10)",-11.465398245841428,-11.435705668200944,-11.421283200110391,-11.501918707116975,-11.495770872190066,-11.449148026006066
"(4, 11)",-11.448802909705057,-11.496038427824672,-11.524106057389805,-11.439542334166564,-11.487222733191386,-11.495310844380963
"(4, 12)",-11.453668537816169,-11.47365506640138,-11.493528855237754,-11.478118229121323,-11.416610225819229,-11.483154292162808
"(4, 13)",-11.461760865023766,-11.483150431253389,-11.509074758367955,-11.516485508449193,-11.523754941634458,-11.526444602780877
"(4, 14)",-11.46047196578904,-11.511677878361342,-11.490887250294305,-11.43898549883501,-11.467518702439445,-11.495840750749664
"(4, 15)",-11.462750084362655,-11.424835691760732,-11.439727968499337,-11.491942176211374,-11.447061231465623,-11.459617954163555
"(4, 16)",-11.51509558258009,-11.490926359652278,-11.53849903554927,-11.568900158257962,-11.539945704790805,-11.539532803376083
"(4, 17)",-11.486712223994592,-11.473201275330448,-11.416548720249013,-11.4526967241517,-11.476814034490005,-11.41902150576438
"(4, 18)",-11.38177586898517,-11.418829391017926,-11.423844456409244,-11.47685936032058,-11.454327775646677,-11.390790457441774
"(4, 19)",-11.740550384443416,-11.732703167010653,-11.738126535768801,-11.713608391876557,-11.700737326540352,-11.752067393376352
"(5, 0)",-7.370795740536565,-7.3157075793446555,-7.388451588171343,-7.3532537775461035,-7.462068408184784,-7.321202328959032
"(5, 1)",-7.575281911897956,-7.520063177524096,-7.562780549486513,-7.46311170877133,-7.79340049027063,-7.608640438981974
"(5, 2)",-8.108476331462482,-8.365986342662085,-8.179275896446416,-8.041147197088094,-8.35376830454634,-8.26919338575252
"(5, 3)",-9.390057195407245,-9.232259543717662,-9.365752337456465,-9.347980372434169,-9.318544487049655,-9.226898375388492
"(5, 4)",-9.83915886374388,-9.957105644837677,-9.844742852861977,-9.93539447088991,-9.755715916141888,-10.133672384288861
"(5, 5)",-9.714299985138643,-11.310010389875544,-10.531687425388547,-10.954750111679859,-10.374439576886367,-11.128783095785716
"(5, 6)",-8.992406777664728,-10.88370483166529,-10.731945055015432,-11.417860704775432,-10.682781450038753,-10.911528545081357
"(5, 7)",-10.375129858132366,-10.931722290290072,-10.97903757519919,-10.95852069174951,-10.99184647496731,-11.299422202037896
"(5, 8)",-10.792444917871642,-10.765887634545024,-10.781520355896413,-10.245556858310481,-10.788892457400824,-10.772915545088447
"(5, 9)",-10.979973946968006,-10.633080683432262,-10.951817477087246,-10.929460202301238,-11.033538022241189,-10.908688077605
