states,right 1,left 1,right 2,left 2,right 3,left 3
"(0, 0)",-9.936358217542576,-10.130836765703641,-9.573534667036261,-10.08975936302802,-9.942606340458598,-9.924907476912171
"(0, 1)",-9.561803447629757,-10.570165649439252,-9.662548449534833,-10.567265217521442,-9.62723187550735,-10.55374474594834
"(0, 2)",-9.171936344115878,-9.223841355590002,-9.161120917021124,-9.208424785751333,-9.159640435041284,-9.177678290665625
"(0, 3)",-9.559279077736182,-9.573485021083613,-9.559052732728745,-9.57653530782777,-9.559122200705785,-9.603498067212417
"(0, 4)",-9.55543609904038,-9.555326720277256,-9.555470249253357,-9.579807686198903,-9.555725670963461,-9.606163290736806
"(0, 5)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 6)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 7)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 8)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 9)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 10)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 11)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 12)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 13)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 14)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 15)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 16)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 17)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 18)",0.0,0.0,0.0,0.0,0.0,0.0
"(0, 19)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 0)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 1)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 2)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 3)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 4)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 5)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 6)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 7)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 8)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 9)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 10)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 11)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 12)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 13)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 14)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 15)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 16)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 17)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 18)",0.0,0.0,0.0,0.0,0.0,0.0
"(1, 19)",0.0,0.0,0.0,0.0,0.0,0.0
"(2, 0)",-8.770024654819439,-8.748438910171771,-8.76098295821553,-8.860806464152878,-8.776899603703344,-8.72251330538558
"(2, 1)",-9.233819887413567,-9.247810125093181,-9.241600517748905,-9.315211274407485,-9.095604741319002,-9.293962970846382
"(2, 2)",-9.298342619960769,-10.46835420434283,-9.248894999949279,-10.449295055118075,-8.648276802750543,-10.49095836948985
"(2, 3)",-9.238947225767758,-9.776958929842856,-8.8526495858551,-10.468547298286694,-8.821865173146659,-10.641830577636203
"(2, 4)",-8.75064519100491,-9.239431297715054,-8.667365124370802,-9.724902464510409,-8.648275251635937,-10.467176511388294
"(2, 5)",-8.706518731993052,-8.756929558927196,-8.648275455657153,-8.743357182021283,-8.789749086560798,-8.798296435762568
"(2, 6)",-8.648275410418181,-8.76512909682892,-8.80250568342551,-8.780291254726226,-8.811012820442626,-8.788033941996582
