right 1,left 1,right 2,left 2,right 3,left 3
-6.31940670106237,-6.344663660514794,-6.298349058142781,-6.3303911932272845,-6.329262554501237,-6.319993858891717
-6.914813841837959,-6.911847791027847,-6.916720439356369,-6.9022446706124745,-6.891619743704179,-6.920927175678588
-7.58535020186629,-7.628436948439695,-7.587040823157249,-7.6044816956679036,-7.045987777804142,-7.583921872090554
-7.857317160040772,-7.854911953384446,-7.845885557770012,-7.84402734334371,-7.459217702289428,-7.88997988899332
-8.490848562335767,-8.5240746105485,-8.509459224895995,-8.566092544523388,-7.418876748825546,-8.484237090708465
-8.5782539062747,-8.575544447640484,-8.644112622341275,-8.623942197167096,-8.10327350011505,-8.589866235144987
-8.920034610640034,-8.921551125436828,-8.921154786288433,-8.978487581731738,-8.587750853292002,-8.91236949581171
-9.276730087794451,-9.274254168648843,-9.300117082587978,-9.285049854267236,-8.740729050996745,-9.286767070756943
-9.17471657111408,-9.678054682984088,-9.67027582865088,-9.707839921191486,-9.693388878407976,-9.702681400772555
-9.765987567641217,-9.812898889793724,-9.90006797869603,-9.816251404181338,-9.406835580700152,-9.830440392398057
-9.970328071220043,-9.977042255003537,-9.965664731035151,-10.068827554335611,-8.639966234954857,-10.064075670517061
-10.005204395777177,-10.141302153154083,-9.965664731035151,-10.148475780459433,-9.049421999638774,-10.064075670517061
-10.005204395777177,-10.345371225569039,-9.981752529977362,-10.148475780459433,-9.839205206539177,-10.218656270782544
-10.134856665897935,-10.403718911614213,-10.176809135721484,-10.302536526720907,-9.259369049630179,-10.292235094280116
-10.247473495584465,-10.403718911614213,-10.222194887993586,-10.513343762696508,-8.710919049352274,-10.556866657825644
-10.316334754148306,-10.52430673314637,-10.222194887993586,-10.591716628907236,-9.347768941687546,-10.723088083801253
-10.333401713638077,-10.649274460212805,-10.277804743815183,-10.691926818609161,-9.34324207893974,-10.869770061083777
-10.419368484970688,-10.181596558843333,-10.18942809260641,-10.691926818609161,-10.471061628889107,-10.443918118705176
-10.440801406755575,-10.648010867774543,-10.536277700656774,-10.698164747101561,-9.874884744749503,-10.4861849481652
-10.681559697632066,-10.756499514664482,-10.704955338199053,-10.97786790418057,-9.080847244109863,-10.924010214617091
-10.647453757806247,-10.846274260809214,-10.682982313123995,-11.0471181285721,-9.278294731488351,-11.11723823709791
-10.595948994924402,-10.846274260809214,-10.682982313123995,-11.0471181285721,-8.88622388876,-11.167634696868925
-10.486205759693107,-10.965435759668168,-10.682982313123995,-11.09352164971526,-8.54298058204112,-11.195730053515083
-10.427305521222873,-10.987939759006991,-10.6395051177193,-11.108153685343025,-9.21025425044335,-11.21854305586023
-10.360995626145913,-11.009927632937986,-10.6395051177193,-11.108153685343025,-9.199827960914138,-11.198594687134964
-10.360995626145913,-11.000556144780147,-10.43802758072838,-11.070035466891884,-8.383528532205826,-11.09438487670981
-10.14493680080597,-10.946316392247144,-10.140018799059108,-10.96987781576229,-9.04131792604941,-11.056531931065592
-10.039480600004934,-10.914576201122255,-10.00537930352789,-10.86866457121508,-8.92747612674203,-11.056531931065592
-9.99108253461369,-10.884179696707404,-9.95722108489902,-10.86866457121508,-8.566808959924337,-10.967138755442484
-9.94653663389672,-10.851544103006347,-9.925908404937761,-10.805533529049425,-8.398911094737514,-10.847035969769944
-10.002091800284656,-10.821329464217298,-9.861534076760778,-10.75643722255831,-8.699122439304386,-10.847035969769944
-10.002091800284656,-10.790106028074616,-10.01298172191715,-10.7296484963205,-8.982246788615127,-10.815187872054329
-9.944014082518098,-10.669188188033981,-9.929743692164548,-10.707312345588827,-8.957173289593914,-10.780861339368496
-9.913845831056623,-10.631369105007238,-9.860672702620043,-10.661462405718735,-8.630356529248811,-10.674190389068139
-9.84271644059396,-10.606110889251232,-9.8084864606788,-10.62917118890298,-9.04141677558448,-10.674190389068139
-9.781038967510398,-10.58871031060997,-9.803937744811707,-10.589460981189736,-8.867548465904438,-10.643607779373767
-9.769347881566274,-10.567227651987867,-9.795201906019852,-10.589460981189736,-9.114449797556519,-10.620661971349232
-9.761252755183145,-10.562157023948492,-9.795201906019852,-10.589460981189736,-9.398039324990632,-10.605797571460043
-9.737626286399856,-10.562157023948492,-9.756793797242192,-10.585075807452526,-8.326099582651631,-10.605797571460043
-9.829878760800343,-10.5701030491658,-9.733788858615464,-10.594862776564746,-9.1615511354349,-10.609982643363638
-9.75230113910184,-10.62630626530919,-9.723481220398163,-10.609246756606836,-8.684071024690192,-10.646554227213544
-9.75230113910184,-10.64701460196529,-9.748907828396227,-10.609246756606836,-8.802382293627947,-10.671154849267005
-9.719903509142107,-10.649898051930109,-9.739293103895307,-10.609246756606836,-8.82749433053074,-10.671821043574994
-9.814551029893973,-10.650234330422853,-9.72856939752494,-10.629571970167573,-8.461875163953685,-10.670440247342187
-9.811021974479013,-10.602234227275572,-9.712726213191395,-10.610282861031786,-8.155476057979985,-10.646445173001348
-9.731753950238492,-10.584157104452089,-9.702181123811924,-10.587927947366936,-8.053801143462163,-10.60360963333499
-9.645534600208931,-10.488000109406066,-9.671916629265317,-10.587927947366936,-8.133791283432988,-10.419388394621047
-9.404186363240871,-10.32677308350839,-9.537585867039919,-10.533732513333906,-8.495527251720924,-10.419388394621047
-9.446410188538348,-10.32677308350839,-9.4980143711183,-10.496288816224558,-8.012985787160176,-10.419388394621047
-9.446410188538348,-10.292808547445125,-9.408218220068498,-10.404230443098633,-8.789952503089985,-10.389212493771879
-9.527347347826902,-10.263169258266744,-9.547273782534695,-10.357276609947846,-7.894286124151189,-10.329198478135075
-9.528521535143376,-10.215882503370983,-9.533476053716193,-10.334132158396752,-8.420612762837168,-10.278200521221752
-9.386919447776053,-10.215882503370983,-9.533476053716193,-10.300543033319652,-7.832650960142905,-10.251326595314568
-9.287754424670785,-10.198838670416308,-9.533476053716193,-10.265303460986239,-8.204148271048156,-10.152176997989764
-9.361629930705528,-10.192644412939035,-9.533476053716193,-10.265303460986239,-8.09460518086357,-10.152176997989764
-9.334012032097405,-10.152071628914598,-9.533476053716193,-10.188974898544256,-8.34967088896994,-10.135593996333947
-9.339379554136794,-10.110269038831715,-9.697377406006675,-10.148256418546023,-8.116469118739406,-10.117065873930892
-9.399322688308535,-10.080218465331882,-9.603770955219682,-10.138927006399008,-8.227856791658018,-10.09600105204644
-9.310629007865568,-10.049457179423273,-9.526717368202773,-10.124371773431255,-8.11364957537406,-10.03461167204359
-9.270314757796651,-10.049457179423273,-9.675044394496489,-10.100369567738408,-8.058303939236891,-9.992445308940633
-9.232103290957863,-10.031188628830956,-9.628255072346152,-10.054525620258065,-8.492938308572851,-9.979131090274723
-9.302049078126513,-10.01266599387749,-9.460487114132299,-10.054525620258065,-8.258571243679619,-9.936437967537115
-9.251414714410869,-9.987614789700064,-9.460487114132299,-10.031311465384052,-7.840901634664567,-9.936437967537115
-9.207342533457313,-9.96932398667624,-9.441323015490866,-10.031311465384052,-8.444145973458207,-9.936437967537115
-9.110893183769736,-9.958260519825432,-9.422841282277684,-9.99960476385781,-8.080903032025553,-9.928872909395668
-9.252729616057067,-9.958260519825432,-9.404923324124864,-9.986079647802729,-8.924438177826984,-9.916704778642012
-9.270650612545907,-9.945556499909598,-9.324749664346292,-9.986079647802729,-8.106567382357953,-9.924459514912414
-9.25697650929025,-9.95070383504263,-9.267323826669283,-9.986244491525605,-8.16594204365371,-9.935929035793482
-9.325853511161334,-9.957410876587685,-9.219826344777434,-9.986244491525605,-8.168593887249683,-9.93967384906477
-9.27699017722953,-9.948724839715293,-9.359906859113966,-9.987820264457396,-7.8023259033784855,-9.934552612592375
-9.222358421628055,-9.948724839715293,-9.332501004289547,-9.970328695483879,-8.138276319574677,-9.904828292590409
-9.25387373566914,-9.9347673132221,-9.281131669509222,-9.9626631327205,-7.600335515102781,-9.890186336382916
-9.223759857463788,-9.912277736614518,-9.284411903732725,-9.951067236557211,-7.439852425390862,-9.886077180809856
-9.126102897757644,-9.904836179206963,-9.284267967275731,-9.951067236557211,-8.240268493044628,-9.87960940076496
-9.088570977415772,-9.904906303018567,-9.283066573440983,-9.951067236557211,-8.52358549828807,-9.884934768467298
-9.071785180331338,-9.89278657495915,-9.401215413024872,-9.943227867100425,-7.372791885354068,-9.873791194798246
-9.09219809761941,-9.890263855344056,-9.378191502261014,-9.943227867100425,-8.543851910067689,-9.877019360243875
-9.089445303513635,-9.894060846224905,-9.32784781085351,-9.942646522255187,-8.055606827491086,-9.890209050809192
-9.078565524752257,-9.894060846224905,-9.324459874123258,-9.945100657910267,-8.08857041070654,-9.902891343115126
-9.063204431090695,-9.904959265539757,-9.324459874123258,-9.940863591152098,-8.079611245177365,-9.908881980759022
-9.11200230546216,-9.907391476874723,-9.407513308748888,-9.9381862561105,-7.940396804371301,-9.908881980759022
-9.079299906154635,-9.891764502171856,-9.449432070432138,-9.925556562711627,-8.446092524297807,-9.907123196775649
