right 1,left 1,right 2,left 2,right 3,left 3
-7.3151324515298946,-7.389854550496203,-7.314854677590981,-7.320451633418563,-6.816266865559485,-7.347474151057033
-10.420727423234952,-10.434814048252587,-10.42826290112806,-10.437388734250527,-10.426259852434015,-10.469524209094898
-12.11065394053764,-12.116496846376435,-12.117294637450444,-12.140058069348212,-12.111436939527346,-12.133374554425892
-12.227960423376581,-12.713414718396201,-12.757531086354433,-12.724822848224061,-12.771884118831013,-12.742147726477734
-13.022376410923481,-13.043615085864204,-13.026395112342556,-13.030388337521986,-12.268718166260088,-13.025280798931238
-13.39178996464383,-13.334105374101641,-13.226251887020656,-13.356996570501748,-13.342510711731116,-13.369647962978272
-13.429742739212815,-13.334105374101641,-12.741241210462352,-13.147575128437637,-13.36948385882369,-13.270987741153558
-13.35279659005037,-13.21927928766807,-12.43965791656114,-13.132014544666138,-13.348966541229016,-13.22615719701899
-13.19702892917119,-13.21927928766807,-12.020806465487064,-13.132014544666138,-13.31737719085306,-13.102396750730504
-13.19702892917119,-13.21927928766807,-12.316910191752427,-13.132014544666138,-13.31737719085306,-12.877288762442841
-13.128479466626477,-13.041658940561002,-12.328331364751806,-13.132014544666138,-13.137324403140084,-12.82180855311021
-13.079166449131469,-13.061820353710221,-12.352377009463012,-13.119419447510248,-13.070606283516717,-13.066875534124591
-12.29920499160202,-13.266495432672423,-13.21716913643957,-13.345095777268142,-13.296475862569643,-13.27703651901414
-13.437769568321654,-13.423633432910293,-13.394257244000666,-13.429571767192579,-12.045057715324976,-13.436816294112706
-13.437769568321654,-13.45820678672998,-13.327431062873288,-13.429571767192579,-11.882253493235119,-13.500732224684878
-13.313761772317516,-13.45820678672998,-13.327431062873288,-13.48301312561605,-12.684255935057369,-13.519615484126119
-13.480356399678875,-13.525992297434165,-13.264740955915606,-13.48301312561605,-13.525695569031493,-13.521848628056805
-12.770954861465452,-13.525992297434165,-13.490487507018988,-13.617078168855828,-13.67354300104535,-13.740862052389527
-13.319279745054313,-13.599427396093045,-12.294910128354,-13.665624232766026,-13.67354300104535,-13.740862052389527
-13.40038515305578,-13.67518562381895,-12.29106785231305,-13.722264327943384,-13.748221766372685,-13.76303789174463
-13.258579812982264,-13.718089427335505,-12.530813601847667,-13.736572320921834,-13.62897963573424,-13.765615491981325
-13.125116587616404,-13.70688122305325,-12.207955399746035,-13.727529522825037,-13.611486481705777,-13.765615491981325
-12.347104940602042,-13.707212806287043,-13.206556779699795,-13.727529522825037,-13.604826092072566,-13.765615491981325
-13.242327432183366,-13.707212806287043,-12.32389776561749,-13.727529522825037,-13.421077781750213,-13.776909107929656
-13.212446342070745,-13.721515327935963,-12.714295338359694,-13.735065734038693,-13.424484845801295,-13.776909107929656
-13.445165601668366,-13.72767338164384,-13.380464727748677,-13.737232037211466,-12.70697578344163,-13.771405908085345
-13.502219739277743,-13.72767338164384,-13.437374287057128,-13.765260043344902,-12.334337373410621,-13.771405908085345
-13.428302501722852,-13.784311532600437,-13.204166385764946,-13.765260043344902,-11.928981848178818,-13.782444069626132
-13.428302501722852,-13.784311532600437,-13.136701037589102,-13.809140803252436,-12.441582331579705,-13.80940389940315
-13.51189083149211,-13.784311532600437,-13.136701037589102,-13.809140803252436,-12.104680896094514,-13.820321928857005
-13.09791244770449,-13.776972913288406,-13.214496980438932,-13.809140803252436,-12.451942164729417,-13.820321928857005
-13.213241187443275,-13.776972913288406,-13.166221083498883,-13.803185056760872,-11.968602584918564,-13.844943888732013
-13.27420370601879,-13.806466024079821,-13.166221083498883,-13.811931758960966,-12.500289487692767,-13.858578728903208
-13.27420370601879,-13.82371359668419,-13.166221083498883,-13.811931758960966,-12.31568746703055,-13.858578728903208
-13.3681597337354,-13.804612731808476,-13.03191649944735,-13.811931758960966,-11.61061682546225,-13.842585571987318
-13.155746061291282,-13.791310418149365,-12.917962734411208,-13.776336441614552,-11.827768116840756,-13.81945762379469
-12.994178711946244,-13.777256401922443,-12.917962734411208,-13.776336441614552,-11.271485103628473,-13.805515656759475
-13.074543725627013,-13.777256401922443,-13.016101575758457,-13.745592567525087,-11.528494630391243,-13.794114669279452
-12.856161689626198,-13.777256401922443,-13.016101575758457,-13.73048386966195,-11.624002184353033,-13.76554851549688
-13.098946561045318,-13.717330363679597,-12.891204061833552,-13.691745706706689,-11.62646284709757,-13.723744427127778
-12.91690232172186,-13.599569031563954,-12.791083653066233,-13.691745706706689,-11.585855718574392,-13.639053151756947
-12.854628201715201,-13.571881011054183,-12.637094199980925,-13.627109896390005,-11.498154678304639,-13.540726454230317
-12.692052369021654,-13.571881011054183,-12.762008991851866,-13.595309619103165,-11.44618276749365,-13.514015664521184
-12.645501836089037,-13.490081830676143,-12.77498023081024,-13.561795182210696,-11.494855850139514,-13.490089567111138
-12.463383585215137,-13.441345725471,-12.606684183158618,-13.561795182210696,-12.417271253510075,-13.434474512310839
-12.762257574806899,-13.423792830248196,-12.765895965749717,-13.561795182210696,-11.796183887107665,-13.434474512310839
-12.694110621653703,-13.381262617890888,-12.765895965749717,-13.511810711866243,-11.592881077636793,-13.414881975013799
-12.52472665945556,-13.363654928041564,-12.849190542433993,-13.489630552523932,-11.56796879424677,-13.380945500253468
-12.768116591937986,-13.330476824999277,-12.820093173266615,-13.412983847874514,-12.640709417360346,-13.349222135933339
-12.762163252586777,-13.312865563252279,-12.760412252379986,-13.412983847874514,-11.653879618840856,-13.316556131701512
-12.614759727562806,-13.2833554764107,-12.846981859846405,-13.343897212137048,-11.986390071889941,-13.316556131701512
-12.365339616055248,-13.257089718599184,-12.848724845972203,-13.318438004109007,-11.69287508899526,-13.299664645858824
-12.761504249985606,-13.253008207608424,-12.931937225292444,-13.303196934130018,-12.0225404124995,-13.277918803866699
-12.544312889899569,-13.245550780955202,-12.43733582846167,-13.259799735429468,-11.895009265671938,-13.252255547738976
-12.548132597765697,-13.243543536757409,-12.700818629734457,-13.250521727888717,-11.878076303152588,-13.249445016462797
-12.548132597765697,-13.232203798606983,-12.430330836399039,-13.211199994298175,-12.119046226953094,-13.22714526211396
-12.749100188515252,-13.232203798606983,-12.722629171070308,-13.210944845325145,-12.228965618347702,-13.219613532473742
-12.958380271211883,-13.228020213273002,-12.940081388627792,-13.20743252959276,-12.593961033535287,-13.222243727092097
-13.143987246926791,-13.215713350753756,-13.145694645944605,-13.204209714151869,-12.978835352273096,-13.222243727092097
-12.941858299728908,-13.211827952179618,-13.262271071630751,-13.19589111979883,-12.200224021439743,-13.218933343639247
-13.156450796727782,-13.265106265894698,-13.262271071630751,-13.248439092819048,-12.15030897059263,-13.250263457377626
-13.156450796727782,-13.43052070103366,-13.314492611754389,-13.309569388110349,-12.263563720430282,-13.311017039679065
-13.076493633126997,-13.470846931664171,-13.176917284549772,-13.344398777554016,-11.998305349423655,-13.323448741836435
-13.262719888578523,-13.47306552182568,-13.352721671975928,-13.366771895935726,-11.685082213205106,-13.395696919586687
-13.141259578154289,-13.47773042556038,-13.186767372427074,-13.391339506158076,-12.098072823126023,-13.403164639066619
-12.928568772058075,-13.475864620561772,-13.152102871318379,-13.397771377195994,-12.130044339999428,-13.40336636371743
-12.891490626593562,-13.487475429818517,-13.152102871318379,-13.421513225966027,-12.157937127188807,-13.431422087465872
-13.03229263743249,-13.497418633947264,-13.004067085909726,-13.441512390995404,-12.372793185382822,-13.443450098475429
