right 1,left 1,right 2,left 2,right 3,left 3
-6.877701843849487,-7.267752218603795,-6.810048623827081,-7.201162264977751,-6.807199799952974,-7.240983676100129
-6.971205802984505,-7.671443502427426,-7.0685244947864865,-7.654505540369816,-6.792331231028836,-7.683251911622344
-7.052563013021089,-7.734264591593634,-7.114683353525928,-7.792330277448424,-6.7904174512009785,-7.790165869852943
-7.1403899506245985,-7.8495231883824035,-7.1567612117772335,-7.816026801602977,-6.79930516737736,-7.858917190093199
-7.1403899506245985,-7.898252745077189,-7.186843315559164,-7.846827617540651,-6.797322053090465,-7.947001508588039
-7.182129366283148,-7.922801808142813,-7.19632748339358,-7.903796206322876,-6.784399240276763,-8.00177617144013
-7.201972130708834,-8.015385845558205,-7.19632748339358,-7.958812556499304,-6.793866060896709,-8.034063656259928
-7.225229785470668,-8.035453887243197,-7.209939003369773,-8.027187134973165,-6.793465209290135,-8.08324584576455
-7.247507070237207,-8.035453887243197,-7.224371243513804,-8.112931865954046,-6.791524140268149,-8.125494757476329
-7.26921833540828,-8.035453887243197,-7.2532631086844175,-8.152846795262302,-6.794460069297853,-8.171619995499254
-7.310257619986153,-8.035453887243197,-7.281236740948331,-8.152846795262302,-6.794248915890478,-8.208183737204044
-7.32741214777872,-8.106861140491212,-7.293380937516859,-8.167324712158347,-6.793882490302529,-8.23112674359536
-7.370615374909735,-8.127869417718694,-7.357053825020195,-8.182989649511512,-6.793479901900233,-8.259095784203287
-7.381343758614008,-8.127869417718694,-7.369775902233062,-8.210911980874144,-6.793496698634935,-8.266234350680916
-7.405091279608903,-8.127869417718694,-7.38060999215661,-8.223731577596672,-6.793465291218412,-8.266234350680916
-7.422853379447949,-8.171243036345713,-7.38060999215661,-8.223731577596672,-6.793465209301015,-8.282198139445175
-7.430353180128274,-8.208437146021227,-7.390479867196674,-8.273924226646544,-6.794265265283542,-8.282198139445175
-7.439497072672711,-8.270514966843539,-7.390479867196674,-8.295625665622357,-6.801919423495133,-8.310031143544542
-7.448500806809348,-8.283520660780868,-7.403736485953724,-8.347652218983907,-6.806962739792132,-8.310031143544542
-7.458007886939883,-8.297415981141528,-7.403736485953724,-8.366049079831296,-6.793465209301015,-8.33141516292868
-7.458007886939883,-8.297415981141528,-7.419129937385375,-8.372369268017835,-6.812965599632464,-8.340952668590015
-7.470471330721674,-8.3108890707235,-7.461720978667383,-8.378673096856444,-6.804793374498,-8.350057533217655
-7.493482891590221,-8.335506289560534,-7.473955988892903,-8.402493149075703,-6.793475604266886,-8.350057533217655
-7.506014784550043,-8.335506289560534,-7.508397416597287,-8.408551563530335,-6.813792867388324,-8.387197999290324
-7.54739417889872,-8.348744894035555,-7.527751434376437,-8.408551563530335,-6.812697045855173,-8.403860951511714
-7.586392812673506,-8.348744894035555,-7.533622683621215,-8.429703577879547,-6.814348249365769,-8.425624737514296
-7.600614936623013,-8.376924352162106,-7.55859216000226,-8.43611654575293,-6.811329644226556,-8.445963676065023
-7.61364747130445,-8.413297757151975,-7.565979542105789,-8.457210743319683,-6.8038069954486025,-8.445963676065023
-7.636987195943697,-8.459705730367912,-7.592432687801843,-8.464809329502383,-6.793577779987365,-8.453271119396497
-7.641949502339684,-8.457292284415535,-7.592432687801843,-8.471809482200104,-6.793465208971989,-8.44531843793631
-7.646654437318465,-8.465678697851725,-7.592432687801843,-8.471855555198417,-6.793884363717353,-8.447106062585833
-7.655168777853366,-8.48593219022649,-7.605812923017512,-8.484759591216147,-6.793471076215959,-8.447106062585833
-7.659287008556605,-8.48593219022649,-7.6282043807269915,-8.491091170999841,-6.807367057785974,-8.465380251474047
-7.667460084579579,-8.497922632491193,-7.63284136159278,-8.497152583346212,-6.796825159556423,-8.465380251474047
-7.667460084579579,-8.50232685553488,-7.645644677745629,-8.502580012356406,-6.797555905258158,-8.473345282062967
-7.667460084579579,-8.502279596764474,-7.652747113890296,-8.501393961425672,-6.7934653609851035,-8.47724521584473
-7.676091825258952,-8.509200923551507,-7.652747113890296,-8.50987119866316,-6.7934652093051335,-8.47724521584473
-7.683569292199156,-8.52466304996471,-7.652747113890296,-8.51580049019982,-6.810802498216372,-8.485934419060277
-7.690190112094301,-8.539397262800032,-7.652747113890296,-8.532465008448225,-6.80034259016502,-8.495528641369047
-7.690190112094301,-8.539397262800032,-7.656915563798556,-8.542917238587304,-6.793465209302245,-8.5045581256358
-7.696564450483508,-8.539397262800032,-7.66460820936854,-8.563804228307632,-6.809293776709027,-8.5045581256358
-7.6995289239829106,-8.545149326328055,-7.67092820647448,-8.5711452882455,-6.793465379962337,-8.544436247514499
-7.7023280602513315,-8.562093238245609,-7.682769628739998,-8.5711452882455,-6.793569979084053,-8.55644079041729
-7.704931658179356,-8.567095319947272,-7.688430220573863,-8.575150980368358,-6.7960627798244495,-8.566847749155318
-7.709553227762155,-8.567044241148265,-7.688430220573863,-8.575150980368358,-6.82063228721837,-8.565369725307805
-7.71527322306295,-8.576176026778377,-7.689772543209528,-8.575150980368358,-6.8196604145682365,-8.568160132844557
-7.71527322306295,-8.5799533986612,-7.689772543209528,-8.57859720760231,-6.794784079505472,-8.572739013452017
-7.718533481006466,-8.586967046946217,-7.6911976468644285,-8.582216757574015,-6.793981585821956,-8.584561857033458
-7.722476450187235,-8.590100959651394,-7.6943372391413964,-8.5891451936113,-6.840589118896307,-8.584561857033458
-7.725123263416702,-8.593061018480027,-7.6943372391413964,-8.5891451936113,-6.793465209301015,-8.588161526025237
-7.726959454818222,-8.598424746091425,-7.69826085824775,-8.5891451936113,-6.805298417771792,-8.588161526025237
-7.727752131307958,-8.601009247458041,-7.69826085824775,-8.595678087800414,-6.798687688499991,-8.597597867198868
-7.7283194030825975,-8.605985714617141,-7.702650484324936,-8.604058937950477,-6.798150540382418,-8.603160095838959
-7.728469383121993,-8.605985714617141,-7.702650484324936,-8.604058937950477,-6.797691539042929,-8.605697227878554
-7.728663262861384,-8.612506747175868,-7.705032965014806,-8.606659000111822,-6.799705724096857,-8.608041443234638
-7.728636515143912,-8.616005550768811,-7.705032965014806,-8.60906335197284,-6.793565102179413,-8.612362724633376
-7.728636515143912,-8.617647078817917,-7.706125461558409,-8.61344193648132,-6.793753742708227,-8.61439180315627
-7.729783497218492,-8.62045943751488,-7.70723541207855,-8.618588432300488,-6.793465368612341,-8.617859444431925
-7.731149722845765,-8.621661145965279,-7.707581106132795,-8.619979577556126,-6.793465209301017,-8.617859444431925
-7.7313226730066305,-8.622706236903904,-7.7087162064962165,-8.623201930095481,-6.793465209301017,-8.622677046594323
-7.731173115705465,-8.625472474943669,-7.709087090880918,-8.624225320960875,-6.793783584701515,-8.626082182830553
-7.731173115705465,-8.627748492900832,-7.71045514572198,-8.625218252540712,-6.793465209301017,-8.627585716550929
-7.730893834111968,-8.62891516432629,-7.710140114051078,-8.626145668982344,-6.793465464083382,-8.62832975598342
-7.730583373679606,-8.62891516432629,-7.709786364541977,-8.626838767421669,-6.824530692209825,-8.629283333060105
-7.7304006886591505,-8.62928623847269,-7.709786364541977,-8.627380038815028,-6.793517191752353,-8.630129331335132
-7.730200900155288,-8.614766761474542,-7.710441341329648,-8.627380038815028,-6.795560235059993,-8.609211044758942
-7.730200900155288,-8.607771769380603,-7.710363360409636,-8.627380038815028,-6.817694779899429,-8.606859606897197
-7.730200900155288,-8.605998115244928,-7.7104667268964615,-8.627380038815028,-6.807963596688385,-8.605586830466944
-7.729982943988483,-8.605177056576567,-7.709408526040797,-8.627380038815028,-6.793506191417047,-8.604745827626406
-7.729982943988483,-8.60543410897031,-7.709408526040797,-8.627380038815028,-6.793521924729741,-8.604814183521226
-7.729976820083962,-8.606086359214459,-7.709302936727933,-8.625140751904935,-6.793474945993631,-8.60634904731904
-7.730100064455311,-8.60891072183478,-7.709302936727933,-8.624940215964333,-6.796844203389947,-8.610985504623093
-7.730200330322029,-8.610830361369139,-7.709182027392819,-8.625237555540599,-6.822533511133404,-8.612621900073542
